scope,arm,window,metric,n_cells,safe_on,safe_off,delta_on_minus_off,win_rate_on,p_wilcoxon,note
all_steps,caltech101_m/siglip/whole_image,pure_gmm_2_5,fpr,12,0.5355686249999999,0.47828849999999995,0.057280125000000015,0.16666666666666666,0.3125,
all_steps,caltech101_m/siglip/whole_image,pure_gmm_2_5,regret,12,0.5378410833333334,0.48000841666666666,0.05783266666666668,0.16666666666666666,0.3125,
all_steps,caltech101_m/siglip/whole_image,pure_gmm_2_5,average_precision,12,0.9891728333333334,0.985831625,0.0033412083333333267,0.16666666666666666,0.625,
all_steps,caltech101_m/siglip/whole_image,pure_gmm_2_5,auroc,12,0.9987164166666666,0.9984451666666665,0.0002712499999999914,0.16666666666666666,0.625,
all_steps,caltech101_m/siglip/whole_image,pure_gmm_2_5,degenerate,12,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,coco_val/siglip/whole_image,pure_gmm_2_5,cost,38,0.6585133728070176,0.5548315043859648,0.10368186842105265,0.2894736842105263,0.0005011212124372832,
all_steps,coco_val/siglip/whole_image,pure_gmm_2_5,fnr,38,0.16403875877192983,0.07792762719298245,0.08611113157894737,0.10526315789473684,1.3194640243949197e-05,
all_steps,coco_val/siglip/whole_image,pure_gmm_2_5,fpr,38,0.4944746447368421,0.47690387280701757,0.017570771929824563,0.4473684210526316,0.33052078438555554,
all_steps,coco_val/siglip/whole_image,pure_gmm_2_5,regret,38,0.22156365789473678,0.27486606578947365,-0.05330240789473685,0.6842105263157895,0.0038437370385508984,
all_steps,coco_val/siglip/whole_image,pure_gmm_2_5,average_precision,38,0.38523074561403514,0.5379494342105263,-0.15271868859649126,0.868421052631579,2.804496034514159e-06,
all_steps,coco_val/siglip/whole_image,pure_gmm_2_5,auroc,38,0.8000755657894737,0.8946401271929826,-0.09456456140350876,0.868421052631579,3.2666866900399327e-07,
all_steps,coco_val/siglip/whole_image,pure_gmm_2_5,degenerate,38,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,visual_genome_m/siglip/whole_image,pure_gmm_2_5,cost,32,0.8563313020833333,0.7951034583333333,0.061227843750000004,0.1875,0.011866558561848114,
all_steps,visual_genome_m/siglip/whole_image,pure_gmm_2_5,fnr,32,0.34458259635416666,0.2793414088541667,0.0652411875,0.125,0.0014771661952373803,
all_steps,visual_genome_m/siglip/whole_image,pure_gmm_2_5,fpr,32,0.5117487213541667,0.5157620625,-0.0040133411458333264,0.40625,0.8328664161727948,
all_steps,visual_genome_m/siglip/whole_image,pure_gmm_2_5,regret,32,0.1920720182291667,0.20462206770833336,-0.012550049479166676,0.375,0.44549752117368835,
all_steps,visual_genome_m/siglip/whole_image,pure_gmm_2_5,average_precision,32,0.1846434375,0.26375087239583334,-0.07910743489583334,0.59375,0.003301864483880959,
all_steps,visual_genome_m/siglip/whole_image,pure_gmm_2_5,auroc,32,0.6337737578125,0.6881748697916666,-0.054401111979166666,0.53125,0.0036646104700631243,
all_steps,visual_genome_m/siglip/whole_image,pure_gmm_2_5,degenerate,32,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,caltech101_m/siglip/whole_image,ramp_6_20,cost,12,0.16128907222222222,0.07360784444444443,0.08768122777777776,0.08333333333333333,0.0625,
all_steps,caltech101_m/siglip/whole_image,ramp_6_20,fnr,12,0.0029797055555555556,0.0029797055555555556,0.0,0.0,,all-zero or empty
all_steps,caltech101_m/siglip/whole_image,ramp_6_20,fpr,12,0.15830937222222222,0.07062814444444444,0.08768122777777776,0.08333333333333333,0.0625,
all_steps,caltech101_m/siglip/whole_image,ramp_6_20,regret,12,0.16045115,0.0728259611111111,0.08762518888888889,0.08333333333333333,0.0625,
all_steps,caltech101_m/siglip/whole_image,ramp_6_20,average_precision,12,0.9998519333333333,0.9998940222222222,-4.208888888889336e-05,0.16666666666666666,0.5,
all_steps,caltech101_m/siglip/whole_image,ramp_6_20,auroc,12,0.9999457444444445,0.9999482333333334,-2.4888888888926117e-06,0.16666666666666666,0.5,
all_steps,caltech101_m/siglip/whole_image,ramp_6_20,degenerate,12,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,coco_val/siglip/whole_image,ramp_6_20,cost,38,0.38347714035087715,0.3007176087719298,0.08275953157894736,0.21052631578947367,4.626635927706957e-07,
all_steps,coco_val/siglip/whole_image,ramp_6_20,fnr,38,0.11847208245614034,0.07844142456140352,0.040030657894736844,0.21052631578947367,0.0008337350354222429,
all_steps,coco_val/siglip/whole_image,ramp_6_20,fpr,38,0.2650050842105263,0.2222762035087719,0.04272888070175439,0.3157894736842105,0.00092286903236527,
all_steps,coco_val/siglip/whole_image,ramp_6_20,regret,38,0.12287747719298243,0.11061332631578946,0.012264150877192976,0.42105263157894735,0.3650425070882193,
all_steps,coco_val/siglip/whole_image,ramp_6_20,average_precision,38,0.5926656368421054,0.6592151666666667,-0.0665495298245614,0.868421052631579,2.804496034514159e-06,
all_steps,coco_val/siglip/whole_image,ramp_6_20,auroc,38,0.9000217701754385,0.9410224859649123,-0.041000715789473674,0.9210526315789473,2.57517967838794e-07,
all_steps,coco_val/siglip/whole_image,ramp_6_20,degenerate,38,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,visual_genome_m/siglip/whole_image,ramp_6_20,cost,34,0.6043931078431373,0.49514507843137257,0.1092480294117647,0.17647058823529413,0.0005287248371505039,
all_steps,visual_genome_m/siglip/whole_image,ramp_6_20,fnr,34,0.2339804431372549,0.18512743529411768,0.048853007843137244,0.29411764705882354,0.011062253064602436,
all_steps,visual_genome_m/siglip/whole_image,ramp_6_20,fpr,34,0.37041261372549017,0.31001760588235294,0.06039500784313724,0.23529411764705882,0.01319416986541395,
all_steps,visual_genome_m/siglip/whole_image,ramp_6_20,regret,34,0.16177836274509805,0.12590012941176473,0.035878233333333336,0.3235294117647059,0.008216736457590426,
all_steps,visual_genome_m/siglip/whole_image,ramp_6_20,average_precision,34,0.39924180392156866,0.45041673529411763,-0.051174931372549005,0.6176470588235294,0.012452560438554458,
all_steps,visual_genome_m/siglip/whole_image,ramp_6_20,auroc,34,0.7924777980392157,0.841680117647059,-0.04920231960784314,0.7352941176470589,0.0011973381999984532,
all_steps,visual_genome_m/siglip/whole_image,ramp_6_20,degenerate,34,0.027450980392156862,0.0,0.027450980392156862,0.0,0.17971249487899976,
all_steps,caltech101_m/siglip/whole_image,post_ramp_21_plus,cost,12,0.04098936041666667,0.010040842708333334,0.030948517708333335,0.0,0.0625,
all_steps,caltech101_m/siglip/whole_image,post_ramp_21_plus,fnr,12,8.903125000000001e-06,8.903125000000001e-06,0.0,0.0,,all-zero or empty
all_steps,caltech101_m/siglip/whole_image,post_ramp_21_plus,fpr,12,0.04098045729166667,0.010031939583333335,0.030948517708333335,0.0,0.0625,
all_steps,caltech101_m/siglip/whole_image,post_ramp_21_plus,regret,12,0.04098936041666667,0.010040842708333334,0.030948517708333335,0.0,0.0625,
all_steps,caltech101_m/siglip/whole_image,post_ramp_21_plus,average_precision,12,1.0,1.0,0.0,0.0,,all-zero or empty
all_steps,caltech101_m/siglip/whole_image,post_ramp_21_plus,auroc,12,1.0,1.0,0.0,0.0,,all-zero or empty
all_steps,caltech101_m/siglip/whole_image,post_ramp_21_plus,degenerate,12,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,coco_val/siglip/whole_image,post_ramp_21_plus,cost,38,0.21365013486842105,0.215532046381579,-0.0018819115131578944,0.47368421052631576,0.8409505394301959,
all_steps,coco_val/siglip/whole_image,post_ramp_21_plus,fnr,38,0.07647192203947369,0.08442264967105262,-0.007950727631578945,0.5263157894736842,0.15416141025875302,
all_steps,coco_val/siglip/whole_image,post_ramp_21_plus,fpr,38,0.13717823256578948,0.1311094019736842,0.006068830592105261,0.42105263157894735,0.4045627222803887,
all_steps,coco_val/siglip/whole_image,post_ramp_21_plus,regret,38,0.06679058157894739,0.06120331644736844,0.0055872651315789475,0.39473684210526316,0.14038456695561763,
all_steps,coco_val/siglip/whole_image,post_ramp_21_plus,average_precision,38,0.738886715131579,0.734704585855263,0.004182129276315785,0.42105263157894735,0.518291093823791,
all_steps,coco_val/siglip/whole_image,post_ramp_21_plus,auroc,38,0.9574168664473683,0.9553606664473687,0.0020561999999999846,0.39473684210526316,0.05881407116976334,
all_steps,coco_val/siglip/whole_image,post_ramp_21_plus,degenerate,38,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,visual_genome_m/siglip/whole_image,post_ramp_21_plus,cost,34,0.34268142058823525,0.32627499374999996,0.016406426838235306,0.29411764705882354,0.008729667753602288,
all_steps,visual_genome_m/siglip/whole_image,post_ramp_21_plus,fnr,34,0.14075680955882353,0.13612601801470592,0.004630791544117642,0.4117647058823529,0.7366069598886785,
all_steps,visual_genome_m/siglip/whole_image,post_ramp_21_plus,fpr,34,0.20192461029411765,0.19014895625000003,0.011775654044117645,0.3235294117647059,0.02702915661831454,
all_steps,visual_genome_m/siglip/whole_image,post_ramp_21_plus,regret,34,0.06464298970588235,0.061873198161764696,0.0027697915441176465,0.47058823529411764,0.8774027283940786,
all_steps,visual_genome_m/siglip/whole_image,post_ramp_21_plus,average_precision,34,0.5509363261029412,0.5554930580882355,-0.004556731985294127,0.5294117647058824,0.49079849348995086,
all_steps,visual_genome_m/siglip/whole_image,post_ramp_21_plus,auroc,34,0.8977045477941177,0.9078105334558825,-0.010105985661764696,0.6764705882352942,0.004389618289039615,
all_steps,visual_genome_m/siglip/whole_image,post_ramp_21_plus,degenerate,34,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,caltech101_m/siglip/whole_image,all_steps,cost,12,0.06939179112077606,0.02916630486648053,0.040225486254295534,0.08333333333333333,0.0625,
all_steps,caltech101_m/siglip/whole_image,all_steps,fnr,12,0.000768061855670103,0.0008071125429553264,-3.905068728522337e-05,0.08333333333333333,1.0,
all_steps,caltech101_m/siglip/whole_image,all_steps,fpr,12,0.06862373012421248,0.028359193182631734,0.04026453694158076,0.08333333333333333,0.0625,
all_steps,caltech101_m/siglip/whole_image,all_steps,regret,12,0.06902986665950744,0.028762602913802976,0.04026726374570447,0.08333333333333333,0.0625,
all_steps,caltech101_m/siglip/whole_image,all_steps,average_precision,12,0.9998035797537228,0.9997411974513173,6.238230240550775e-05,0.16666666666666666,0.625,
all_steps,caltech101_m/siglip/whole_image,all_steps,auroc,12,0.9999674482567298,0.9999622403529496,5.207903780076369e-06,0.16666666666666666,0.625,
all_steps,caltech101_m/siglip/whole_image,all_steps,degenerate,12,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,coco_val/siglip/whole_image,all_steps,cost,38,0.24922534323981896,0.23610307414430776,0.013122269095511238,0.34210526315789475,0.06507603968202602,
all_steps,coco_val/siglip/whole_image,all_steps,fnr,38,0.08494056772488566,0.08349308998471879,0.0014474777401668765,0.4473684210526316,0.5715734527455391,
all_steps,coco_val/siglip/whole_image,all_steps,fpr,38,0.16428479622709435,0.15260999153443255,0.011674804692661783,0.42105263157894735,0.1364683882711688,
all_steps,coco_val/siglip/whole_image,all_steps,regret,38,0.07863217022524555,0.07330531060438283,0.0053268596208627264,0.4473684210526316,0.24318095664057182,
all_steps,coco_val/siglip/whole_image,all_steps,average_precision,38,0.7089815966510994,0.7185884237739045,-0.00960682712280517,0.5526315789473685,0.20963568658771692,
all_steps,coco_val/siglip/whole_image,all_steps,auroc,38,0.9451787422982044,0.9517033157451804,-0.00652457344697577,0.8157894736842105,0.0008191683591576293,
all_steps,coco_val/siglip/whole_image,all_steps,degenerate,38,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,visual_genome_m/siglip/whole_image,all_steps,cost,34,0.39660002840442593,0.3659943895667529,0.030605638837672977,0.17647058823529413,0.0002051529226187778,
all_steps,visual_genome_m/siglip/whole_image,all_steps,fnr,34,0.1612861704935185,0.14892713723967602,0.012359033253842468,0.2647058823529412,0.03892151371737731,
all_steps,visual_genome_m/siglip/whole_image,all_steps,fpr,34,0.23531385041730382,0.21706723100770883,0.01824661940959497,0.23529411764705882,0.003609433349384215,
all_steps,visual_genome_m/siglip/whole_image,all_steps,regret,34,0.08223725732538419,0.07504969023257146,0.007187567092812726,0.35294117647058826,0.1915221065809437,
all_steps,visual_genome_m/siglip/whole_image,all_steps,average_precision,34,0.517977717375649,0.5304901929538411,-0.012512475578192113,0.47058823529411764,0.2369361866168309,
all_steps,visual_genome_m/siglip/whole_image,all_steps,auroc,34,0.8739950895053299,0.8905882890677848,-0.016593199562454714,0.7352941176470589,6.319756764397932e-05,
all_steps,visual_genome_m/siglip/whole_image,all_steps,degenerate,34,0.004295665634674923,0.0,0.004295665634674923,0.0,0.17971249487899976,
