scope,window,metric,dataset,n_cells,mean,se,sd
all_steps,post_ramp_21_plus,cost,caltech101_m,12,0.030948517708333335,0.014925690663460682,0.05170410913434065
all_steps,post_ramp_21_plus,cost,coco_val,38,-0.0018819115131578918,0.006475525175950425,0.03991781807120694
all_steps,post_ramp_21_plus,cost,visual_genome_m,34,0.016406426838235306,0.005834512264481933,0.034020760344079075
all_steps,post_ramp_21_plus,fnr,all,84,-0.0017223897321428504,0.004120270735074851,0.03776290505438369
all_steps,post_ramp_21_plus,fnr,caltech101_m,12,0.0,0.0,0.0
all_steps,post_ramp_21_plus,fnr,coco_val,38,-0.007950727631578933,0.0077097613517396945,0.047526160836213194
all_steps,post_ramp_21_plus,fnr,visual_genome_m,34,0.004630791544117646,0.005332592276528775,0.031094089039262876
all_steps,post_ramp_21_plus,fpr,all,84,0.011932976339285715,0.004518655139554438,0.04141415843281891
all_steps,post_ramp_21_plus,fpr,caltech101_m,12,0.030948517708333335,0.014925690663460682,0.05170410913434065
all_steps,post_ramp_21_plus,fpr,coco_val,38,0.00606883059210526,0.007255373567483141,0.04472512641616405
all_steps,post_ramp_21_plus,fpr,visual_genome_m,34,0.011775654044117657,0.005447070345540257,0.03176160515268361
all_steps,post_ramp_21_plus,average_precision,all,84,4.752410714285313e-05,0.005680345972483512,0.05206123078488647
all_steps,post_ramp_21_plus,average_precision,caltech101_m,12,0.0,0.0,0.0
all_steps,post_ramp_21_plus,average_precision,coco_val,38,0.004182129276315794,0.009996634584346305,0.061623394214308305
all_steps,post_ramp_21_plus,average_precision,visual_genome_m,34,-0.004556731985294131,0.008605281064265863,0.05017697992735742
all_steps,post_ramp_21_plus,auroc,all,84,-0.0031603322916666657,0.0016693638635966188,0.015299972534710882
all_steps,post_ramp_21_plus,auroc,caltech101_m,12,0.0,0.0,0.0
all_steps,post_ramp_21_plus,auroc,coco_val,38,0.0020561999999999993,0.002013097304933166,0.012409565215869117
all_steps,post_ramp_21_plus,auroc,visual_genome_m,34,-0.010105985661764702,0.0031221924345389332,0.018205353892246454
all_steps,pure_gmm_2_5,cost,all,82,0.08004678048780489,0.017802072804483874,0.16120462550176357
all_steps,pure_gmm_2_5,cost,caltech101_m,12,0.05538616666666668,0.04557920038101234,0.1578909816565522
all_steps,pure_gmm_2_5,cost,coco_val,38,0.10368186842105265,0.02640073256407395,0.1627450455066165
all_steps,pure_gmm_2_5,cost,visual_genome_m,32,0.061227843750000004,0.028590511690381664,0.1617323575508971
all_steps,pure_gmm_2_5,fnr,all,82,0.06508796951219512,0.011953857036775425,0.10824677935423557
all_steps,pure_gmm_2_5,fnr,caltech101_m,12,-0.0018939583333333334,0.0018939583333333334,0.00656086412150361
all_steps,pure_gmm_2_5,fnr,coco_val,38,0.08611113157894737,0.018258161538572744,0.11255086665684741
all_steps,pure_gmm_2_5,fnr,visual_genome_m,32,0.06524118749999999,0.02031241866859889,0.114904391862932
all_steps,pure_gmm_2_5,fpr,all,82,0.014958828252032532,0.01103378237950546,0.09991514897681626
all_steps,pure_gmm_2_5,fpr,caltech101_m,12,0.057280125000000015,0.04645218431808055,0.1609150867229395
all_steps,pure_gmm_2_5,fpr,coco_val,38,0.017570771929824574,0.013833287069113227,0.08527410851593124
all_steps,pure_gmm_2_5,fpr,visual_genome_m,32,-0.004013341145833323,0.01494186393167041,0.0845239464772067
all_steps,pure_gmm_2_5,average_precision,all,82,-0.1011543119918699,0.019641734937920645,0.1778634746440811
all_steps,pure_gmm_2_5,average_precision,caltech101_m,12,0.0033412083333333362,0.0027716575307287173,0.00960130332880607
all_steps,pure_gmm_2_5,average_precision,coco_val,38,-0.1527186885964912,0.031159629785363,0.19208085817622086
all_steps,pure_gmm_2_5,average_precision,visual_genome_m,32,-0.07910743489583334,0.030925151713752857,0.17493907588813942
all_steps,pure_gmm_2_5,auroc,all,82,-0.0650126087398374,0.012516238544032821,0.11333936049701751
all_steps,pure_gmm_2_5,auroc,caltech101_m,12,0.00027125000000000066,0.0002549482233531138,0.0008831665522940224
all_steps,pure_gmm_2_5,auroc,coco_val,38,-0.09456456140350877,0.01830901653252391,0.11286435789368089
all_steps,pure_gmm_2_5,auroc,visual_genome_m,32,-0.054401111979166666,0.022025678053770537,0.12459605049642293
all_steps,ramp_6_20,cost,all,84,0.09418416587301588,0.014771595742065203,0.13538391124660235
all_steps,ramp_6_20,cost,caltech101_m,12,0.08768122777777777,0.04316178989016471,0.14951682607075598
all_steps,ramp_6_20,cost,coco_val,38,0.08275953157894737,0.016938803271677596,0.10441779608146608
all_steps,ramp_6_20,cost,visual_genome_m,34,0.1092480294117647,0.02766598245995252,0.161319012847617
all_steps,ramp_6_20,fnr,all,84,0.03788294365079365,0.010050598218867316,0.09211525423509563
all_steps,ramp_6_20,fnr,caltech101_m,12,0.0,0.0,0.0
all_steps,ramp_6_20,fnr,coco_val,38,0.04003065789473683,0.013881126510307382,0.0855690106371227
all_steps,ramp_6_20,fnr,visual_genome_m,34,0.04885300784313725,0.019159451004922553,0.11171783714134886
all_steps,ramp_6_20,fpr,all,84,0.056301219841269845,0.011998808112721727,0.10997089285159507
all_steps,ramp_6_20,fpr,caltech101_m,12,0.08768122777777777,0.04316178989016471,0.14951682607075598
all_steps,ramp_6_20,fpr,coco_val,38,0.04272888070175439,0.012792375992986627,0.07885750170241092
all_steps,ramp_6_20,fpr,visual_genome_m,34,0.06039500784313727,0.021286384107426948,0.12411988174560606
all_steps,ramp_6_20,average_precision,all,84,-0.0508254150793651,0.009439837545711921,0.08651754020262208
all_steps,ramp_6_20,average_precision,caltech101_m,12,-4.208888888889336e-05,2.840821872511111e-05,9.840895636884399e-05
all_steps,ramp_6_20,average_precision,coco_val,38,-0.0665495298245614,0.012455056907762514,0.07677812720998671
all_steps,ramp_6_20,average_precision,visual_genome_m,34,-0.051174931372549005,0.01798248837670979,0.10485502467420954
all_steps,ramp_6_20,auroc,all,84,-0.038463523015873004,0.008082447656636177,0.07407685637410746
all_steps,ramp_6_20,auroc,caltech101_m,12,-2.4888888889018634e-06,1.6783295634306932e-06,5.813904151413707e-06
all_steps,ramp_6_20,auroc,coco_val,38,-0.04100071578947367,0.010242346485305476,0.06313806409727715
all_steps,ramp_6_20,auroc,visual_genome_m,34,-0.04920231960784311,0.01596672846830522,0.09310122561674473
app_visible,all_steps,cost,all,84,0.01633879624682804,0.0047536586413204004,0.04356800110366334
app_visible,all_steps,cost,caltech101_m,12,0.038849906038110844,0.01862801818294977,0.06452934787437176
app_visible,all_steps,cost,coco_val,38,0.007241857874942207,0.006780950643280107,0.04180058709887738
app_visible,all_steps,cost,visual_genome_m,34,0.01856086508907121,0.005796652783492379,0.03380000353166517
app_visible,all_steps,fnr,all,84,0.0011585006028046122,0.004138188143805534,0.03792712081791533
app_visible,all_steps,fnr,caltech101_m,12,0.0,0.0,0.0
app_visible,all_steps,fnr,coco_val,38,-0.0015796825606270465,0.007682093853985946,0.04735560692563288
app_visible,all_steps,fnr,visual_genome_m,34,0.004627705527629858,0.005641394319100102,0.03289469889452626
app_visible,all_steps,fpr,all,84,0.015180307166007611,0.004772920568074679,0.04374453957842769
app_visible,all_steps,fpr,caltech101_m,12,0.038849906038110844,0.01862801818294977,0.06452934787437176
app_visible,all_steps,fpr,coco_val,38,0.008821553398691548,0.007054666822294601,0.043487886945633485
app_visible,all_steps,fpr,visual_genome_m,34,0.013933173539324425,0.005564121681845502,0.03244412586390685
app_visible,all_steps,average_precision,all,84,-0.0033166080522958295,0.005164037670472191,0.04732918703308447
app_visible,all_steps,average_precision,caltech101_m,12,-1.7517730496463546e-06,1.751773049646355e-06,6.068319850634728e-06
app_visible,all_steps,average_precision,coco_val,38,-0.003935024176796097,0.008663107739340701,0.05340298265762073
app_visible,all_steps,average_precision,visual_genome_m,34,-0.003795386364647126,0.008457222690520077,0.049313658672416716
app_visible,all_steps,auroc,all,84,-0.005296056167111864,0.0016854315800430054,0.015447235588432189
app_visible,all_steps,auroc,caltech101_m,12,-1.0106382978640009e-07,1.0106382978640008e-07,3.500953759950756e-07
app_visible,all_steps,auroc,coco_val,38,-0.0029597585137693685,0.002484000234015263,0.0153124058259419
app_visible,all_steps,auroc,visual_genome_m,34,-0.00977637299259421,0.002970947557337239,0.017323452288941592
app_visible,post_ramp_21_plus,cost,all,84,0.009527749197446079,0.004399549791492924,0.04032253988648701
app_visible,post_ramp_21_plus,cost,caltech101_m,12,0.030948517708333335,0.014925690663460682,0.05170410913434065
app_visible,post_ramp_21_plus,cost,coco_val,38,-0.0018819115131578918,0.006475525175950425,0.03991781807120694
app_visible,post_ramp_21_plus,cost,visual_genome_m,34,0.014719451693690308,0.005602502177537985,0.032667920687990036
app_visible,post_ramp_21_plus,fnr,all,84,-0.002008623411426527,0.004153983955174807,0.0380718918204412
app_visible,post_ramp_21_plus,fnr,caltech101_m,12,0.0,0.0,0.0
app_visible,post_ramp_21_plus,fnr,coco_val,38,-0.007950727631578933,0.0077097613517396945,0.047526160836213194
app_visible,post_ramp_21_plus,fnr,visual_genome_m,34,0.003923625983534444,0.005516628273996014,0.03216719408741422
app_visible,post_ramp_21_plus,fpr,all,84,0.01153638659060847,0.004459115046452698,0.04086846446577203
app_visible,post_ramp_21_plus,fpr,caltech101_m,12,0.030948517708333335,0.014925690663460682,0.05170410913434065
app_visible,post_ramp_21_plus,fpr,coco_val,38,0.00606883059210526,0.007255373567483141,0.04472512641616405
app_visible,post_ramp_21_plus,fpr,visual_genome_m,34,0.010795844076797397,0.005130531502266765,0.029915882384705904
app_visible,post_ramp_21_plus,average_precision,all,84,0.0005101506919006856,0.0056608904401504396,0.05188291788568254
app_visible,post_ramp_21_plus,average_precision,caltech101_m,12,0.0,0.0,0.0
app_visible,post_ramp_21_plus,average_precision,coco_val,38,0.004182129276315794,0.009996634584346305,0.061623394214308305
app_visible,post_ramp_21_plus,average_precision,visual_genome_m,34,-0.00341377218765713,0.008542548820276651,0.04981119123040063
app_visible,post_ramp_21_plus,auroc,all,84,-0.0027398727118945858,0.0016085729475289118,0.014742814585818933
app_visible,post_ramp_21_plus,auroc,caltech101_m,12,0.0,0.0,0.0
app_visible,post_ramp_21_plus,auroc,coco_val,38,0.0020561999999999993,0.002013097304933166,0.012409565215869117
app_visible,post_ramp_21_plus,auroc,visual_genome_m,34,-0.009067203170563094,0.0029879188360546457,0.0174224109987368
app_visible,ramp_6_20,cost,all,82,0.0709151789947857,0.012798042090523617,0.11589120014378469
app_visible,ramp_6_20,cost,caltech101_m,12,0.08911633874458876,0.04337575173313641,0.1502580116365721
app_visible,ramp_6_20,cost,coco_val,38,0.06633681159629842,0.01572041167028282,0.09690712583272833
app_visible,ramp_6_20,cost,visual_genome_m,32,0.06952655537431318,0.022162339242369877,0.12536912292189178
app_visible,ramp_6_20,fnr,all,82,0.025787206783054347,0.007681048885675172,0.06955485592464992
app_visible,ramp_6_20,fnr,caltech101_m,12,0.0,0.0,0.0
app_visible,ramp_6_20,fnr,coco_val,38,0.03722079817331793,0.013768518737811507,0.08487484970750599
app_visible,ramp_6_20,fnr,visual_genome_m,32,0.021880019550761732,0.010620555520764395,0.06007893462960583
app_visible,ramp_6_20,fpr,all,82,0.04512796977209781,0.011178892984953597,0.10122918139677743
app_visible,ramp_6_20,fpr,caltech101_m,12,0.08911633874458876,0.04337575173313641,0.1502580116365721
app_visible,ramp_6_20,fpr,coco_val,38,0.029116021134567203,0.011987805228269824,0.0738977944140112
app_visible,ramp_6_20,fpr,visual_genome_m,32,0.047646520414481336,0.018688474533397552,0.10571797658078008
app_visible,ramp_6_20,average_precision,all,82,-0.03796338697379856,0.008690006382825383,0.07869135464935627
app_visible,ramp_6_20,average_precision,caltech101_m,12,-1.1761904761903308e-05,1.176190476190331e-05,4.07444332828057e-05
app_visible,ramp_6_20,average_precision,coco_val,38,-0.05861406431945249,0.0124884886524182,0.0769842143248859
app_visible,ramp_6_20,average_precision,visual_genome_m,32,-0.02767256702672328,0.01572885590841383,0.08897584538516412
app_visible,ramp_6_20,auroc,all,82,-0.026856834806453705,0.006367248607543423,0.05765788841157488
app_visible,ramp_6_20,auroc,caltech101_m,12,-6.785714285658292e-07,6.785714285658292e-07,2.3506403816812223e-06
app_visible,ramp_6_20,auroc,coco_val,38,-0.03490785437150569,0.00957392793004919,0.059017655395411005
app_visible,ramp_6_20,auroc,visual_genome_m,32,-0.0273673076610889,0.011415821370776172,0.06457763763272112
