arm,run,n_votes,cost,fnr,fpr,threshold,degenerate,app_trained,n_rows
caltech101_m/siglip/whole_image,safe_on,61,0.03019275,0.0,0.03019275,0.3877425833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,62,0.0044715833333333335,0.0,0.0044715833333333335,0.4367709166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,62,0.033283,0.0,0.033283,0.3861665,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,63,0.0044715833333333335,0.0,0.0044715833333333335,0.43644258333333336,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,63,0.03409483333333333,0.0,0.03409483333333333,0.3857125833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,64,0.0044715833333333335,0.0,0.0044715833333333335,0.43606116666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,64,0.03265675,0.0,0.03265675,0.38634199999999996,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,65,0.004268333333333333,0.0,0.004268333333333333,0.4354669166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,65,0.033078333333333335,0.0,0.033078333333333335,0.38519858333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,66,0.005487833333333333,0.0,0.005487833333333333,0.43457691666666665,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,66,0.03530075,0.0,0.03530075,0.3842525833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,67,0.005691083333333334,0.0,0.005691083333333334,0.43418416666666665,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,67,0.034283,0.0,0.034283,0.3838106666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,68,0.005691083333333334,0.0,0.005691083333333334,0.43385841666666664,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,68,0.03348958333333333,0.0,0.03348958333333333,0.38360141666666664,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,69,0.005691083333333334,0.0,0.005691083333333334,0.43352875,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,69,0.0365545,0.0,0.0365545,0.3825759166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,70,0.005894333333333334,0.0,0.005894333333333334,0.43314325000000004,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,70,0.03574658333333334,0.0,0.03574658333333334,0.3821033333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,71,0.006300833333333333,0.0,0.006300833333333333,0.432779,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,71,0.03778241666666667,0.0,0.03778241666666667,0.381234,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,72,0.006097583333333333,0.0,0.006097583333333333,0.4322085,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,72,0.035756083333333334,0.0,0.035756083333333334,0.38072625,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,73,0.005894333333333334,0.0,0.005894333333333334,0.43193658333333335,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,73,0.03718741666666667,0.0,0.03718741666666667,0.38021875,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,74,0.006707333333333333,0.0,0.006707333333333333,0.4313168333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,74,0.03885383333333333,0.0,0.03885383333333333,0.3792914166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,75,0.007520333333333334,0.0,0.007520333333333334,0.43096375000000003,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,75,0.04129483333333333,0.0,0.04129483333333333,0.37853133333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,76,0.008536583333333334,0.0,0.008536583333333334,0.43067083333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,76,0.04189891666666667,0.0,0.04189891666666667,0.378086,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,77,0.008130083333333333,0.0,0.008130083333333333,0.4303128333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,77,0.04316283333333334,0.0,0.04316283333333334,0.37729641666666663,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,78,0.008333333333333333,0.0,0.008333333333333333,0.42979591666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,78,0.04500266666666667,0.0,0.04500266666666667,0.37654533333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,79,0.007926833333333333,0.0,0.007926833333333333,0.4294985,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,79,0.04543291666666666,0.0,0.04543291666666666,0.37600525,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,80,0.008130083333333333,0.0,0.008130083333333333,0.42937033333333335,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,80,0.046255750000000005,0.0,0.046255750000000005,0.37570975,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,81,0.008536583333333334,0.0,0.008536583333333334,0.428987,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,81,0.048318,0.0,0.048318,0.37507766666666664,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,82,0.008536583333333334,0.0,0.008536583333333334,0.42873775000000003,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,82,0.046089083333333336,0.0,0.046089083333333336,0.375179,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,83,0.008333333333333333,0.0,0.008333333333333333,0.42842725,0.0,1.0,12
