tier,cell,class_id,source,method,k,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,d128,tobacco800/logo_asg54f00_1,tobacco800,d128_1000_sift,1000,5,4841,1.0,0.7,1,0.6,1.0,1.0
s,d128,tobacco800/logo_asg54f00_1,tobacco800,d128_2000_sift,2000,5,4841,1.0,0.6833333333333333,1,0.6,1.0,1.0
s,d128,tobacco800/logo_azb11c00_1,tobacco800,d128_alone,,32,4841,,0.06809465803091705,20,0.0,0.0625,0.25
s,d128,tobacco800/logo_azb11c00_1,tobacco800,sift_exhaustive,,32,4841,,0.9419398118737269,1,0.3125,0.9375,0.9375
s,d128,tobacco800/logo_azb11c00_1,tobacco800,d128_100_sift,100,32,4841,0.25,0.30132030988483705,1,0.25,0.25,0.25
s,d128,tobacco800/logo_azb11c00_1,tobacco800,d128_500_sift,500,32,4841,0.78125,0.7854515748516065,1,0.3125,0.78125,0.78125
s,d128,tobacco800/logo_azb11c00_1,tobacco800,d128_1000_sift,1000,32,4841,0.875,0.8758472473925827,1,0.3125,0.875,0.875
s,d128,tobacco800/logo_azb11c00_1,tobacco800,d128_2000_sift,2000,32,4841,0.9375,0.9110616107481608,1,0.3125,0.90625,0.90625
s,d128,tobacco800/logo_bqz95d00_1,tobacco800,d128_alone,,9,4841,,0.17707018339172925,7,0.2222222222222222,0.7777777777777778,0.7777777777777778
s,d128,tobacco800/logo_bqz95d00_1,tobacco800,sift_exhaustive,,9,4841,,1.0,1,1.0,1.0,1.0
s,d128,tobacco800/logo_bqz95d00_1,tobacco800,d128_100_sift,100,9,4841,0.7777777777777778,0.7836561926357845,1,0.7777777777777778,0.7777777777777778,0.7777777777777778
s,d128,tobacco800/logo_bqz95d00_1,tobacco800,d128_500_sift,500,9,4841,1.0,1.0,1,1.0,1.0,1.0
s,d128,tobacco800/logo_bqz95d00_1,tobacco800,d128_1000_sift,1000,9,4841,1.0,1.0,1,1.0,1.0,1.0
s,d128,tobacco800/logo_bqz95d00_1,tobacco800,d128_2000_sift,2000,9,4841,1.0,1.0,1,1.0,1.0,1.0
s,d128,tobacco800/logo_cgr96c00_1,tobacco800,d128_alone,,8,4841,,0.0028349013874705772,188,0.0,0.0,0.0
s,d128,tobacco800/logo_cgr96c00_1,tobacco800,sift_exhaustive,,8,4841,,0.8925438596491229,1,0.875,0.875,1.0
s,d128,tobacco800/logo_cgr96c00_1,tobacco800,d128_100_sift,100,8,4841,0.0,0.0028349013874705772,188,0.0,0.0,0.0
s,d128,tobacco800/logo_cgr96c00_1,tobacco800,d128_500_sift,500,8,4841,0.125,0.1271700077704493,1,0.125,0.125,0.125
s,d128,tobacco800/logo_cgr96c00_1,tobacco800,d128_1000_sift,1000,8,4841,0.25,0.25183398626507303,1,0.25,0.25,0.25
s,d128,tobacco800/logo_cgr96c00_1,tobacco800,d128_2000_sift,2000,8,4841,0.75,0.643466201170619,1,0.625,0.75,0.75
s,d128,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,d128_alone,,21,4841,,0.4568051630030445,2,0.3333333333333333,0.6190476190476191,0.6666666666666666
s,d128,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,sift_exhaustive,,21,4841,,0.9435172088637436,1,0.47619047619047616,0.9523809523809523,0.9523809523809523
s,d128,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,d128_100_sift,100,21,4841,0.6666666666666666,0.6840095153474529,1,0.47619047619047616,0.6666666666666666,0.6666666666666666
s,d128,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,d128_500_sift,500,21,4841,0.9047619047619048,0.8627491764898387,1,0.47619047619047616,0.8571428571428571,0.8571428571428571
s,d128,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,d128_1000_sift,1000,21,4841,1.0,0.947828147049432,1,0.47619047619047616,0.9523809523809523,0.9523809523809523
s,d128,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,d128_2000_sift,2000,21,4841,1.0,0.943945282138971,1,0.47619047619047616,0.9523809523809523,0.9523809523809523
