budget,metric,arm,ref,n,ref_mean,arm_mean,delta,se,wilcoxon_p
25,cost,gp_dot_blend,app,30,0.04882053333333333,0.17164683333333333,0.12282630000000001,0.04958696307545283,0.016270914794374737
25,cost,gp_rbf_blend_straddle,app,30,0.04882053333333333,0.1510366333333333,0.1022161,0.06230991018782323,0.5900638024577389
25,cost,gp_rbf_blend_maxvar,app,30,0.04882053333333333,0.0033277333333333334,-0.0454928,0.01759291625498577,0.006482485720141504
25,fnr,app_xcal,app,30,0.00028490000000000004,0.0037037,0.0034188,0.0037244238506526535,0.6547208460185769
25,fnr,gp_rbf,app,30,0.00028490000000000004,0.0005698000000000001,0.00028490000000000004,0.0002849,0.31731050786291415
25,fnr,gp_rbf_rank,app,30,0.00028490000000000004,0.5159961,0.5157111999999999,0.062030657413439105,1.220145455994324e-05
25,fnr,gp_rbf_blend,app,30,0.00028490000000000004,0.0,-0.00028490000000000004,0.0002849,0.31731050786291415
25,fnr,gp_dot_blend,app,30,0.00028490000000000004,0.00028490000000000004,0.0,0.0,
25,fnr,gp_rbf_blend_straddle,app,30,0.00028490000000000004,0.0019608,0.0016759000000000001,0.0019910878909054582,0.6547208460185769
25,fnr,gp_rbf_blend_maxvar,app,30,0.00028490000000000004,0.0,-0.00028490000000000004,0.0002849,0.31731050786291415
25,average_precision,app_xcal,app,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_rbf,app,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_rbf_rank,app,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_rbf_blend,app,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_dot_blend,app,30,1.0,0.9992181,-0.0007818999999999984,0.0007818999999999984,0.31731050786291415
25,average_precision,gp_rbf_blend_straddle,app,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_rbf_blend_maxvar,app,30,1.0,1.0,0.0,0.0,
50,cost,app_xcal,app,30,0.019823966666666668,0.004678366666666667,-0.015145600000000002,0.007096358200473343,0.08428387967828298
50,cost,gp_rbf,app,30,0.019823966666666668,0.38431010000000004,0.3644861333333333,0.08717017957005278,0.0022055094496999644
50,cost,gp_rbf_rank,app,30,0.019823966666666668,0.4998709,0.4800469333333333,0.06175204676631967,5.207529993985087e-06
50,cost,gp_rbf_blend,app,30,0.019823966666666668,0.014850366666666667,-0.0049736000000000025,0.011259913273445638,0.28597919066405664
50,cost,gp_dot_blend,app,30,0.019823966666666668,0.01938746666666667,-0.0004365000000000008,0.009824789250437756,0.9057940914405992
50,cost,gp_rbf_blend_straddle,app,30,0.019823966666666668,0.09063646666666665,0.07081249999999999,0.03431501436125618,0.20967491728457333
50,cost,gp_rbf_blend_maxvar,app,30,0.019823966666666668,0.0041935,-0.015630466666666665,0.007055402128170411,0.03665792867221451
50,fnr,app_xcal,app,30,0.0,0.0037037,0.0037037,0.0037037000000000003,0.31731050786291415
50,fnr,gp_rbf,app,30,0.0,0.0,0.0,0.0,
50,fnr,gp_rbf_rank,app,30,0.0,0.4930555333333333,0.4930555333333333,0.06254745617320993,1.777171793754244e-05
50,fnr,gp_rbf_blend,app,30,0.0,0.0,0.0,0.0,
50,fnr,gp_dot_blend,app,30,0.0,0.0074074,0.0074074,0.007407400000000001,0.31731050786291415
50,fnr,gp_rbf_blend_straddle,app,30,0.0,0.0056645,0.0056645,0.004130531190896096,0.17971249487899976
50,fnr,gp_rbf_blend_maxvar,app,30,0.0,0.0037037,0.0037037,0.0037037000000000003,0.31731050786291415
50,average_precision,app_xcal,app,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_rbf,app,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_rbf_rank,app,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_rbf_blend,app,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_dot_blend,app,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_rbf_blend_straddle,app,30,1.0,1.0,0.0,0.0,
