n_labels,metric,arm,ref,n,ref_mean,arm_mean,delta,se,wilcoxon_p
8,average_precision,gp_rbf,svm_linear,30,0.9967702522362615,0.9972936099258365,0.0005233576895749844,0.001853507493777877,0.36680119939501743
8,average_precision,gp_rbf@fixed,svm_linear,30,0.9967702522362615,0.9979385974061205,0.0011683451698590271,0.0010133839301511998,0.32698934959801507
16,average_precision,gp_dot,svm_linear,30,0.9978213344547585,0.9980044846379086,0.00018315018315017879,0.00018315018315017879,0.31731050786291415
16,average_precision,gp_rbf,svm_linear,30,0.9978213344547585,0.9979353520933419,0.00011401763858352269,0.00010887578912220576,0.17971249487899976
16,average_precision,gp_rbf@fixed,svm_linear,30,0.9978213344547585,0.9974522685889734,-0.00036906586578502323,0.0004789762194815158,0.24886387493792206
32,average_precision,gp_dot,svm_linear,30,0.99953216374269,0.99953216374269,0.0,0.0,
32,average_precision,gp_rbf,svm_linear,30,0.99953216374269,0.9997385620915032,0.00020639834881321187,0.00020639834881321187,0.31731050786291415
32,average_precision,gp_rbf@fixed,svm_linear,30,0.99953216374269,0.9982080909506602,-0.0013240727920298511,0.0006566769869473199,0.0075792819433897285
64,average_precision,gp_dot,svm_linear,30,0.9992293028322441,0.9989678649237473,-0.0002614379084967348,0.0001820289660456578,0.17971249487899976
64,average_precision,gp_rbf,svm_linear,30,0.9992293028322441,0.9993218954248366,9.259259259258856e-05,0.00021787900938614624,1.0
64,average_precision,gp_rbf@fixed,svm_linear,30,0.9992293028322441,0.9983422573199124,-0.0008870455123315635,0.00045085450513766606,0.043114446783075355
128,average_precision,gp_dot,svm_linear,30,0.9987200435729847,0.9991830065359477,0.0004629629629629613,0.0004629629629629612,0.31731050786291415
128,average_precision,gp_rbf,svm_linear,30,0.9987200435729847,0.9987200435729847,0.0,0.0,
128,average_precision,gp_rbf@fixed,svm_linear,30,0.9987200435729847,0.9971572018880751,-0.001562841684909555,0.000977954379885885,0.04216819709715596
8,f1_at_xcal,gp_dot,svm_linear,30,0.7768767022365068,0.6493576929463204,-0.12751900929018642,0.02776631324163523,9.940081857188176e-05
8,f1_at_xcal,gp_rbf,svm_linear,30,0.7768767022365068,0.6827131819416378,-0.09416352029486898,0.04250779740592571,0.04757850903792886
8,f1_at_xcal,gp_rbf@fixed,svm_linear,30,0.7768767022365068,0.7778293685686225,0.0009526663321156841,0.008417358732959278,0.499656379643342
16,f1_at_xcal,gp_dot,svm_linear,30,0.789777013776702,0.8141473799084166,0.024370366131714734,0.012760040715605266,0.04187022080996622
16,f1_at_xcal,gp_rbf,svm_linear,30,0.789777013776702,0.8318679547624322,0.042090940985730366,0.016053330928600815,0.01959328479398985
16,f1_at_xcal,gp_rbf@fixed,svm_linear,30,0.789777013776702,0.6479050927266589,-0.14187192105004306,0.051898457921500114,0.01381285231671872
32,f1_at_xcal,gp_dot,svm_linear,30,0.8595489314016115,0.8898516208711764,0.030302689469565037,0.013625127813012764,0.038201869085036484
32,f1_at_xcal,gp_rbf,svm_linear,30,0.8595489314016115,0.883030998072248,0.023482066670636494,0.012773384346732185,0.08538899791882958
32,f1_at_xcal,gp_rbf@fixed,svm_linear,30,0.8595489314016115,0.7204527951415547,-0.13909613626005657,0.04424180048377652,0.007373515426767437
64,f1_at_xcal,gp_dot,svm_linear,30,0.8428783585175862,0.8660325585807318,0.023154200063145582,0.014079827443507305,0.06418536322763828
64,f1_at_xcal,gp_rbf,svm_linear,30,0.8428783585175862,0.876784807338278,0.033906448820691784,0.014524301204661527,0.008903385115881386
64,f1_at_xcal,gp_rbf@fixed,svm_linear,30,0.8428783585175862,0.7675377255516964,-0.07534063296588979,0.03915514730836181,0.06353635562465078
128,f1_at_xcal,gp_dot,svm_linear,30,0.8994950235402385,0.9195490043501541,0.020053980809915533,0.006992187799945664,0.004741768038406972
128,f1_at_xcal,gp_rbf,svm_linear,30,0.8994950235402385,0.9227219159798185,0.023226892439579823,0.0076008008169420275,0.004649433819808542
128,f1_at_xcal,gp_rbf@fixed,svm_linear,30,0.8994950235402385,0.7172574664360811,-0.1822375571041574,0.039660927896508755,1.2279185361336645e-05
8,brier,gp_dot,svm_linear,30,0.18393155345416784,0.21062213883583383,0.02669058538166596,0.007329540009527367,0.019660815596580505
8,brier,gp_rbf,svm_linear,30,0.18393155345416784,0.21361931014386315,0.029687756689695324,0.003476815641235528,9.313225746154785e-09
8,brier,gp_rbf@fixed,svm_linear,30,0.18393155345416784,0.23182061148702932,0.0478890580328615,0.0015385296685052597,1.862645149230957e-09
16,brier,gp_dot,svm_linear,30,0.15191257931653102,0.1354189828684885,-0.016493596448042505,0.0010674102104258015,1.862645149230957e-09
16,brier,gp_rbf,svm_linear,30,0.15191257931653102,0.13828915759954502,-0.013623421716985962,0.0005905571943600439,1.862645149230957e-09
16,brier,gp_rbf@fixed,svm_linear,30,0.15191257931653102,0.2087592042497087,0.056846624933177686,0.0012878616061351518,1.862645149230957e-09
32,brier,gp_dot,svm_linear,30,0.12138663499781875,0.09195279808839173,-0.029433836909427042,0.0008168214131633883,1.862645149230957e-09
32,brier,gp_rbf,svm_linear,30,0.12138663499781875,0.08792751931623775,-0.03345911568158098,0.0006075290303830082,1.862645149230957e-09
