embedder,backend,device,processor_class,mode,pil_mode,size,corpus_ok,corpus_shape,corpus_max_abs_vs_rgb,direct_ok,direct_shape,direct_max_abs_vs_rgb,direct_error
siglip2_l,pil,cpu,SiglipImageProcessorPil,1 (bilevel),1,"[637, 419]",True,"[1, 3, 384, 384]",1.8039215803146362,False,,,"ValueError: mean must have 1 elements if it is an iterable, got 3"
siglip2_l,pil,cpu,SiglipImageProcessorPil,EXIF orientation=6,RGB,"[637, 419]",True,"[1, 3, 384, 384]",0.9490196108818054,True,"[1, 3, 384, 384]",0.9490196108818054,
siglip2_l,pil,cpu,SiglipImageProcessorPil,1x1,RGB,"[1, 1]",True,"[1, 3, 384, 384]",1.686274528503418,True,"[1, 3, 384, 384]",1.686274528503418,
siglip2_l,pil,cpu,SiglipImageProcessorPil,3x900 (sliver),RGB,"[3, 900]",True,"[1, 3, 384, 384]",1.2941176891326904,True,"[1, 3, 384, 384]",1.2941176891326904,
siglip2_l,torchvision,cuda,SiglipImageProcessor,RGB (baseline),RGB,"[637, 419]",True,"[1, 3, 384, 384]",0.0,True,"[1, 3, 384, 384]",0.0,
siglip2_l,torchvision,cuda,SiglipImageProcessor,L (grayscale),L,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,True,"[1, 3, 384, 384]",1.3333333730697632,
siglip2_l,torchvision,cuda,SiglipImageProcessor,LA (grayscale+alpha),LA,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,False,,,ValueError: Unable to infer channel dimension format
siglip2_l,torchvision,cuda,SiglipImageProcessor,P (palette),P,"[637, 419]",True,"[1, 3, 384, 384]",0.6509803533554077,True,"[1, 3, 384, 384]",1.9607843160629272,
siglip2_l,torchvision,cuda,SiglipImageProcessor,PA (palette+alpha),PA,"[637, 419]",True,"[1, 3, 384, 384]",0.6509803533554077,False,,,ValueError: Unable to infer channel dimension format
siglip2_l,torchvision,cuda,SiglipImageProcessor,CMYK,CMYK,"[637, 419]",True,"[1, 3, 384, 384]",0.0,False,,,ValueError: Unable to infer channel dimension format
siglip2_l,torchvision,cuda,SiglipImageProcessor,RGBA,RGBA,"[637, 419]",True,"[1, 3, 384, 384]",0.0,False,,,ValueError: Unable to infer channel dimension format
siglip2_l,torchvision,cuda,SiglipImageProcessor,I;16 (16-bit),I;16,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,True,"[1, 3, 384, 384]",1.3333333730697632,
siglip2_l,torchvision,cuda,SiglipImageProcessor,1 (bilevel),1,"[637, 419]",True,"[1, 3, 384, 384]",1.8039215803146362,True,"[1, 3, 384, 384]",1.9921568632125854,
siglip2_l,torchvision,cuda,SiglipImageProcessor,EXIF orientation=6,RGB,"[637, 419]",True,"[1, 3, 384, 384]",0.9490196704864502,True,"[1, 3, 384, 384]",0.9490196704864502,
siglip2_l,torchvision,cuda,SiglipImageProcessor,1x1,RGB,"[1, 1]",True,"[1, 3, 384, 384]",1.686274528503418,True,"[1, 3, 384, 384]",1.686274528503418,
siglip2_l,torchvision,cuda,SiglipImageProcessor,3x900 (sliver),RGB,"[3, 900]",True,"[1, 3, 384, 384]",1.2862745523452759,True,"[1, 3, 384, 384]",1.2862745523452759,
