t,C,test_oracle_cost,test_ap,test_auroc,train_auroc,active_frac,wnorm,app_auroc,cv_auroc,ds
15,0.003,0.2711,0.5697,0.8955,0.9995,1.0,0.0205,0.794,0.7939,all
15,0.01,0.2714,0.5696,0.8953,0.9995,1.0,0.067,0.794,0.7933,all
15,0.03,0.2717,0.5697,0.895,0.9996,1.0,0.1929,0.7924,0.7916,all
15,0.1,0.2721,0.57,0.8947,0.9999,1.0,0.5743,0.7911,0.7916,all
15,0.3,0.2725,0.5708,0.8943,1.0,1.0,1.3419,0.7918,0.7939,all
15,1.0,0.2753,0.5701,0.8925,1.0,1.0,2.597,0.7935,0.7954,all
15,3.0,0.282,0.5666,0.8891,1.0,0.996,3.6676,0.794,0.7971,all
15,10.0,0.2889,0.5613,0.8853,1.0,0.9742,4.401,0.7946,0.7973,all
15,30.0,0.2925,0.5584,0.8833,1.0,0.9594,4.7111,0.7938,0.7968,all
20,0.001,0.2596,0.5827,0.9007,0.999,1.0,0.0084,0.7796,0.7881,all
20,0.003,0.2599,0.5828,0.9006,0.999,1.0,0.025,0.7796,0.7876,all
20,0.01,0.2603,0.5827,0.9004,0.9991,1.0,0.0816,0.7789,0.7877,all
20,0.03,0.2607,0.583,0.9001,0.9993,1.0,0.2338,0.7779,0.7873,all
20,0.1,0.2607,0.5838,0.8999,0.9996,1.0,0.6867,0.7785,0.7872,all
20,0.3,0.2612,0.5845,0.8995,0.9998,1.0,1.5682,0.781,0.7914,all
20,1.0,0.2643,0.5839,0.8975,1.0,0.9998,2.9497,0.7885,0.7946,all
20,3.0,0.2709,0.5803,0.8938,1.0,0.9848,4.1047,0.7935,0.7976,all
20,10.0,0.2778,0.575,0.89,1.0,0.95,4.9077,0.7968,0.7993,all
20,30.0,0.2816,0.5717,0.888,1.0,0.9303,5.2541,0.7966,0.7993,all
30,0.001,0.245,0.6003,0.9081,0.9977,1.0,0.0114,0.7667,0.7721,all
30,0.003,0.2451,0.6003,0.908,0.9977,1.0,0.034,0.7663,0.771,all
30,0.01,0.2453,0.6004,0.9078,0.9978,1.0,0.1102,0.7646,0.7701,all
30,0.03,0.2456,0.6007,0.9075,0.9981,1.0,0.3122,0.7638,0.7691,all
30,0.1,0.2459,0.6019,0.9073,0.9989,1.0,0.8916,0.7643,0.7712,all
30,0.3,0.2464,0.6028,0.9067,0.9997,1.0,1.9471,0.7698,0.7762,all
30,1.0,0.2506,0.6014,0.9043,1.0,0.9968,3.4879,0.7793,0.7859,all
30,3.0,0.2585,0.5966,0.9005,1.0,0.9562,4.7489,0.7854,0.7936,all
30,10.0,0.2662,0.5904,0.8969,1.0,0.9017,5.6528,0.7926,0.8,all
30,30.0,0.2699,0.5868,0.8951,1.0,0.872,6.0597,0.7944,0.8024,all
40,0.001,0.2361,0.6097,0.9126,0.9948,1.0,0.0144,0.7632,0.7704,all
40,0.003,0.2362,0.6097,0.9125,0.9949,1.0,0.0427,0.7627,0.7703,all
40,0.01,0.2364,0.61,0.9124,0.9953,1.0,0.1379,0.7614,0.7695,all
40,0.03,0.2363,0.6106,0.9123,0.996,1.0,0.3867,0.7596,0.7687,all
40,0.1,0.2358,0.6121,0.9124,0.9976,1.0,1.0747,0.7618,0.7708,all
40,0.3,0.2365,0.6136,0.9119,0.9992,1.0,2.2567,0.7666,0.7771,all
40,1.0,0.2407,0.6125,0.9096,0.9999,0.9891,3.8963,0.776,0.7885,all
40,3.0,0.248,0.6075,0.9061,1.0,0.9278,5.2362,0.785,0.8007,all
40,10.0,0.2564,0.6007,0.9024,1.0,0.8558,6.2313,0.7919,0.8087,all
40,30.0,0.2606,0.5965,0.9003,1.0,0.817,6.6964,0.7951,0.813,all
60,0.001,0.2224,0.6191,0.9207,0.9899,1.0,0.0202,0.7855,0.7899,all
60,0.003,0.2223,0.6195,0.9207,0.9901,1.0,0.0596,0.7851,0.789,all
60,0.01,0.2223,0.6201,0.9207,0.9908,1.0,0.1906,0.7845,0.7878,all
60,0.03,0.2215,0.6213,0.9209,0.9922,1.0,0.5241,0.7853,0.7875,all
60,0.1,0.2205,0.6237,0.921,0.9953,1.0,1.3893,0.7876,0.7914,all
60,0.3,0.2212,0.6256,0.9202,0.9983,0.9999,2.7485,0.795,0.8004,all
60,1.0,0.2275,0.6242,0.9171,0.9998,0.9666,4.5221,0.8081,0.8157,all
60,3.0,0.236,0.6186,0.9127,1.0,0.8731,5.9969,0.8206,0.8288,all
60,10.0,0.2449,0.6116,0.9086,1.0,0.7708,7.1679,0.8261,0.834,all
60,30.0,0.2491,0.6069,0.9064,1.0,0.7207,7.7543,0.8272,0.8348,all
80,0.001,0.2132,0.6267,0.9252,0.9849,1.0,0.0254,0.7952,0.7881,all
80,0.003,0.213,0.6271,0.9252,0.9852,1.0,0.0746,0.7948,0.7872,all
80,0.01,0.2127,0.6279,0.9253,0.9861,1.0,0.2368,0.7941,0.7866,all
80,0.03,0.2121,0.6297,0.9255,0.9886,1.0,0.64,0.7948,0.7872,all
80,0.1,0.2112,0.6329,0.9258,0.9933,1.0,1.6364,0.7992,0.7928,all
80,0.3,0.2123,0.6351,0.9247,0.9975,0.9991,3.1219,0.8085,0.8042,all
80,1.0,0.2193,0.6328,0.9209,0.9997,0.9476,5.0345,0.8232,0.8232,all
80,3.0,0.2289,0.6271,0.9162,1.0,0.8294,6.6864,0.8337,0.8355,all
80,10.0,0.2387,0.6198,0.912,1.0,0.7114,8.0716,0.8378,0.8406,all
80,30.0,0.2427,0.6153,0.9098,1.0,0.6558,8.7988,0.8379,0.841,all
100,0.001,0.2118,0.6328,0.9267,0.9779,1.0,0.0299,0.7827,0.7906,all
100,0.003,0.2117,0.6331,0.9267,0.9784,1.0,0.0877,0.7817,0.79,all
100,0.01,0.2111,0.6344,0.9269,0.98,1.0,0.2767,0.7814,0.79,all
100,0.03,0.2098,0.6367,0.9274,0.9835,1.0,0.7367,0.7828,0.7913,all
100,0.1,0.2079,0.6407,0.928,0.9902,1.0,1.8329,0.7883,0.7986,all
100,0.3,0.2085,0.6431,0.9271,0.9963,0.9976,3.4232,0.7995,0.8109,all
100,1.0,0.2153,0.6408,0.9232,0.9994,0.9315,5.4955,0.8166,0.8271,all
100,3.0,0.2249,0.6347,0.9186,1.0,0.7901,7.3797,0.8286,0.8384,all
100,10.0,0.2341,0.6268,0.9144,1.0,0.6658,9.0583,0.8334,0.8431,all
100,30.0,0.2393,0.621,0.9121,1.0,0.6101,9.9901,0.8337,0.8441,all
120,0.001,0.2116,0.6357,0.9266,0.9711,1.0,0.0343,0.7947,0.7927,all
120,0.003,0.2115,0.6361,0.9267,0.9717,1.0,0.1004,0.7941,0.7925,all
120,0.01,0.2107,0.6375,0.9271,0.9738,1.0,0.3147,0.7937,0.7924,all
120,0.03,0.208,0.6409,0.928,0.9785,1.0,0.8256,0.7955,0.7947,all
120,0.1,0.2047,0.6467,0.9292,0.9872,1.0,2.0051,0.801,0.8018,all
120,0.3,0.2047,0.6508,0.9285,0.9949,0.9953,3.6813,0.8123,0.8145,all
120,1.0,0.2119,0.6491,0.9245,0.9992,0.9145,5.8982,0.8273,0.832,all
120,3.0,0.2218,0.6426,0.92,1.0,0.7583,8.0023,0.8364,0.8436,all
120,10.0,0.2321,0.6334,0.9159,1.0,0.6312,9.9747,0.8397,0.8477,all
120,30.0,0.2379,0.6272,0.9135,1.0,0.5736,11.125,0.8394,0.848,all
150,0.001,0.2102,0.6414,0.9274,0.9603,1.0,0.0408,0.7977,0.7991,all
150,0.003,0.21,0.642,0.9275,0.9611,1.0,0.1189,0.7975,0.7987,all
150,0.01,0.2088,0.6441,0.9281,0.964,1.0,0.3686,0.7979,0.7998,all
150,0.03,0.2054,0.6485,0.9295,0.9706,1.0,0.9461,0.8009,0.8035,all
150,0.1,0.2013,0.6554,0.931,0.9824,1.0,2.2248,0.8087,0.812,all
150,0.3,0.2005,0.6596,0.9302,0.9928,0.9917,4.0053,0.8203,0.8255,all
150,1.0,0.2086,0.6574,0.9261,0.9987,0.8821,6.4302,0.8349,0.8427,all
150,3.0,0.2191,0.6505,0.9215,0.9999,0.7208,8.8767,0.8444,0.8528,all
150,10.0,0.23,0.6408,0.9172,1.0,0.5914,11.3274,0.8473,0.8554,all
150,30.0,0.2361,0.6338,0.9146,1.0,0.5315,12.8442,0.8466,0.8546,all
200,0.001,0.2075,0.642,0.928,0.9454,1.0,0.0524,0.812,0.8105,all
200,0.003,0.2072,0.6429,0.9281,0.9466,1.0,0.1515,0.8117,0.8106,all
200,0.01,0.2051,0.6459,0.9291,0.9507,1.0,0.4606,0.8127,0.8119,all
200,0.03,0.2009,0.6522,0.9311,0.9598,1.0,1.1392,0.8162,0.8159,all
200,0.1,0.1954,0.6617,0.9333,0.9761,0.9999,2.544,0.8242,0.8248,all
200,0.3,0.1939,0.6673,0.9327,0.9899,0.9833,4.4373,0.8352,0.8383,all
200,1.0,0.2021,0.665,0.9286,0.998,0.8377,7.1088,0.848,0.8528,all
200,3.0,0.2122,0.6579,0.9239,0.9998,0.6713,9.9922,0.8559,0.8618,all
200,10.0,0.2237,0.6477,0.9194,1.0,0.5389,13.1179,0.8571,0.8632,all
200,30.0,0.2306,0.6398,0.9163,1.0,0.4794,15.2114,0.8552,0.8615,all
250,0.001,0.2052,0.6444,0.928,0.934,1.0,0.0644,0.817,0.8231,all
250,0.003,0.2044,0.6457,0.9284,0.9356,1.0,0.185,0.8172,0.8233,all
250,0.01,0.2018,0.6495,0.9298,0.9408,1.0,0.5509,0.8186,0.8249,all
250,0.03,0.1962,0.6575,0.9327,0.9521,1.0,1.3152,0.8225,0.8297,all
250,0.1,0.1891,0.6689,0.9357,0.9719,0.9998,2.8125,0.8317,0.8398,all
250,0.3,0.1885,0.6756,0.9352,0.9881,0.9637,4.7915,0.8433,0.8522,all
250,1.0,0.1967,0.673,0.9306,0.9974,0.8073,7.6583,0.8549,0.8647,all
250,3.0,0.2074,0.6655,0.9257,0.9997,0.6294,10.8789,0.8604,0.871,all
250,10.0,0.2195,0.6553,0.9209,1.0,0.4958,14.5596,0.8599,0.8709,all
250,30.0,0.2266,0.6471,0.9178,1.0,0.4385,17.1665,0.8571,0.868,all
300,0.001,0.2058,0.6421,0.9277,0.9264,1.0,0.0774,0.831,0.8331,all
300,0.003,0.2046,0.6438,0.9283,0.9283,1.0,0.2206,0.8312,0.8334,all
300,0.01,0.2009,0.6488,0.9303,0.9344,1.0,0.643,0.8329,0.8355,all
300,0.03,0.1933,0.6581,0.9339,0.9471,1.0,1.4831,0.8372,0.8405,all
300,0.1,0.1843,0.6717,0.9374,0.9688,0.9992,3.0482,0.8462,0.8507,all
300,0.3,0.1838,0.6787,0.937,0.9865,0.9388,5.0828,0.8574,0.8625,all
300,1.0,0.1924,0.6761,0.9324,0.9968,0.7781,8.0813,0.8675,0.874,all
300,3.0,0.2037,0.6686,0.9274,0.9995,0.5928,11.5453,0.8724,0.8793,all
300,10.0,0.2157,0.6578,0.9225,1.0,0.4606,15.6717,0.8713,0.8781,all
300,30.0,0.2232,0.6489,0.9192,1.0,0.4027,18.7647,0.8682,0.8744,all
350,0.001,0.2041,0.6423,0.9282,0.9221,1.0,0.0907,0.8409,0.8403,all
350,0.003,0.2027,0.6441,0.9289,0.9242,1.0,0.2565,0.8411,0.8407,all
350,0.01,0.1983,0.65,0.9312,0.9308,1.0,0.7322,0.8427,0.8431,all
350,0.03,0.1906,0.6607,0.9352,0.9444,1.0,1.6382,0.8473,0.8485,all
350,0.1,0.1815,0.6751,0.939,0.9666,0.9955,3.2586,0.856,0.8586,all
350,0.3,0.1807,0.6817,0.9384,0.9848,0.9199,5.3371,0.8661,0.8697,all
350,1.0,0.19,0.6784,0.9337,0.9959,0.7486,8.422,0.8748,0.8795,all
350,3.0,0.2017,0.6708,0.9285,0.9993,0.5589,12.0684,0.8769,0.8821,all
350,10.0,0.2141,0.6591,0.9232,1.0,0.4306,16.5939,0.8736,0.8787,all
350,30.0,0.2221,0.6499,0.9197,1.0,0.3738,20.1837,0.8692,0.8744,all
400,0.001,0.2021,0.6432,0.9293,0.9197,1.0,0.1047,0.8446,0.8469,all
400,0.003,0.2004,0.6454,0.9301,0.922,1.0,0.2935,0.8451,0.8475,all
400,0.01,0.1953,0.6519,0.9327,0.9291,1.0,0.8204,0.8474,0.8503,all
400,0.03,0.187,0.663,0.9369,0.9431,1.0,1.7833,0.8526,0.8559,all
400,0.1,0.1774,0.6773,0.9406,0.9651,0.986,3.4458,0.862,0.8658,all
400,0.3,0.1777,0.6834,0.9396,0.9832,0.9035,5.5566,0.8718,0.876,all
400,1.0,0.1868,0.68,0.9348,0.9949,0.7148,8.701,0.8796,0.8838,all
400,3.0,0.1993,0.672,0.9295,0.999,0.5268,12.4776,0.8806,0.8845,all
400,10.0,0.2123,0.6599,0.924,0.9999,0.4038,17.3065,0.8763,0.8796,all
400,30.0,0.2206,0.6505,0.9202,1.0,0.3491,21.328,0.8717,0.8746,all
5,0.001,0.0094,0.9894,0.9987,1.0,1.0,0.0037,1.0,1.0,caltech
5,0.003,0.0094,0.9894,0.9987,1.0,1.0,0.011,1.0,1.0,caltech
5,0.01,0.0095,0.9894,0.9987,1.0,1.0,0.0364,1.0,1.0,caltech
5,0.03,0.0097,0.9894,0.9986,1.0,1.0,0.1063,1.0,1.0,caltech
5,0.1,0.0097,0.9894,0.9986,1.0,1.0,0.3235,1.0,1.0,caltech
5,0.3,0.0098,0.9894,0.9986,1.0,1.0,0.7797,1.0,1.0,caltech
5,1.0,0.01,0.9895,0.9986,1.0,1.0,1.5517,1.0,1.0,caltech
5,3.0,0.0102,0.9899,0.9986,1.0,1.0,2.1811,1.0,1.0,caltech
5,10.0,0.0104,0.99,0.9985,1.0,1.0,2.5559,1.0,1.0,caltech
5,30.0,0.0101,0.9905,0.9985,1.0,0.9965,2.6935,1.0,1.0,caltech
10,0.001,0.0031,0.9977,0.9996,1.0,1.0,0.0061,1.0,1.0,caltech
10,0.003,0.003,0.9978,0.9996,1.0,1.0,0.0181,1.0,1.0,caltech
10,0.01,0.0029,0.9978,0.9996,1.0,1.0,0.0593,1.0,1.0,caltech
10,0.03,0.0029,0.9979,0.9997,1.0,1.0,0.1706,1.0,1.0,caltech
10,0.1,0.0029,0.9979,0.9997,1.0,1.0,0.5029,1.0,1.0,caltech
10,0.3,0.0027,0.9981,0.9997,1.0,1.0,1.1457,1.0,1.0,caltech
10,1.0,0.0025,0.9983,0.9998,1.0,1.0,2.1107,1.0,1.0,caltech
10,3.0,0.0022,0.9984,0.9998,1.0,1.0,2.8319,1.0,1.0,caltech
10,10.0,0.0021,0.9985,0.9998,1.0,0.9783,3.2603,1.0,1.0,caltech
10,30.0,0.0021,0.9985,0.9998,1.0,0.9583,3.4233,1.0,1.0,caltech
15,0.001,0.0015,0.9996,0.9998,1.0,1.0,0.0081,1.0,0.9956,caltech
15,0.003,0.0015,0.9996,0.9998,1.0,1.0,0.0241,1.0,0.9956,caltech
15,0.01,0.0013,0.9996,0.9998,1.0,1.0,0.0788,1.0,0.9956,caltech
15,0.03,0.0013,0.9996,0.9998,1.0,1.0,0.2246,1.0,0.9956,caltech
15,0.1,0.0013,0.9997,0.9999,1.0,1.0,0.6478,1.0,0.9956,caltech
15,0.3,0.0013,0.9997,0.9999,1.0,1.0,1.4245,1.0,0.9956,caltech
15,1.0,0.0011,0.9998,0.9999,1.0,1.0,2.5081,1.0,0.9956,caltech
15,3.0,0.0011,0.9998,0.9999,1.0,0.9922,3.2729,1.0,0.9956,caltech
15,10.0,0.0011,0.9999,0.9999,1.0,0.9422,3.7225,1.0,0.9956,caltech
15,30.0,0.0011,0.9999,1.0,1.0,0.9167,3.8947,1.0,0.9956,caltech
20,0.001,0.0001,1.0,1.0,1.0,1.0,0.01,0.9969,0.9992,caltech
20,0.003,0.0001,1.0,1.0,1.0,1.0,0.0298,0.9969,0.9992,caltech
20,0.01,0.0001,1.0,1.0,1.0,1.0,0.0968,0.9969,0.9992,caltech
20,0.03,0.0001,1.0,1.0,1.0,1.0,0.2739,0.9969,0.9992,caltech
20,0.1,0.0001,1.0,1.0,1.0,1.0,0.7765,0.9969,0.9992,caltech
20,0.3,0.0001,1.0,1.0,1.0,1.0,1.6597,0.9969,0.9992,caltech
20,1.0,0.0,1.0,1.0,1.0,1.0,2.8237,0.9979,0.9992,caltech
20,3.0,0.0,1.0,1.0,1.0,0.9792,3.6122,0.999,0.9992,caltech
20,10.0,0.0,1.0,1.0,1.0,0.9283,4.0693,0.999,1.0,caltech
20,30.0,0.0,1.0,1.0,1.0,0.8933,4.2443,0.999,1.0,caltech
30,0.001,0.0,1.0,1.0,1.0,1.0,0.0144,1.0,1.0,caltech
30,0.003,0.0,1.0,1.0,1.0,1.0,0.0428,1.0,1.0,caltech
30,0.01,0.0,1.0,1.0,1.0,1.0,0.1376,1.0,1.0,caltech
30,0.03,0.0,1.0,1.0,1.0,1.0,0.3824,1.0,1.0,caltech
30,0.1,0.0,1.0,1.0,1.0,1.0,1.0348,1.0,1.0,caltech
30,0.3,0.0,1.0,1.0,1.0,1.0,2.0532,1.0,1.0,caltech
30,1.0,0.0,1.0,1.0,1.0,0.9939,3.2118,1.0,1.0,caltech
30,3.0,0.0,1.0,1.0,1.0,0.9383,3.9253,1.0,1.0,caltech
30,10.0,0.0,1.0,1.0,1.0,0.8633,4.3278,1.0,1.0,caltech
30,30.0,0.0,1.0,1.0,1.0,0.825,4.4805,1.0,1.0,caltech
40,0.001,0.0,1.0,1.0,1.0,1.0,0.0193,1.0,1.0,caltech
40,0.003,0.0,1.0,1.0,1.0,1.0,0.0568,1.0,1.0,caltech
40,0.01,0.0,1.0,1.0,1.0,1.0,0.1812,1.0,1.0,caltech
40,0.03,0.0,1.0,1.0,1.0,1.0,0.4934,1.0,1.0,caltech
40,0.1,0.0,1.0,1.0,1.0,1.0,1.2688,1.0,1.0,caltech
40,0.3,0.0,1.0,1.0,1.0,1.0,2.3438,1.0,1.0,caltech
40,1.0,0.0,1.0,1.0,1.0,0.9775,3.4284,1.0,1.0,caltech
40,3.0,0.0,1.0,1.0,1.0,0.8904,4.0624,1.0,1.0,caltech
40,10.0,0.0,1.0,1.0,1.0,0.7962,4.418,1.0,1.0,caltech
40,30.0,0.0,1.0,1.0,1.0,0.7471,4.5547,1.0,1.0,caltech
60,0.001,0.0,1.0,1.0,1.0,1.0,0.0285,1.0,1.0,caltech
60,0.003,0.0,1.0,1.0,1.0,1.0,0.0835,1.0,1.0,caltech
60,0.01,0.0,1.0,1.0,1.0,1.0,0.2624,1.0,1.0,caltech
60,0.03,0.0,1.0,1.0,1.0,1.0,0.6904,1.0,1.0,caltech
60,0.1,0.0,1.0,1.0,1.0,1.0,1.6398,1.0,1.0,caltech
60,0.3,0.0,1.0,1.0,1.0,0.9994,2.7534,1.0,1.0,caltech
60,1.0,0.0,1.0,1.0,1.0,0.9303,3.7181,1.0,1.0,caltech
60,3.0,0.0,1.0,1.0,1.0,0.8383,4.2296,1.0,1.0,caltech
60,10.0,0.0,1.0,1.0,1.0,0.7125,4.5052,1.0,1.0,caltech
60,30.0,0.0,1.0,1.0,1.0,0.6397,4.6141,1.0,1.0,caltech
80,0.001,0.0,1.0,1.0,1.0,1.0,0.038,0.9998,1.0,caltech
80,0.003,0.0,1.0,1.0,1.0,1.0,0.1106,0.9999,1.0,caltech
80,0.01,0.0,1.0,1.0,1.0,1.0,0.3423,0.9999,1.0,caltech
80,0.03,0.0,1.0,1.0,1.0,1.0,0.8712,0.9999,1.0,caltech
80,0.1,0.0,1.0,1.0,1.0,1.0,1.9309,0.9999,1.0,caltech
80,0.3,0.0,1.0,1.0,1.0,0.9965,3.0179,1.0,1.0,caltech
80,1.0,0.0,1.0,1.0,1.0,0.9208,3.8627,1.0,1.0,caltech
80,3.0,0.0,1.0,1.0,1.0,0.7994,4.2853,1.0,1.0,caltech
80,10.0,0.0,1.0,1.0,1.0,0.6135,4.5232,1.0,1.0,caltech
80,30.0,0.0,1.0,1.0,1.0,0.5335,4.6227,1.0,1.0,caltech
100,0.001,0.0,1.0,1.0,1.0,1.0,0.0477,1.0,1.0,caltech
100,0.003,0.0,1.0,1.0,1.0,1.0,0.1383,1.0,1.0,caltech
100,0.01,0.0,1.0,1.0,1.0,1.0,0.4217,1.0,1.0,caltech
100,0.03,0.0,1.0,1.0,1.0,1.0,1.0376,1.0,1.0,caltech
100,0.1,0.0,1.0,1.0,1.0,1.0,2.1598,1.0,1.0,caltech
100,0.3,0.0,1.0,1.0,1.0,0.9913,3.1899,1.0,1.0,caltech
100,1.0,0.0,1.0,1.0,1.0,0.923,3.9349,1.0,1.0,caltech
100,3.0,0.0,1.0,1.0,1.0,0.7105,4.3075,1.0,1.0,caltech
100,10.0,0.0,1.0,1.0,1.0,0.5097,4.5298,1.0,1.0,caltech
100,30.0,0.0,1.0,1.0,1.0,0.4373,4.625,1.0,1.0,caltech
120,0.001,0.0,0.9998,1.0,1.0,1.0,0.0577,1.0,1.0,caltech
120,0.003,0.0,1.0,1.0,1.0,1.0,0.1663,1.0,1.0,caltech
120,0.01,0.0,1.0,1.0,1.0,1.0,0.4993,1.0,1.0,caltech
120,0.03,0.0,1.0,1.0,1.0,1.0,1.1887,1.0,1.0,caltech
120,0.1,0.0,1.0,1.0,1.0,1.0,2.3406,1.0,1.0,caltech
120,0.3,0.0,1.0,1.0,1.0,0.9868,3.3071,1.0,1.0,caltech
120,1.0,0.0,1.0,1.0,1.0,0.9018,3.9751,1.0,1.0,caltech
120,3.0,0.0,1.0,1.0,1.0,0.6104,4.3206,1.0,1.0,caltech
120,10.0,0.0,1.0,1.0,1.0,0.4276,4.534,1.0,1.0,caltech
120,30.0,0.0,1.0,1.0,1.0,0.3665,4.6263,1.0,1.0,caltech
150,0.001,0.0,0.9998,1.0,1.0,1.0,0.0729,1.0,1.0,caltech
150,0.003,0.0,0.9998,1.0,1.0,1.0,0.2085,1.0,1.0,caltech
150,0.01,0.0,0.9998,1.0,1.0,1.0,0.6115,1.0,1.0,caltech
150,0.03,0.0,1.0,1.0,1.0,1.0,1.3886,1.0,1.0,caltech
150,0.1,0.0,1.0,1.0,1.0,0.9999,2.5458,1.0,1.0,caltech
150,0.3,0.0,1.0,1.0,1.0,0.9823,3.4211,1.0,1.0,caltech
150,1.0,0.0,1.0,1.0,1.0,0.7871,4.0094,1.0,1.0,caltech
150,3.0,0.0,1.0,1.0,1.0,0.4933,4.3339,1.0,1.0,caltech
150,10.0,0.0,1.0,1.0,1.0,0.3434,4.5382,1.0,1.0,caltech
150,30.0,0.0,1.0,1.0,1.0,0.2938,4.6277,1.0,1.0,caltech
200,0.001,0.0002,0.9997,1.0,1.0,1.0,0.0988,1.0,1.0,caltech
200,0.003,0.0001,0.9997,1.0,1.0,1.0,0.2787,1.0,1.0,caltech
200,0.01,0.0,0.9998,1.0,1.0,1.0,0.7857,1.0,1.0,caltech
200,0.03,0.0,0.9998,1.0,1.0,1.0,1.6607,1.0,1.0,caltech
200,0.1,0.0,1.0,1.0,1.0,0.9997,2.7741,1.0,1.0,caltech
200,0.3,0.0,1.0,1.0,1.0,0.9662,3.5249,1.0,1.0,caltech
200,1.0,0.0,1.0,1.0,1.0,0.5975,4.0431,1.0,1.0,caltech
200,3.0,0.0,1.0,1.0,1.0,0.3712,4.3475,1.0,1.0,caltech
200,10.0,0.0,1.0,1.0,1.0,0.2578,4.5424,1.0,1.0,caltech
200,30.0,0.0,1.0,1.0,1.0,0.2205,4.6291,1.0,1.0,caltech
250,0.001,0.0003,0.9995,1.0,1.0,1.0,0.1252,0.9997,1.0,caltech
250,0.003,0.0002,0.9995,1.0,1.0,1.0,0.3482,0.9998,1.0,caltech
250,0.01,0.0001,0.9997,1.0,1.0,1.0,0.9438,0.9998,1.0,caltech
250,0.03,0.0,0.9998,1.0,1.0,1.0,1.8718,0.9999,1.0,caltech
250,0.1,0.0,1.0,1.0,1.0,0.9991,2.9156,1.0,1.0,caltech
250,0.3,0.0,1.0,1.0,1.0,0.8687,3.5778,1.0,1.0,caltech
250,1.0,0.0,1.0,1.0,1.0,0.4798,4.0642,1.0,1.0,caltech
250,3.0,0.0,1.0,1.0,1.0,0.2979,4.3559,1.0,1.0,caltech
250,10.0,0.0,1.0,1.0,1.0,0.2068,4.545,1.0,1.0,caltech
250,30.0,0.0,1.0,1.0,1.0,0.1766,4.6299,1.0,1.0,caltech
300,0.001,0.0004,0.9994,1.0,1.0,1.0,0.152,1.0,1.0,caltech
300,0.003,0.0003,0.9995,1.0,1.0,1.0,0.4166,1.0,1.0,caltech
300,0.01,0.0001,0.9997,1.0,1.0,1.0,1.0861,1.0,1.0,caltech
300,0.03,0.0,0.9998,1.0,1.0,1.0,2.0364,1.0,1.0,caltech
300,0.1,0.0,1.0,1.0,1.0,0.9961,3.0065,1.0,1.0,caltech
300,0.3,0.0,1.0,1.0,1.0,0.7364,3.6121,1.0,1.0,caltech
300,1.0,0.0,1.0,1.0,1.0,0.4006,4.0795,1.0,1.0,caltech
300,3.0,0.0,1.0,1.0,1.0,0.2494,4.3626,1.0,1.0,caltech
300,10.0,0.0,1.0,1.0,1.0,0.1724,4.5478,1.0,1.0,caltech
300,30.0,0.0,1.0,1.0,1.0,0.1472,4.6316,1.0,1.0,caltech
350,0.001,0.0002,0.9994,1.0,1.0,1.0,0.1785,1.0,0.9999,caltech
350,0.003,0.0002,0.9995,1.0,1.0,1.0,0.4819,1.0,1.0,caltech
350,0.01,0.0001,0.9997,1.0,1.0,1.0,1.2109,1.0,1.0,caltech
350,0.03,0.0,0.9998,1.0,1.0,1.0,2.1643,1.0,1.0,caltech
350,0.1,0.0,1.0,1.0,1.0,0.9691,3.0739,1.0,1.0,caltech
