dataset,embedder,style,inclusion_k,n_cells,d_mean,d_se,d_lo,d_hi,a_mean,b_mean,contrast,arm_b,harmed,sig_better,sig_worse
coco_val,siglip+dinov3_patch,max_patch,-6.0,76,-0.0014560211636513159,0.0007285841930558361,-0.002881558531712583,-6.56789820363905e-05,0.024340830844983556,0.022884809681332236,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,-5.0,76,-0.0032657960773026322,0.0008136361547624032,-0.004933152297748768,-0.0017069075139288664,0.025839937117598685,0.022574141040296054,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,-4.0,76,-0.006571324009046052,0.0011199698214728133,-0.00890476794634046,-0.004561976383120887,0.028391812442434206,0.02182048843338816,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,-3.0,76,-0.010202524037828948,0.001592776611672365,-0.01368856762171053,-0.007255585742804277,0.03143680381578948,0.021234279777960528,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,-2.0,76,-0.011374412631578948,0.0018338337283966629,-0.015290315880756576,-0.008084616553042765,0.032866311809210534,0.021491899177631578,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,-1.0,76,-0.011345344835526317,0.0020590833855548625,-0.01561642063075658,-0.00770567233470395,0.03617329815789474,0.024827953322368423,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,-0.5,76,-0.011535186531140324,0.0024673501383714186,-0.016598290186356772,-0.006891396443540536,0.040899340369107494,0.029364153837967172,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,-0.25,76,-0.011324816785457598,0.002883161924881569,-0.01686929441557625,-0.0057433617160629665,0.04403468053133624,0.03270986374587863,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,0.0,76,-0.01078886875,0.003304331252206435,-0.017606955310855266,-0.004506150572368426,0.04775433513157895,0.03696546638157895,recut,cross_tilt,False,True,False
coco_val,siglip+dinov3_patch,max_patch,1.0,76,-0.0027587350000000013,0.003565715768829305,-0.00978038795970395,0.004381508441611838,0.03640751296052632,0.03364877796052631,recut,cross_tilt,False,False,False
coco_val,siglip+dinov3_patch,max_patch,2.0,76,0.0016005107565789463,0.0045009580969543285,-0.006750176362664475,0.010732812257812495,0.0325235221875,0.03412403294407895,recut,cross_tilt,True,False,False
coco_val,siglip+dinov3_patch,max_patch,3.0,76,0.005566739383223685,0.005169235036608333,-0.004097261014597041,0.016281746772203943,0.030408095501644736,0.03597483488486842,recut,cross_tilt,True,False,False
coco_val,siglip+dinov3_patch,max_patch,4.0,76,0.012743014564144735,0.005390835797251204,0.0028496910290912825,0.024153409816611834,0.022494616480263158,0.0352376310444079,recut,cross_tilt,True,False,True
coco_val,siglip+dinov3_patch,max_patch,5.0,76,0.01685802704975329,0.005179009032117185,0.007428355081003291,0.027766055650698993,0.01676492145148026,0.033622948501233554,recut,cross_tilt,True,False,True
coco_val,siglip+dinov3_patch,max_patch,6.0,76,0.017501658044819075,0.0049298261610353795,0.008678472427760075,0.02777943731260279,0.012685683246299342,0.030187341291118424,recut,cross_tilt,True,False,True
coco_val,siglip+dinov3_patch,max_patch,7.0,76,0.016045302649568254,0.004315687303839017,0.008088446403795746,0.02484092387638775,0.009949420974506578,0.025994723624074834,recut,cross_tilt,True,False,True
coco_val,siglip+dinov3_patch,max_patch,8.0,76,0.01352401337890625,0.0038281501755106765,0.0066916616692794,0.021690511885067588,0.008193282698653371,0.02171729607755962,recut,cross_tilt,True,False,True
coco_val,siglip+dinov3_patch,max_patch,9.0,76,0.011408195002698397,0.003345778047547088,0.005258839034616572,0.018436962400702226,0.006946006748046875,0.01835420175074527,recut,cross_tilt,True,False,True
coco_val,siglip+dinov3_patch,max_patch,10.0,76,0.009624368416555304,0.002901160645945169,0.004562027659716155,0.015773173231734425,0.005981247013389185,0.01560561542994449,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,-10.0,68,-0.0033352214822208177,0.0005230699395889615,-0.004421613115842933,-0.0023377482320736174,0.027364305923713236,0.024029084441492415,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-9.0,68,-0.003923015201775046,0.0005648821611028477,-0.005051174143845501,-0.0028430508314137176,0.029003538632668892,0.025080523430893845,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-8.0,68,-0.004702613031077665,0.0006313149595511692,-0.005974569371165555,-0.0034875628492072614,0.03095370620203354,0.026251093170955885,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-7.0,68,-0.005797101911764706,0.000734689937594922,-0.007292241024859262,-0.00432592770713178,0.03323255932444853,0.027435457412683825,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-6.0,68,-0.007377957650505514,0.0008958213319876059,-0.009177193339039526,-0.005657633269272749,0.0359317563706342,0.028553798720128677,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-5.0,68,-0.009722424420955883,0.0011049720130460318,-0.011891277978745405,-0.007587043632410385,0.0390499087477022,0.02932748432674633,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-4.0,68,-0.01392223843290441,0.0013499495845582569,-0.01648889458524816,-0.011319769746783089,0.04313805266084559,0.029215814227941173,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-3.0,68,-0.017733431599264708,0.0016893545741971674,-0.021166648833180153,-0.0145200909855239,0.04596094574448529,0.02822751414522059,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-2.0,68,-0.017469810312500004,0.0019342247951103402,-0.021381533822150738,-0.013731567130974266,0.046471514356617644,0.029001704044117643,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-1.0,68,-0.012262228676470588,0.002521542490574266,-0.017189441877757356,-0.00757453403308824,0.04735545169117647,0.035093223014705875,recut,cross_tilt,False,True,False
visual_genome_m,siglip,whole_image,-0.5,68,-0.005597765859192295,0.003387330904959767,-0.011983998525572304,0.00124521369114755,0.04980507871521572,0.044207312856023424,recut,cross_tilt,False,False,False
visual_genome_m,siglip,whole_image,-0.25,68,-0.0007160867358033937,0.004225812453854385,-0.009045663014009006,0.007417960955162112,0.05228670822494549,0.0515706214891421,recut,cross_tilt,False,False,False
visual_genome_m,siglip,whole_image,0.0,68,0.005686329044117644,0.005086979342212029,-0.004385650595588239,0.015422867185661764,0.055960896176470584,0.06164722522058823,recut,cross_tilt,True,False,False
visual_genome_m,siglip,whole_image,1.0,68,0.027292518014705884,0.00685412459323613,0.014629386990808825,0.04112873725275734,0.04395842147058823,0.0712509394852941,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,2.0,68,0.0431597574632353,0.008724888502214062,0.026345736437959563,0.06110064657674632,0.04180418536764705,0.08496394283088235,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,3.0,68,0.05490666383272059,0.009526334835886476,0.03738795885133272,0.07481723795657166,0.03576326423713235,0.09066992806985294,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,4.0,68,0.056306790326286764,0.008369638897458672,0.040694542604894295,0.0735647546092601,0.029896651089154416,0.08620344141544119,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,5.0,68,0.04863400379136029,0.007085948519239151,0.03559140362321923,0.06385149762235755,0.024084024836856618,0.07271802862821691,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,6.0,68,0.03858345200712317,0.005355253091048517,0.028631349425494022,0.04972289999221621,0.018218682171415444,0.05680213417853861,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,7.0,68,0.028401745253906253,0.0038919088962621187,0.021147806516371784,0.036324885818502975,0.013652971360294119,0.04205471661420037,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,8.0,68,0.020568142543083638,0.002718907715057505,0.015648104729413203,0.026216832212301814,0.010402180666360292,0.03097032320944393,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,9.0,68,0.014803459107594211,0.0020470502799378796,0.010818234431698071,0.018851566580875164,0.008066190903894764,0.02286965001148897,recut,cross_tilt,True,False,True
visual_genome_m,siglip,whole_image,10.0,68,0.010784644873046876,0.0015771155363959162,0.007841307338949766,0.013985644766863646,0.006513314390366499,0.01729795926341337,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,-10.0,68,-0.0037008092638442097,0.0008685217521865818,-0.00551577571574312,-0.002092859631993913,0.041715266269531245,0.038014457005687036,recut,cross_tilt,False,True,False
