geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
dinov3_patch/max_patch,region,mid 26-60,0.30,0.3,0.014498192857142857,0.020977478768872113,48,regret_honest
dinov3_patch/max_patch,region,mid 26-60,0.40,0.4,0.010453650595238095,0.01276642966542997,48,regret_honest
dinov3_patch/max_patch,region,mid 26-60,0.50,0.5,0.015780134523809525,0.017100466376317167,48,regret_honest
dinov3_patch/max_patch,region,mid 26-60,0.60,0.6,0.018568717261904764,0.030559809812655565,48,regret_honest
dinov3_patch/max_patch,region,mid 26-60,0.70,0.7,0.020831751785714284,0.018287601430770094,48,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.30,0.3,0.016380145,0.043140023695767665,48,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.40,0.4,0.011323269166666669,0.03778099162588216,48,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.50,0.5,0.0014032316666666665,0.020958455059333234,48,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.60,0.6,0.002880784583333334,0.024906756095852828,48,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.70,0.7,0.0025310820833333333,0.01560186540240662,48,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.30,0.3,0.040159264599116166,0.02326877097684864,48,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.40,0.4,0.043662382150307426,0.027660850083210686,48,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.50,0.5,0.05356385643459047,0.0373181120993415,48,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.60,0.6,0.057880642563543035,0.03617570931717624,48,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.70,0.7,0.07246906082907884,0.051963283316846194,48,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.30,0.3,0.009752630208333333,0.02269034758985012,48,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.40,0.4,0.005280202604166667,0.0162962809938017,48,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.50,0.5,0.004281085416666666,0.013249192965492549,48,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.60,0.6,0.004732893229166667,0.021352948967360594,48,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.70,0.7,0.0069209359375,0.017038985013520656,48,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.30,0.3,0.01586454345238095,0.019464517218823918,48,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.40,0.4,0.014463136904761904,0.020134955803161686,48,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.50,0.5,0.016016515476190474,0.017472828543984645,48,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.60,0.6,0.017153322023809526,0.020171132025884247,48,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.70,0.7,0.01813442023809524,0.01806062199949178,48,regret_honest
