dataset,geometry,category,seed,mode,band,metric,n,mean,sd,range,p05,p95,pin_value,pin_percentile
vg_scale_any,dinov3_patch/whole_image,bird,2,binary,mid 26-60,regret,20.0,0.2518174742857143,0.042188201171614544,0.15862117142857143,0.19491049571428573,0.30038874857142855,0.19670054285714286,0.075
vg_scale_any,dinov3_patch/whole_image,bird,2,binary,mid 26-60,n_good,20.0,26.374285714285712,2.635148685161968,11.514285714285716,21.37857142857143,28.65857142857143,18.257142857142856,0.025
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,deep 101-150,cost,20.0,0.48327756,0.0365114947613874,0.12314179999999997,0.43748713499999997,0.5565071699999999,0.5398955999999999,0.875
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,deep 101-150,f1,20.0,0.12039868400000002,0.014930859895876692,0.05522342000000001,0.091326954,0.144274307,0.12267571999999999,0.625
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,deep 101-150,auroc,20.0,0.8551012769999999,0.01714460166457593,0.07341487999999996,0.8328914949999999,0.879086481,0.80689256,0.025
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,deep 101-150,threshold,20.0,0.31590263599999996,0.008657742624435801,0.030281699999999967,0.301196886,0.32955628000000003,0.31490957999999997,0.475
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,deep 101-150,oracle_cost,20.0,0.402126363,0.03749207548711974,0.16729623999999998,0.348309515,0.44245450100000006,0.51238326,0.975
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,deep 101-150,regret,20.0,0.08115118600000001,0.0453682426876506,0.18602069999999998,0.027403551,0.16114421200000004,0.02751232,0.075
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,deep 101-150,n_good,20.0,34.135000000000005,8.959922168364962,35.26,19.966,50.05800000000001,19.32,0.025
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,early 1-25,cost,20.0,0.781894884090909,0.029967493076829145,0.11821377272727274,0.7300307431818183,0.8143008431818182,0.8085206363636364,0.825
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,early 1-25,f1,20.0,0.06029957954545456,0.003993065140838687,0.01775859090909092,0.05712143636363636,0.06580079090909091,0.057599500000000005,0.125
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,early 1-25,auroc,20.0,0.7713591249999999,0.01272839768811465,0.04135340909090901,0.7506097318181818,0.7894105772727273,0.7506272727272727,0.075
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,early 1-25,threshold,20.0,0.42171766363636365,0.009308527391109702,0.0364217272727273,0.40980640454545453,0.4411204136363636,0.42131490909090913,0.575
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,early 1-25,oracle_cost,20.0,0.5677416318181819,0.014934453508429922,0.05084018181818184,0.5487914590909091,0.5974940113636364,0.5974896818181819,0.925
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,early 1-25,regret,20.0,0.21415320909090907,0.03402618259581266,0.15710000000000002,0.17184315227272726,0.2483764590909091,0.21103086363636364,0.425
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,early 1-25,n_good,20.0,7.4727272727272736,0.8746340811959941,3.909090909090909,6.3522727272727275,8.620454545454546,7.090909090909091,0.35
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,late 61-100,cost,20.0,0.5587420974999999,0.052739337936045703,0.20638485000000012,0.50301803,0.6829951125,0.534638375,0.425
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,late 61-100,f1,20.0,0.09491745874999999,0.013716815040636486,0.050126900000000016,0.0710378225,0.11822195499999999,0.11813547499999999,0.925
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,late 61-100,auroc,20.0,0.8448292075000001,0.018518280133126664,0.05984870000000009,0.8156224525000001,0.873882705,0.814207,0.025
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,late 61-100,threshold,20.0,0.34045438750000007,0.009564116078381556,0.034331699999999965,0.32585987749999995,0.351784315,0.33598202499999996,0.325
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,late 61-100,oracle_cost,20.0,0.42530412124999994,0.030335259364346782,0.131838375,0.38830634625000005,0.46223865875000003,0.5128268,0.975
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,late 61-100,regret,20.0,0.13343798750000002,0.05951623537839912,0.264434725,0.065274055,0.22641197875000005,0.02181165,0.025
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,late 61-100,n_good,20.0,32.40875,7.5918770432267735,30.500000000000004,19.86,43.21125000000001,17.2,0.025
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,mid 26-60,cost,20.0,0.6963182900000001,0.0373541582196003,0.15265025714285718,0.6458517657142857,0.7487348614285715,0.6587955714285715,0.175
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,mid 26-60,f1,20.0,0.06915982,0.006005026118346859,0.02399380000000001,0.06301030285714285,0.07990415571428572,0.07955488571428572,0.925
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,mid 26-60,auroc,20.0,0.8158905185714286,0.014549670919534477,0.06031511428571423,0.7919380257142857,0.8349976657142857,0.7978214857142857,0.125
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,mid 26-60,threshold,20.0,0.37683370857142856,0.013250087968824091,0.055169942857142884,0.3536560057142857,0.39507513285714285,0.35214697142857143,0.025
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,mid 26-60,oracle_cost,20.0,0.48148097571428583,0.0282799594865313,0.10617259999999995,0.4243924571428571,0.5218952214285715,0.5217173142857143,0.925
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,mid 26-60,regret,20.0,0.21483732285714288,0.047729688008571594,0.21051274285714283,0.13439047714285715,0.27246941142857145,0.13707825714285715,0.075
vg_scale_any,dinov3_patch/whole_image,bird,3,binary,mid 26-60,n_good,20.0,23.411428571428576,3.53313485313544,14.371428571428572,17.247142857142855,27.275714285714287,14.342857142857143,0.025
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,deep 101-150,cost,20.0,0.5127315020000001,0.03259478245172177,0.13249654000000005,0.4619433150000001,0.562637655,0.49547013999999995,0.275
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,deep 101-150,f1,20.0,0.12761908799999996,0.02277209506116078,0.09192402,0.09104571500000001,0.16473209100000002,0.1303533,0.575
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,deep 101-150,auroc,20.0,0.817078529,0.02165656014154211,0.07606223999999995,0.7865239140000001,0.84466486,0.7987230599999999,0.225
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,deep 101-150,threshold,20.0,0.31540965,0.007450022029388841,0.027320920000000026,0.299656722,0.32442322500000004,0.31275136,0.225
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,deep 101-150,oracle_cost,20.0,0.465579342,0.03551182782614497,0.11589552000000009,0.40985646400000003,0.519607726,0.44850597999999997,0.325
