geometry,mode,t,median,q25,q75,n_blocks
dinov3_patch/max_patch,region,124,0.032833460784412884,0.025823756536783187,0.047066567075959444,25
dinov3_patch/max_patch,region,125,0.03296930888584907,0.025813125931291953,0.04543982884847771,25
dinov3_patch/max_patch,region,126,0.03272125822458544,0.02864700949814556,0.04919722775127199,25
dinov3_patch/max_patch,region,127,0.031840493641868924,0.0264345209118583,0.04448395338862744,25
dinov3_patch/max_patch,region,128,0.034936912814988466,0.025099810853711733,0.04903329099445976,25
dinov3_patch/max_patch,region,129,0.036264847308450955,0.026427126861527404,0.04974216076761823,25
dinov3_patch/max_patch,region,130,0.03662110481603973,0.02584801105531699,0.04407494891166397,25
dinov3_patch/max_patch,region,131,0.036029482044277944,0.026705533700359788,0.04433679243707076,25
dinov3_patch/max_patch,region,132,0.038585679221393984,0.02646358514101575,0.04108805191024451,25
dinov3_patch/max_patch,region,133,0.037985068095759335,0.027154296253030907,0.04191990771057538,25
dinov3_patch/max_patch,region,134,0.03574199150652677,0.028228087952847328,0.04528354769845108,25
dinov3_patch/max_patch,region,135,0.03547198803693,0.02639455128276328,0.04455847500730154,25
dinov3_patch/max_patch,region,136,0.03507193506074712,0.022740769847404713,0.041426030246026924,25
dinov3_patch/max_patch,region,137,0.03432291762978568,0.028772301017096654,0.049297749126875116,25
dinov3_patch/max_patch,region,138,0.035186834430986885,0.025323966905254423,0.044014117105256836,25
dinov3_patch/max_patch,region,139,0.03706680101977339,0.024520892578145423,0.041566958879018324,25
dinov3_patch/max_patch,region,140,0.03473735245660982,0.030572791164134642,0.041682514428746154,25
dinov3_patch/max_patch,region,141,0.032972136098410515,0.0274249852466016,0.04657860688463275,25
dinov3_patch/max_patch,region,142,0.03571201337376393,0.028873566976470658,0.048320056629318285,25
dinov3_patch/max_patch,region,143,0.034119904250305276,0.028174091424382677,0.04447646482529005,25
dinov3_patch/max_patch,region,144,0.03604948206281705,0.02650748117855748,0.0465087953233749,25
dinov3_patch/max_patch,region,145,0.03166169098931123,0.028488686617811898,0.04551485840042267,25
dinov3_patch/max_patch,region,146,0.0346793413891735,0.02722893862109904,0.04758994759541358,25
dinov3_patch/max_patch,region,147,0.033823770547189845,0.027927601966890262,0.044999261651720475,25
dinov3_patch/max_patch,region,148,0.03688764216202608,0.028415609090038783,0.045284060940618875,25
dinov3_patch/max_patch,region,149,0.03690520198887243,0.027330166637031226,0.045598114147869157,25
dinov3_patch/max_patch,region,150,0.03312313694637664,0.027412683652635574,0.0419447321644177,25
dinov3_patch/whole_image,binary,2,1.1390647892519134e-16,8.54298591938935e-17,1.4238309865648919e-16,4
dinov3_patch/whole_image,binary,3,1.1390647892519134e-16,2.8476619731297836e-17,1.1390647892519134e-16,6
dinov3_patch/whole_image,binary,4,1.1390647892519134e-16,5.695323946259567e-17,1.1390647892519134e-16,25
dinov3_patch/whole_image,binary,5,0.06397037421922253,0.026923797148081706,0.08513686989367242,25
dinov3_patch/whole_image,binary,6,0.04763021900996091,0.022383835658502372,0.08311454630961196,25
