geometry,mode,category,band,metric,n_seeds,n_draws,sd_draw,sd_seed,seed_var_was_negative,share_draw
dinov3_patch/max_patch,region,bicycle,mid 26-60,auroc,5,20,0.030732324190712076,0.012607929093153954,False,0.8559409608985022
dinov3_patch/max_patch,region,bicycle,mid 26-60,threshold,5,20,0.02990793532967445,0.016614077456432313,False,0.7641822290406527
dinov3_patch/max_patch,region,bicycle,mid 26-60,oracle_cost,5,20,0.054089289251095636,0.027089645275314267,False,0.7994674511472304
dinov3_patch/max_patch,region,bicycle,mid 26-60,regret,5,20,0.023205668276196814,0.008368959700682544,False,0.8849061759725088
dinov3_patch/max_patch,region,bicycle,mid 26-60,n_good,5,20,7.515815933845776,4.193712815045941,False,0.7625744917124778
dinov3_patch/max_patch,region,bird,deep 101-150,cost,5,20,0.025347020904285856,0.042577100935675155,False,0.26166922262827524
dinov3_patch/max_patch,region,bird,deep 101-150,f1,5,20,0.059420306744229386,0.03812208778834196,False,0.7084120772696675
dinov3_patch/max_patch,region,bird,deep 101-150,auroc,5,20,0.01172555775016671,0.022714059930239346,False,0.21041487689466207
dinov3_patch/max_patch,region,bird,deep 101-150,threshold,5,20,0.017634079838884587,0.011601170353555672,False,0.6979288962671975
dinov3_patch/max_patch,region,bird,deep 101-150,oracle_cost,5,20,0.01746635173125871,0.05611966374134399,False,0.08831214849635814
dinov3_patch/max_patch,region,bird,deep 101-150,regret,5,20,0.020797018092578622,0.014295732888036072,False,0.6791126830831243
dinov3_patch/max_patch,region,bird,deep 101-150,n_good,5,20,18.7837988198677,3.457034291808064,False,0.9672377473122854
dinov3_patch/max_patch,region,bird,early 1-25,cost,5,20,0.020887458546130475,0.05769077608054915,False,0.11589443052191978
dinov3_patch/max_patch,region,bird,early 1-25,f1,5,20,0.06722476963121482,0.07258379919270601,False,0.46172504131399156
dinov3_patch/max_patch,region,bird,early 1-25,auroc,5,20,0.008513022596897991,0.021105443343065054,False,0.13993043749538314
dinov3_patch/max_patch,region,bird,early 1-25,threshold,5,20,0.013684751855503963,0.009962402679932064,False,0.6536060001605758
dinov3_patch/max_patch,region,bird,early 1-25,oracle_cost,5,20,0.01665129544515651,0.04591948651516353,False,0.11621179477296992
dinov3_patch/max_patch,region,bird,early 1-25,regret,5,20,0.013104509400581723,0.015104248495233953,False,0.42946376166247086
dinov3_patch/max_patch,region,bird,early 1-25,n_good,5,20,1.4150894853024871,1.0058219227685776,False,0.6643578689703583
dinov3_patch/max_patch,region,bird,late 61-100,cost,5,20,0.02799969525726177,0.05476032098497841,False,0.20725618556323927
dinov3_patch/max_patch,region,bird,late 61-100,f1,5,20,0.09531448378012052,0.02996115875907293,False,0.9100757256078125
dinov3_patch/max_patch,region,bird,late 61-100,auroc,5,20,0.01656682826023101,0.025548884628947322,False,0.2960075803118572
dinov3_patch/max_patch,region,bird,late 61-100,threshold,5,20,0.023355697850379043,0.00954718452713037,False,0.8568278600766531
dinov3_patch/max_patch,region,bird,late 61-100,oracle_cost,5,20,0.025604981682926343,0.06002265348399605,False,0.1539604653308817
dinov3_patch/max_patch,region,bird,late 61-100,regret,5,20,0.015604935575973833,0.0040123723723281685,False,0.9379879937575357
dinov3_patch/max_patch,region,bird,late 61-100,n_good,5,20,14.398387542214214,3.036105198763788,False,0.9574291276889239
dinov3_patch/max_patch,region,bird,mid 26-60,cost,5,20,0.03167378526954949,0.04514666670539949,False,0.32985208085585493
dinov3_patch/max_patch,region,bird,mid 26-60,f1,5,20,0.11527751789511141,0.03136146811041378,False,0.9310880870015188
dinov3_patch/max_patch,region,bird,mid 26-60,auroc,5,20,0.019308085757095604,0.01991181001463099,False,0.4846103304315488
dinov3_patch/max_patch,region,bird,mid 26-60,threshold,5,20,0.026527886985803457,0.008866483281261632,False,0.8995140312451261
dinov3_patch/max_patch,region,bird,mid 26-60,oracle_cost,5,20,0.03142519354031227,0.04631231235236531,False,0.3152698509152359
dinov3_patch/max_patch,region,bird,mid 26-60,regret,5,20,0.0131418926335224,0.0,True,1.0
dinov3_patch/max_patch,region,bird,mid 26-60,n_good,5,20,7.413086927004529,3.8676658795107515,False,0.7860354418173096
dinov3_patch/max_patch,region,fork,deep 101-150,cost,5,20,0.015995167923752177,0.010850578087792245,False,0.6848468718322283
dinov3_patch/max_patch,region,fork,deep 101-150,f1,5,20,0.03926755915304588,0.019868538779125255,False,0.7961693467897939
dinov3_patch/max_patch,region,fork,deep 101-150,auroc,5,20,0.0026588958103515585,0.002177547290761418,False,0.5985491564757458
dinov3_patch/max_patch,region,fork,deep 101-150,threshold,5,20,0.02173878140974145,0.013404939252493326,False,0.724510986096284
dinov3_patch/max_patch,region,fork,deep 101-150,oracle_cost,5,20,0.01282387034817155,0.00873241538690499,False,0.683203378883066
dinov3_patch/max_patch,region,fork,deep 101-150,regret,5,20,0.02004524421337206,0.007981989954923073,False,0.8631388145718385
dinov3_patch/max_patch,region,fork,deep 101-150,n_good,5,20,9.333130585517155,6.602095574413037,False,0.6664932210491217
dinov3_patch/max_patch,region,fork,early 1-25,cost,5,20,0.03187380875376142,0.01974449192947784,False,0.7226851476464333
dinov3_patch/max_patch,region,fork,early 1-25,f1,5,20,0.05893565068086018,0.07155784878281288,False,0.404169947396918
dinov3_patch/max_patch,region,fork,early 1-25,auroc,5,20,0.008912255814101214,0.006494708672752158,False,0.6531420215559872
dinov3_patch/max_patch,region,fork,early 1-25,threshold,5,20,0.01204340710078015,0.007298898452516237,False,0.7313706609231384
dinov3_patch/max_patch,region,fork,early 1-25,oracle_cost,5,20,0.025393201029376155,0.021109652205329222,False,0.5913386752376733
dinov3_patch/max_patch,region,fork,early 1-25,regret,5,20,0.01691849420177199,0.0,True,1.0
dinov3_patch/max_patch,region,fork,early 1-25,n_good,5,20,0.847248187417996,0.856440146065651,False,0.49460482830057084
dinov3_patch/max_patch,region,fork,late 61-100,cost,5,20,0.02276612838228236,0.01192740502303927,False,0.7846326171256096
dinov3_patch/max_patch,region,fork,late 61-100,f1,5,20,0.053856851224116,0.04092338277572472,False,0.6339629683402939
dinov3_patch/max_patch,region,fork,late 61-100,auroc,5,20,0.0042185340075230225,0.0026773812191599254,False,0.7128562923623506
dinov3_patch/max_patch,region,fork,late 61-100,threshold,5,20,0.02088221009769782,0.013993162501137534,False,0.6901151252075538
dinov3_patch/max_patch,region,fork,late 61-100,oracle_cost,5,20,0.016721335896558942,0.009982265537754878,False,0.7372551958239001
dinov3_patch/max_patch,region,fork,late 61-100,regret,5,20,0.01998261093125622,0.009900485139992234,False,0.80290607755865
dinov3_patch/max_patch,region,fork,late 61-100,n_good,5,20,6.235550507499634,4.958833597699267,False,0.6125853312130847
dinov3_patch/max_patch,region,fork,mid 26-60,cost,5,20,0.029434584580386593,0.004550798045336036,False,0.9766546533175126
dinov3_patch/max_patch,region,fork,mid 26-60,f1,5,20,0.06646154615191685,0.05752042868320239,False,0.5717431505236663
dinov3_patch/max_patch,region,fork,mid 26-60,auroc,5,20,0.006743358828638743,0.0028323397228974183,False,0.8500393902665331
dinov3_patch/max_patch,region,fork,mid 26-60,threshold,5,20,0.018080242377684727,0.013438282795214977,False,0.644150476666601
