tier,class_id,source,method,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,spods/stamp_00546_1,spods,vlad_t4100_sift,19,49968,0.3157894736842105,0.33068757369572305,1,0.3157894736842105,0.3157894736842105,0.3157894736842105
m,spods/stamp_00546_1,spods,vlad_t4500_sift,19,49968,0.6842105263157895,0.660663616804977,1,0.47368421052631576,0.6842105263157895,0.6842105263157895
m,spods/stamp_00546_1,spods,vlad_t41000_sift,19,49968,0.8947368421052632,0.8631226098447732,1,0.5263157894736842,0.8947368421052632,0.8947368421052632
m,spods/stamp_00577_1,spods,sift,23,49968,,0.7790145408867769,1,0.34782608695652173,1.0,1.0
m,spods/stamp_00577_1,spods,vlad_t4,23,49968,,0.1184042107441793,9,0.043478260869565216,0.34782608695652173,0.5217391304347826
m,spods/stamp_00577_1,spods,vlad_t4100_sift,23,49968,0.5217391304347826,0.5156208362692041,1,0.34782608695652173,0.5217391304347826,0.5217391304347826
m,spods/stamp_00577_1,spods,vlad_t4500_sift,23,49968,0.9565217391304348,0.7626764517056529,1,0.34782608695652173,0.9565217391304348,0.9565217391304348
m,spods/stamp_00577_1,spods,vlad_t41000_sift,23,49968,1.0,0.788405045808538,1,0.34782608695652173,1.0,1.0
m,spods/stamp_00612_1,spods,sift,22,49968,,0.4364899152417856,1,0.22727272727272727,0.6363636363636364,0.9090909090909091
m,spods/stamp_00612_1,spods,vlad_t4,22,49968,,0.0003701315714256278,12715,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,vlad_t4100_sift,22,49968,0.0,0.0003701315714256278,12715,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,vlad_t4500_sift,22,49968,0.0,0.0003701315714256278,12715,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,vlad_t41000_sift,22,49968,0.0,0.0003701315714256278,12715,0.0,0.0,0.0
m,spods/stamp_00769_1,spods,sift,23,49968,,0.711204909110577,1,0.34782608695652173,0.8695652173913043,1.0
m,spods/stamp_00769_1,spods,vlad_t4,23,49968,,0.021009965280025987,14,0.0,0.13043478260869565,0.17391304347826086
m,spods/stamp_00769_1,spods,vlad_t4100_sift,23,49968,0.17391304347826086,0.13777174189379152,1,0.17391304347826086,0.17391304347826086,0.17391304347826086
m,spods/stamp_00769_1,spods,vlad_t4500_sift,23,49968,0.34782608695652173,0.30729694937913865,1,0.34782608695652173,0.34782608695652173,0.34782608695652173
m,spods/stamp_00769_1,spods,vlad_t41000_sift,23,49968,0.43478260869565216,0.3632299707447594,1,0.30434782608695654,0.43478260869565216,0.43478260869565216
m,spods/stamp_00931_1,spods,sift,12,49968,,0.36686129999764305,1,0.25,1.0,1.0
m,spods/stamp_00931_1,spods,vlad_t4,12,49968,,0.26800576756855166,1,0.25,0.5833333333333334,0.5833333333333334
m,spods/stamp_00931_1,spods,vlad_t4100_sift,12,49968,0.5833333333333334,0.3616270156015644,1,0.4166666666666667,0.5833333333333334,0.5833333333333334
m,spods/stamp_00931_1,spods,vlad_t4500_sift,12,49968,1.0,0.5250261105759827,1,0.3333333333333333,1.0,1.0
