tier,class_id,source,method,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,tobacco800/logo_afm90c00-first_1_0,tobacco800,sift,79,4841,,0.8947996434351351,1,0.12658227848101267,0.6075949367088608,0.8987341772151899
s,tobacco800/logo_afm90c00-first_1_0,tobacco800,vlad_t4,79,4841,,0.2748303831047245,1,0.08860759493670886,0.22784810126582278,0.27848101265822783
s,tobacco800/logo_afm90c00-first_1_0,tobacco800,vlad_t4100_sift,79,4841,0.27848101265822783,0.37610697609706795,1,0.12658227848101267,0.27848101265822783,0.27848101265822783
s,tobacco800/logo_afm90c00-first_1_0,tobacco800,vlad_t4500_sift,79,4841,0.8227848101265823,0.8004534145203698,1,0.12658227848101267,0.6075949367088608,0.7974683544303798
s,tobacco800/logo_afm90c00-first_1_0,tobacco800,vlad_t41000_sift,79,4841,0.9746835443037974,0.9091492085272787,1,0.12658227848101267,0.6075949367088608,0.8987341772151899
s,tobacco800/logo_ajj10e00_1,tobacco800,sift,46,4841,,0.9473240081837059,1,0.21739130434782608,0.9565217391304348,0.9782608695652174
s,tobacco800/logo_ajj10e00_1,tobacco800,vlad_t4,46,4841,,0.4469380201522252,1,0.15217391304347827,0.5,0.6521739130434783
s,tobacco800/logo_ajj10e00_1,tobacco800,vlad_t4100_sift,46,4841,0.6521739130434783,0.6746641834609292,1,0.21739130434782608,0.6521739130434783,0.6521739130434783
s,tobacco800/logo_ajj10e00_1,tobacco800,vlad_t4500_sift,46,4841,0.8043478260869565,0.8046288255839046,1,0.21739130434782608,0.8043478260869565,0.8043478260869565
s,tobacco800/logo_ajj10e00_1,tobacco800,vlad_t41000_sift,46,4841,0.8478260869565217,0.8436620462552211,1,0.21739130434782608,0.8478260869565217,0.8478260869565217
s,tobacco800/logo_ald41a00-ernest_1,tobacco800,sift,45,4841,,0.9071811390410266,1,0.2,0.9333333333333333,0.9777777777777777
s,tobacco800/logo_ald41a00-ernest_1,tobacco800,vlad_t4,45,4841,,0.044088914028923794,33,0.0,0.044444444444444446,0.06666666666666667
s,tobacco800/logo_ald41a00-ernest_1,tobacco800,vlad_t4100_sift,45,4841,0.06666666666666667,0.10820478538617445,1,0.06666666666666667,0.06666666666666667,0.06666666666666667
s,tobacco800/logo_ald41a00-ernest_1,tobacco800,vlad_t4500_sift,45,4841,0.5333333333333333,0.5507291725664962,1,0.2222222222222222,0.5333333333333333,0.5333333333333333
s,tobacco800/logo_ald41a00-ernest_1,tobacco800,vlad_t41000_sift,45,4841,0.7777777777777778,0.7467460783448084,1,0.2,0.7777777777777778,0.7777777777777778
s,tobacco800/logo_asg54f00_1,tobacco800,sift,5,4841,,0.6638095238095238,1,0.6,1.0,1.0
s,tobacco800/logo_asg54f00_1,tobacco800,vlad_t4,5,4841,,1.0,1,1.0,1.0,1.0
s,tobacco800/logo_asg54f00_1,tobacco800,vlad_t4100_sift,5,4841,1.0,0.8711111111111111,1,1.0,1.0,1.0
s,tobacco800/logo_asg54f00_1,tobacco800,vlad_t4500_sift,5,4841,1.0,0.7555555555555555,1,0.8,1.0,1.0
s,tobacco800/logo_asg54f00_1,tobacco800,vlad_t41000_sift,5,4841,1.0,0.6933333333333334,1,0.6,1.0,1.0
s,tobacco800/logo_azb11c00_1,tobacco800,sift,23,4841,,0.6849952820054169,2,0.34782608695652173,0.9130434782608695,0.9130434782608695
s,tobacco800/logo_azb11c00_1,tobacco800,vlad_t4,23,4841,,0.1449949640430263,1,0.08695652173913043,0.30434782608695654,0.5217391304347826
s,tobacco800/logo_azb11c00_1,tobacco800,vlad_t4100_sift,23,4841,0.5217391304347826,0.38580383520390904,2,0.30434782608695654,0.5217391304347826,0.5217391304347826
s,tobacco800/logo_azb11c00_1,tobacco800,vlad_t4500_sift,23,4841,0.6956521739130435,0.5160707848300591,2,0.34782608695652173,0.6956521739130435,0.6956521739130435
s,tobacco800/logo_azb11c00_1,tobacco800,vlad_t41000_sift,23,4841,0.782608695652174,0.5822103129249878,2,0.34782608695652173,0.782608695652174,0.782608695652174
s,tobacco800/logo_bqz95d00_1,tobacco800,sift,8,4841,,1.0,1,1.0,1.0,1.0
s,tobacco800/logo_bqz95d00_1,tobacco800,vlad_t4,8,4841,,0.6711309523809523,1,0.625,1.0,1.0
s,tobacco800/logo_bqz95d00_1,tobacco800,vlad_t4100_sift,8,4841,1.0,1.0,1,1.0,1.0,1.0
s,tobacco800/logo_bqz95d00_1,tobacco800,vlad_t4500_sift,8,4841,1.0,1.0,1,1.0,1.0,1.0
s,tobacco800/logo_bqz95d00_1,tobacco800,vlad_t41000_sift,8,4841,1.0,1.0,1,1.0,1.0,1.0
s,tobacco800/logo_cgr96c00_1,tobacco800,sift,7,4841,,0.8304690297171499,1,0.8571428571428571,0.8571428571428571,1.0
s,tobacco800/logo_cgr96c00_1,tobacco800,vlad_t4,7,4841,,0.0026320964614923695,500,0.0,0.0,0.0
s,tobacco800/logo_cgr96c00_1,tobacco800,vlad_t4100_sift,7,4841,0.0,0.0026320964614923695,500,0.0,0.0,0.0
s,tobacco800/logo_cgr96c00_1,tobacco800,vlad_t4500_sift,7,4841,0.14285714285714285,0.14520352503292094,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
s,tobacco800/logo_cgr96c00_1,tobacco800,vlad_t41000_sift,7,4841,0.2857142857142857,0.28777148339035297,1,0.2857142857142857,0.2857142857142857,0.2857142857142857
s,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,sift,21,4841,,0.9435172088637436,1,0.47619047619047616,0.9523809523809523,0.9523809523809523
s,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,vlad_t4,21,4841,,0.27132831876856744,3,0.19047619047619047,0.5714285714285714,0.5714285714285714
s,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,vlad_t4100_sift,21,4841,0.5714285714285714,0.6070989013745449,1,0.47619047619047616,0.5714285714285714,0.5714285714285714
s,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,vlad_t4500_sift,21,4841,1.0,0.9535380362190539,1,0.47619047619047616,0.9523809523809523,0.9523809523809523
