tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,sift,8192,24,44.5,54,86,20,,0.4364899152417856,1,0.22727272727272727,0.6363636363636364,0.9090909090909091
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,sift_siglip,8192,24,44.5,54,86,20,,0.41814293202441544,1,0.18181818181818182,0.6363636363636364,0.9090909090909091
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,vlad,8192,24,44.5,54,86,20,,0.0002577619963197562,43105,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,vlad100_sift,8192,24,44.5,54,86,20,0.0,0.0002577619963197562,43105,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,siglip100_sift,8192,24,44.5,54,86,20,0.0,0.0002730042484545813,23268,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,vlad500_sift,8192,24,44.5,54,86,20,0.0,0.0002577619963197562,43105,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,siglip500_sift,8192,24,44.5,54,86,20,0.0,0.0002730042484545813,23268,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,vlad1000_sift,8192,24,44.5,54,86,20,0.0,0.0002577619963197562,43105,0.0,0.0,0.0
m,spods/stamp_00612_1,spods,stamp,22,own_verified,49968,siglip1000_sift,8192,24,44.5,54,86,20,0.0,0.0002730042484545813,23268,0.0,0.0,0.0
m,spods/stamp_00769_1,spods,stamp,23,own_verified,49968,siglip,8192,24,46.0,60,78,23,,0.0004429491524954077,7789,0.0,0.0,0.0
m,spods/stamp_00769_1,spods,stamp,23,own_verified,49968,sift,8192,24,46.0,60,78,23,,0.711204909110577,1,0.34782608695652173,0.8695652173913043,1.0
