class_id,readout,arm,v,found,ap,p10,left,n_positive
tobacco800/logo_bea6aa00_1,shared,a1_max,0,0,1.0,0.5,5,5
tobacco800/logo_bea6aa00_1,shared,a1_max,3,3,1.0,0.2,2,5
tobacco800/logo_bea6aa00_1,shared,a1_max,5,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a1_max,10,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a1_max,20,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a1_max,40,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a1p_goods_only,0,0,1.0,0.5,5,5
tobacco800/logo_bea6aa00_1,shared,a1p_goods_only,3,3,1.0,0.2,2,5
tobacco800/logo_bea6aa00_1,shared,a1p_goods_only,5,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a1p_goods_only,10,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a1p_goods_only,20,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a1p_goods_only,40,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a2_repick,0,0,1.0,0.5,5,5
tobacco800/logo_bea6aa00_1,shared,a2_repick,3,3,1.0,0.2,2,5
tobacco800/logo_bea6aa00_1,shared,a2_repick,5,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a2_repick,10,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a2_repick,20,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a2_repick,40,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a3_vlad_svm,0,0,0.001274707582199435,0.0,5,5
tobacco800/logo_bea6aa00_1,shared,a3_vlad_svm,3,3,0.0007745689852288837,0.0,2,5
tobacco800/logo_bea6aa00_1,shared,a3_vlad_svm,5,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a3_vlad_svm,10,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a3_vlad_svm,20,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a3_vlad_svm,40,5,nan,0.0,0,5
tobacco800/logo_bea6aa00_1,shared,a3s_production,0,0,0.001274707582199435,0.0,5,5
