geometry,mode,band,k,cost,regret_honest,cal_seconds,step_seconds,cal_share,n_cal_scores,n_steps
siglip/whole_image,binary,early 1-25,8,0.4452981765873016,0.03309008035714286,1.1080164950396825,1.1228775962301587,0.9864209821418399,36.611111111111114,1008
siglip/whole_image,binary,late 61-100,1,0.33874955885416663,0.013919625520833335,0.12452160052083333,0.14880305624999998,0.8289973445808505,24.188541666666666,1920
siglip/whole_image,binary,late 61-100,2,0.3366456255208333,0.011815677604166666,0.243250240625,0.2675316963541666,0.9035888177376301,48.37708333333333,1920
siglip/whole_image,binary,late 61-100,3,0.3366200692708333,0.011790134375,0.36447599583333334,0.3887574515625,0.9336143704252482,72.565625,1920
siglip/whole_image,binary,late 61-100,4,0.33665491822916666,0.011824980729166667,0.4880398213541667,0.5123212770833333,0.9495253793770054,96.75416666666666,1920
siglip/whole_image,binary,late 61-100,6,0.33701292031249996,0.012182984895833334,0.7337234786458333,0.758004934375,0.9658200109738806,145.13125,1920
siglip/whole_image,binary,late 61-100,8,0.33708252447916665,0.0122525765625,0.9782819395833333,1.0025633953125,0.9741420337757946,193.50833333333333,1920
siglip/whole_image,binary,mid 26-60,1,0.36316663273809524,0.01288686369047619,0.12700813154761906,0.14524099285714284,0.8685323901577682,12.9,1680
siglip/whole_image,binary,mid 26-60,2,0.3616611261904762,0.011381342857142858,0.2548901255952381,0.2731229869047619,0.9301066299238294,25.8,1680
siglip/whole_image,binary,mid 26-60,3,0.36105327261904757,0.010773489285714285,0.38164796130952383,0.39988082261904767,0.9522369460941009,38.7,1680
siglip/whole_image,binary,mid 26-60,4,0.36003286904761905,0.009753107738095238,0.5075039339285714,0.5257367952380952,0.963682637320219,51.6,1680
siglip/whole_image,binary,mid 26-60,6,0.35974101726190477,0.00946124761904762,0.7614865928571428,0.7797194541666668,0.9755407957568007,77.4,1680
siglip/whole_image,binary,mid 26-60,8,0.3598228333333333,0.009543029761904761,1.0141139738095237,1.0323468351190477,0.9815166657241016,103.2,1680
