geometry,mode,band,k,step_ratio,step_ratio_p90,cal_ratio,cal_share,cal_share_k2,cal_seconds,step_seconds,n_steps,affordable
dinov3_patch/whole_image,binary,late 61-100,4,1.938828832844964,2.2586059784463814,2.0095432364682404,0.9609908408745389,0.9233085249063551,0.48746449999999997,0.508427,1920,False
dinov3_patch/whole_image,binary,late 61-100,6,2.8811944588792393,3.497219346936355,3.034934221477834,0.9740633689426846,0.9233085249063551,0.7449794999999999,0.763936,1920,False
dinov3_patch/whole_image,binary,late 61-100,8,3.833854673424627,4.672327966973263,4.068081099729624,0.9804480408626766,0.9233085249063551,1.001757,1.0219520000000002,1920,False
dinov3_patch/whole_image,binary,mid 26-60,1,0.531050372615815,0.6242555109258531,0.5042206813311676,0.8901344047627306,0.9414140587935074,0.14298850000000002,0.1594265,1680,True
dinov3_patch/whole_image,binary,mid 26-60,2,1.0,1.0,1.0,0.9414140587935074,0.9414140587935074,0.266455,0.28284449999999994,1680,True
dinov3_patch/whole_image,binary,mid 26-60,3,1.4668704207191179,1.6201823716123478,1.4938807317320735,0.9593001234008358,0.9414140587935074,0.3958525,0.41190000000000004,1680,True
dinov3_patch/whole_image,binary,mid 26-60,4,1.9307078578957726,2.155856036606359,1.9852660307905186,0.9688132491237182,0.9414140587935074,0.5241205,0.540507,1680,False
dinov3_patch/whole_image,binary,mid 26-60,6,2.8659679816727133,3.318098306346936,2.9733903125759937,0.9790015774260354,0.9414140587935074,0.7765695,0.792835,1680,False
dinov3_patch/whole_image,binary,mid 26-60,8,3.7973587875026755,4.478066878907496,3.96397593147159,0.9842021951531299,0.9414140587935074,1.036354,1.052987,1680,False
siglip/whole_image,binary,deep 101-150,1,0.5546334330960747,0.6424654919990854,0.504308406337256,0.7955253545323002,0.8870278148439463,0.1265155,0.15998600000000002,2400,True
siglip/whole_image,binary,deep 101-150,2,1.0,1.0,1.0,0.8870278148439463,0.8870278148439463,0.2616845,0.295406,2400,True
siglip/whole_image,binary,deep 101-150,3,1.4434295366012224,1.5281238483092245,1.4944693677773442,0.9216930831100363,0.8870278148439463,0.391356,0.424858,2400,True
siglip/whole_image,binary,deep 101-150,4,1.8834261039181666,2.0212286806518964,1.9885119009317465,0.9398283221505924,0.8870278148439463,0.5239944999999999,0.5567405,2400,False
siglip/whole_image,binary,deep 101-150,6,2.763585529863195,3.003994419248425,2.974754326664737,0.959182973511999,0.8870278148439463,0.786349,0.8202545,2400,False
siglip/whole_image,binary,deep 101-150,8,3.6379942629798814,3.964070165701003,3.961806551373421,0.9688947286754082,0.8870278148439463,1.0438755,1.0767645,2400,False
siglip/whole_image,binary,early 1-25,1,0.5267677185647308,0.5722965514862437,0.5041031126173166,0.9149412479522486,0.9548419551967188,0.15037,0.1642815,1008,True
siglip/whole_image,binary,early 1-25,2,1.0,1.0,1.0,0.9548419551967188,0.9548419551967188,0.2983635,0.31255499999999997,1008,True
siglip/whole_image,binary,early 1-25,3,1.4716851458407907,1.526765341316721,1.4946209588391728,0.9691084769264331,0.9548419551967188,0.4454125,0.459922,1008,True
siglip/whole_image,binary,early 1-25,4,1.9446745779587793,2.0305888909432603,1.9904215915827634,0.9765509770593188,0.9548419551967188,0.5926445,0.6067045,1008,False
siglip/whole_image,binary,early 1-25,6,2.8862938208923836,3.0169874748826406,2.9783348978196873,0.984155760022106,0.9548419551967188,0.8860425000000001,0.9001515,1008,False
siglip/whole_image,binary,early 1-25,8,3.8288252979570805,4.055018654679816,3.9646054753788493,0.9880843133664714,0.9548419551967188,1.1801434999999998,1.19436,1008,False
siglip/whole_image,binary,late 61-100,1,0.5457629453069599,0.6348250449221153,0.5063680864843831,0.8399643076708008,0.9125931380633397,0.1285435,0.15345599999999998,1920,True
siglip/whole_image,binary,late 61-100,2,1.0,1.0,1.0,0.9125931380633397,0.9125931380633397,0.2519805,0.27640149999999997,1920,True
siglip/whole_image,binary,late 61-100,3,1.457211907682554,1.569953062512653,1.4942283281437851,0.9398601884325695,0.9125931380633397,0.3815325,0.405825,1920,True
siglip/whole_image,binary,late 61-100,4,1.9162066764334744,2.0898420644237206,1.992663714517079,0.9543327963661126,0.9125931380633397,0.510663,0.5356615,1920,False
siglip/whole_image,binary,late 61-100,6,2.8314747101188833,3.1567171862094825,2.983860172978954,0.9689257877975308,0.9125931380633397,0.7710334999999999,0.795292,1920,False
siglip/whole_image,binary,late 61-100,8,3.7462218143155814,4.2193756136397935,3.9756731194346893,0.9764709185875979,0.9125931380633397,1.0251855,1.0499105,1920,False
siglip/whole_image,binary,mid 26-60,1,0.531835172481038,0.5866603024177658,0.5036438813995499,0.8785351384355276,0.9360935197435678,0.1385345,0.1574615,1680,True
siglip/whole_image,binary,mid 26-60,2,1.0,1.0,1.0,0.9360935197435678,0.9360935197435678,0.2714435,0.290318,1680,True
siglip/whole_image,binary,mid 26-60,3,1.4675712175974236,1.5707593807773153,1.4956037058504639,0.9563961334619497,0.9360935197435678,0.406736,0.424511,1680,True
siglip/whole_image,binary,mid 26-60,4,1.9332949193242157,2.097528987883755,1.9906843867086383,0.9668647308989271,0.9360935197435678,0.53699,0.555429,1680,False
siglip/whole_image,binary,mid 26-60,6,2.8629192736796623,3.1744851865288113,2.9763541242464826,0.9776601056179566,0.9360935197435678,0.808476,0.8265385000000001,1680,False
siglip/whole_image,binary,mid 26-60,8,3.7851779073667684,4.22850167633056,3.9586262675707857,0.9831735065527044,0.9360935197435678,1.078794,1.0960345,1680,False
