arm,dataset,embedder,style,cases,changed,d_adm_frac_median,d_adm_frac_p90,admitted_moved_pct
free1e-3,coco_val,siglip,whole_image,280,267,0.07307886069411634,0.20325150673697603,95.35714285714286
free1e-4,coco_val,siglip,whole_image,280,266,0.03294437188624556,0.08488720006621765,95.0
free1e-5,coco_val,siglip,whole_image,280,264,0.01377319484189777,0.03563364178995296,94.28571428571429
free1e-6,coco_val,siglip,whole_image,280,230,0.005765370335890181,0.01724140456363622,82.14285714285714
param1e-6,coco_val,siglip,whole_image,280,5,0.0,0.0,1.7857142857142858
iter400,coco_val,siglip,whole_image,280,35,0.0,0.00040816387930182917,12.5
iter25,coco_val,siglip,whole_image,280,253,0.013410001811897766,0.09783641530195822,90.35714285714286
ll1e-3,coco_val,dinov3_patch,max_patch,279,275,0.01909792767167818,0.10004136943500198,98.5663082437276
ll1e-4,coco_val,dinov3_patch,max_patch,279,274,0.010101010101010102,0.03266876948433146,98.2078853046595
ll1e-5,coco_val,dinov3_patch,max_patch,279,269,0.0033250207813798837,0.01076177492571607,96.415770609319
ll1e-6,coco_val,dinov3_patch,max_patch,279,241,0.0012264922322158627,0.003361346914475852,86.37992831541219
ll1e-7,coco_val,dinov3_patch,max_patch,279,181,0.00041220115416323167,0.0012445035802592208,64.87455197132617
ll1e-8,coco_val,dinov3_patch,max_patch,279,96,0.0,0.00041736227045075126,34.40860215053763
ll1e-9,coco_val,dinov3_patch,max_patch,279,27,0.0,0.0,9.67741935483871
free1e-3,coco_val,dinov3_patch,max_patch,279,276,0.020610057708161583,0.14811367755878047,98.9247311827957
free1e-4,coco_val,dinov3_patch,max_patch,279,275,0.012505210504376824,0.05245016310009272,98.5663082437276
free1e-5,coco_val,dinov3_patch,max_patch,279,262,0.0053696819496076,0.02481974612907904,93.9068100358423
free1e-6,coco_val,dinov3_patch,max_patch,279,182,0.0008143322475570033,0.012108567953420206,65.23297491039426
param1e-6,coco_val,dinov3_patch,max_patch,279,10,0.0,0.0,3.5842293906810037
iter400,coco_val,dinov3_patch,max_patch,279,12,0.0,0.0,4.301075268817204
iter25,coco_val,dinov3_patch,max_patch,279,213,0.002073828287017835,0.03241371567806036,76.34408602150538
ll1e-3,coco_val,dinov3_patch,whole_image,279,275,0.10157830837717523,0.337607540459711,98.5663082437276
ll1e-4,coco_val,dinov3_patch,whole_image,279,270,0.03730092204526404,0.08440065681444994,96.7741935483871
ll1e-5,coco_val,dinov3_patch,whole_image,279,262,0.011152416356877323,0.026700340628755943,93.9068100358423
ll1e-6,coco_val,dinov3_patch,whole_image,279,253,0.003290826820238585,0.008213557909298275,90.68100358422939
ll1e-7,coco_val,dinov3_patch,whole_image,279,223,0.000836470096194061,0.0024762843288677924,79.92831541218638
ll1e-8,coco_val,dinov3_patch,whole_image,279,157,0.00040716612377850165,0.0008329862557267805,56.272401433691755
