arm,seed,n_votes,treatment,design,inclusion,threshold,temperature,n_included,pool_size,recall,precision,fpr,fnr,sat_frac_extreme,sat_frac_mid,sat_mean_abs_logit,cal_mean_abs_logit
agnews:Business,0,24,raw,argmin,7,0.5123949348926544,1.0,1121,2376,0.9594594594594594,0.5066904549509367,0.3099775784753363,0.04054054054054054,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,argmin,10,0.5123949348926544,1.0,1121,2376,0.9594594594594594,0.5066904549509367,0.3099775784753363,0.04054054054054054,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,-10,0.9990243902439024,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,-7,0.9922480620155039,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,-5,0.9696969696969697,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,-3,0.8888888888888888,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,-1,0.6666666666666666,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,0,0.5,1.0,2201,2376,0.9949324324324325,0.2676056338028169,0.9035874439461884,0.005067567567567568,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,1,0.3333333333333333,1.0,2376,2376,1.0,0.24915824915824916,1.0,0.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,3,0.11111111111111113,1.0,2376,2376,1.0,0.24915824915824916,1.0,0.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,5,0.030303030303030304,1.0,2376,2376,1.0,0.24915824915824916,1.0,0.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,7,0.007751937984496126,1.0,2376,2376,1.0,0.24915824915824916,1.0,0.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes,10,0.000975609756097561,1.0,2376,2376,1.0,0.24915824915824916,1.0,0.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,-10,0.9990243902439024,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,-7,0.9922480620155039,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,-5,0.9696969696969697,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,-3,0.8888888888888888,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,-1,0.6666666666666666,1.0,0,2376,0.0,,0.0,1.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,0,0.5,1.0,2201,2376,0.9949324324324325,0.2676056338028169,0.9035874439461884,0.005067567567567568,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,1,0.3333333333333333,1.0,2376,2376,1.0,0.24915824915824916,1.0,0.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,3,0.11111111111111113,1.0,2376,2376,1.0,0.24915824915824916,1.0,0.0,0.0,1.0,0.06001157717863838,0.0516223552937576
agnews:Business,0,24,raw,bayes_temp,5,0.030303030303030304,1.0,2376,2376,1.0,0.24915824915824916,1.0,0.0,0.0,1.0,0.06001157717863838,0.0516223552937576
