arm,seed,n_votes,policy,design,inclusion,threshold,alpha_cap,fnr_excess,seed_mode,n_included,pool_size,recall,precision,fpr,fnr,vote_pos_frac,n_cal_pos,cal_pos_q25,test_pos_q25,cal_pos_min
agnews:Business,0,24,uniform,conformal,0,0.5155842900276184,0.25,0.0,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,conformal,1,0.5155842900276184,0.125,0.011666666666666659,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,conformal,3,0.5155842900276184,0.03125,0.10541666666666666,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,conformal,5,0.5155842900276184,0.0078125,0.12885416666666666,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,conformal,7,0.5155842900276184,0.001953125,0.13471354166666666,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,conformal,10,0.5155842900276184,0.000244140625,0.13642252604166666,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,-10,0.523248702287674,1.0,0.0,text,266,1200,0.6933333333333334,0.7819548872180451,0.06444444444444444,0.30666666666666664,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,-7,0.5218267753720284,1.0,0.0,text,279,1200,0.7233333333333334,0.7777777777777778,0.06888888888888889,0.27666666666666667,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,-5,0.5196715891361237,1.0,0.0,text,310,1200,0.79,0.7645161290322581,0.0811111111111111,0.21,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,-3,0.5174503639340401,1.0,0.0,text,347,1200,0.8333333333333334,0.7204610951008645,0.10777777777777778,0.16666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,-1,0.5163972362875938,0.5,0.0,text,364,1200,0.85,0.7005494505494505,0.12111111111111111,0.15,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,0,0.5155842900276184,0.25,0.0,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,1,0.5155842900276184,0.125,0.011666666666666659,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,3,0.5155842900276184,0.03125,0.10541666666666666,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,5,0.5155842900276184,0.0078125,0.12885416666666666,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,7,0.5155842900276184,0.001953125,0.13471354166666666,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,blend,10,0.5155842900276184,0.000244140625,0.13642252604166666,text,381,1200,0.8633333333333333,0.6797900262467191,0.13555555555555557,0.13666666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,-10,0.5430165983270854,1.0,0.0,text,23,1200,0.07333333333333333,0.9565217391304348,0.0011111111111111111,0.9266666666666666,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,-7,0.5411449448438361,1.0,0.0,text,34,1200,0.10666666666666667,0.9411764705882353,0.0022222222222222222,0.8933333333333333,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,-5,0.5381105337291956,1.0,0.0,text,63,1200,0.18333333333333332,0.873015873015873,0.008888888888888889,0.8166666666666667,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,-3,0.5295491479337215,1.0,0.0,text,176,1200,0.49,0.8352272727272727,0.03222222222222222,0.51,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,-1,0.5160080417990685,0.5,0.0,text,370,1200,0.8566666666666667,0.6945945945945946,0.12555555555555556,0.14333333333333334,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,0,0.5101742297410965,0.25,0.0,text,500,1200,0.9166666666666666,0.55,0.25,0.08333333333333333,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,1,0.5101742297410965,0.125,0.0,text,500,1200,0.9166666666666666,0.55,0.25,0.08333333333333333,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,3,0.5048862732946873,0.03125,0.002083333333333333,text,732,1200,0.9666666666666667,0.39617486338797814,0.4911111111111111,0.03333333333333333,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,5,0.5017988118343055,0.0078125,0.0021875,text,884,1200,0.99,0.33597285067873306,0.6522222222222223,0.01,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,7,0.5004791802493855,0.001953125,0.0013802083333333335,text,939,1200,0.9966666666666667,0.3184238551650692,0.7111111111111111,0.0033333333333333335,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,24,uniform,oracle,10,0.5003204070817446,0.000244140625,0.0030891927083333335,text,948,1200,0.9966666666666667,0.3154008438818565,0.7211111111111111,0.0033333333333333335,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
agnews:Business,0,50,uniform,conformal,-10,0.5551812052726746,1.0,0.0,text,212,1200,0.63,0.8915094339622641,0.025555555555555557,0.37,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,-7,0.5295997843146324,1.0,0.0,text,242,1200,0.6966666666666667,0.8636363636363636,0.03666666666666667,0.30333333333333334,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,-5,0.5136312395334244,1.0,0.0,text,257,1200,0.73,0.8521400778210116,0.042222222222222223,0.27,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,-3,0.4880318697541952,1.0,0.0,text,274,1200,0.77,0.843065693430657,0.04777777777777778,0.23,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,-1,0.4628700911998749,0.5,0.0,text,295,1200,0.8133333333333334,0.8271186440677966,0.056666666666666664,0.18666666666666668,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,0,0.45249519497156143,0.25,0.0,text,306,1200,0.82,0.803921568627451,0.06666666666666667,0.18,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,1,0.45249519497156143,0.125,0.05499999999999999,text,306,1200,0.82,0.803921568627451,0.06666666666666667,0.18,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,3,0.45201875641942024,0.03125,0.14875,text,306,1200,0.82,0.803921568627451,0.06666666666666667,0.18,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,5,0.4468135582283139,0.0078125,0.16885416666666667,text,310,1200,0.8233333333333334,0.7967741935483871,0.07,0.17666666666666667,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,7,0.44551225868053734,0.001953125,0.17138020833333334,text,312,1200,0.8266666666666667,0.7948717948717948,0.07111111111111111,0.17333333333333334,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,conformal,10,0.4451327129791025,0.000244140625,0.169755859375,text,315,1200,0.83,0.7904761904761904,0.07333333333333333,0.17,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,-10,0.5551812052726746,1.0,0.0,text,212,1200,0.63,0.8915094339622641,0.025555555555555557,0.37,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,-7,0.5295997843146324,1.0,0.0,text,242,1200,0.6966666666666667,0.8636363636363636,0.03666666666666667,0.30333333333333334,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,-5,0.5136312395334244,1.0,0.0,text,257,1200,0.73,0.8521400778210116,0.042222222222222223,0.27,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,-3,0.4880318697541952,1.0,0.0,text,274,1200,0.77,0.843065693430657,0.04777777777777778,0.23,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,-1,0.4628700911998749,0.5,0.0,text,295,1200,0.8133333333333334,0.8271186440677966,0.056666666666666664,0.18666666666666668,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,0,0.45249519497156143,0.25,0.0,text,306,1200,0.82,0.803921568627451,0.06666666666666667,0.18,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,1,0.45249519497156143,0.125,0.05499999999999999,text,306,1200,0.82,0.803921568627451,0.06666666666666667,0.18,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,3,0.45201875641942024,0.03125,0.14875,text,306,1200,0.82,0.803921568627451,0.06666666666666667,0.18,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,5,0.4468135582283139,0.0078125,0.16885416666666667,text,310,1200,0.8233333333333334,0.7967741935483871,0.07,0.17666666666666667,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,7,0.44551225868053734,0.001953125,0.17138020833333334,text,312,1200,0.8266666666666667,0.7948717948717948,0.07111111111111111,0.17333333333333334,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,blend,10,0.4451327129791025,0.000244140625,0.169755859375,text,315,1200,0.83,0.7904761904761904,0.07333333333333333,0.17,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,oracle,-10,0.7964273993857205,1.0,0.0,text,10,1200,0.03,0.9,0.0011111111111111111,0.97,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,oracle,-7,0.7946625693002716,1.0,0.0,text,13,1200,0.03666666666666667,0.8461538461538461,0.0022222222222222222,0.9633333333333334,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
agnews:Business,0,50,uniform,oracle,-5,0.7542693614959717,1.0,0.0,text,52,1200,0.14666666666666667,0.8461538461538461,0.008888888888888889,0.8533333333333334,0.34,18,0.49128062278032303,0.5012166649103165,0.4450784921646118
