embedder,arm_a,arm_b,median,p95,max
siglip2_l,fp32_v100,fp16_v100,2.836052018451163e-06,1.2049697966887145e-05,0.00039448976255185286
siglip2_l,fp32_v100,autocast_l40s,0.0001492135489248314,0.0005501352976310159,0.010150917216643962
siglip2_l,fp32_v100,bf16_l40s,0.0002614848939126446,0.0007724400819228532,0.02537550265566446
siglip2_l,fp32_v100,fp32_notf32_l40s,0.00014848477208551092,0.0005476750350092983,0.011431871538100324
siglip2_l,fp32_v100,fp32_det_l40s,0.00014848477208551092,0.0005476750350092983,0.011431871538100324
siglip2_l,fp32_v100,fp32_det_v100,0.0,2.220446049250313e-16,4.440892098500626e-16
siglip2_l,fp32_v100,fp32_v100_rack7n03,0.00014849926110127587,0.0005476805382856218,0.01143235760801653
siglip2_l,fp32_v100,published_pile,0.00014849926110127587,0.0005476805382856218,0.01143235760801653
siglip2_l,fp16_l40s,fp16_v100,0.0001495213361244474,0.0005500345723219887,0.011026666810163177
siglip2_l,fp16_l40s,autocast_l40s,1.6447873716352035e-06,6.3467656664206685e-06,8.804079762081418e-05
siglip2_l,fp16_l40s,bf16_l40s,0.00013276286374541701,0.00032954056177352225,0.004221440897543838
siglip2_l,fp16_l40s,fp32_notf32_l40s,2.8545385076794716e-06,1.2246328960507913e-05,0.00035139233630177014
siglip2_l,fp16_l40s,fp32_det_l40s,2.8545385076794716e-06,1.2246328960507913e-05,0.00035139233630177014
siglip2_l,fp16_l40s,fp32_det_v100,0.00014961601407670333,0.0005584341495020959,0.009830837458962849
siglip2_l,fp16_l40s,fp32_v100_rack7n03,2.855811452762147e-06,1.2248416540661101e-05,0.0003510635201956491
siglip2_l,fp16_l40s,published_pile,2.855811452762147e-06,1.2248416540661101e-05,0.0003510635201956491
siglip2_l,fp16_v100,autocast_l40s,0.00015035485425785033,0.0005492385783871788,0.011464984082808938
siglip2_l,fp16_v100,bf16_l40s,0.0002644463330467861,0.0007857863680169381,0.02737963067327298
siglip2_l,fp16_v100,fp32_notf32_l40s,0.0001502254577121498,0.0005488894288557359,0.012823985707820063
siglip2_l,fp16_v100,fp32_det_l40s,0.0001502254577121498,0.0005488894288557359,0.012823985707820063
siglip2_l,fp16_v100,fp32_det_v100,2.836052018451163e-06,1.2049697966887145e-05,0.00039448976255185286
siglip2_l,fp16_v100,fp32_v100_rack7n03,0.00015022651041585178,0.0005488796766084816,0.01282450048218553
siglip2_l,fp16_v100,published_pile,0.00015022651041585178,0.0005488796766084816,0.01282450048218553
siglip2_l,autocast_l40s,bf16_l40s,0.00013220941587044344,0.00032853329779038983,0.003951457089901078
siglip2_l,autocast_l40s,fp32_notf32_l40s,2.023841203513399e-06,9.282723166337269e-06,0.00019402465874163166
siglip2_l,autocast_l40s,fp32_det_l40s,2.023841203513399e-06,9.282723166337269e-06,0.00019402465874163166
siglip2_l,autocast_l40s,fp32_det_v100,0.0001492135489248314,0.0005501352976310159,0.010150917216643962
siglip2_l,autocast_l40s,fp32_v100_rack7n03,2.024298752067999e-06,9.291796117572026e-06,0.00019377465369541103
siglip2_l,autocast_l40s,published_pile,2.024298752067999e-06,9.291796117572026e-06,0.00019377465369541103
siglip2_l,bf16_l40s,fp32_notf32_l40s,0.00012853196667061972,0.0003202940419656741,0.0032137988192162403
siglip2_l,bf16_l40s,fp32_det_l40s,0.00012853196667061972,0.0003202940419656741,0.0032137988192162403
siglip2_l,bf16_l40s,fp32_det_v100,0.0002614848939126446,0.0007724400819228532,0.02537550265566446
siglip2_l,bf16_l40s,fp32_v100_rack7n03,0.00012853733553375157,0.00032029496172449875,0.003213547685338991
siglip2_l,bf16_l40s,published_pile,0.00012853733553375157,0.00032029496172449875,0.003213547685338991
siglip2_l,fp32_notf32_l40s,fp32_det_l40s,0.0,2.220446049250313e-16,4.440892098500626e-16
siglip2_l,fp32_notf32_l40s,fp32_det_v100,0.00014848477208551092,0.0005476750350092983,0.011431871538100324
siglip2_l,fp32_notf32_l40s,fp32_v100_rack7n03,2.726374681571997e-12,1.5550516430096193e-11,1.614752109801998e-09
siglip2_l,fp32_notf32_l40s,published_pile,2.726374681571997e-12,1.5550516430096193e-11,1.614752109801998e-09
siglip2_l,fp32_det_l40s,fp32_det_v100,0.00014848477208551092,0.0005476750350092983,0.011431871538100324
siglip2_l,fp32_det_l40s,fp32_v100_rack7n03,2.726374681571997e-12,1.5550516430096193e-11,1.614752109801998e-09
siglip2_l,fp32_det_l40s,published_pile,2.726374681571997e-12,1.5550516430096193e-11,1.614752109801998e-09
siglip2_l,fp32_det_v100,fp32_v100_rack7n03,0.00014849926110127587,0.0005476805382856218,0.01143235760801653
siglip2_l,fp32_det_v100,published_pile,0.00014849926110127587,0.0005476805382856218,0.01143235760801653
siglip2_l,fp32_v100_rack7n03,published_pile,0.0,2.220446049250313e-16,4.440892098500626e-16
