arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/whole_image,-10,144,7344,0.12004415414816726,0.10980140122151674,0.130474019665841,0.0,122.92520904541016
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/whole_image,-9,144,7344,-0.012360051197939962,-0.01431578620579267,-0.010466495060600463,0.696078431372549,-6.328346252441406
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/whole_image,-9,144,7344,-0.012360051197939962,-0.014377834519252512,-0.010491065509318926,0.696078431372549,-6.328346252441406
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/whole_image,-9,144,7344,-0.00990340045711946,-0.011896636014301975,-0.007974592527526171,0.6228213507625272,-5.0705413818359375
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/whole_image,-9,144,7344,-0.008119126612491022,-0.009764596905336022,-0.006396597757909541,0.625,-4.156992435455322
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/whole_image,-9,144,7344,-0.006295665803627849,-0.00846227334307438,-0.004284393597113952,0.48393246187363836,-3.2233805656433105
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/whole_image,-9,144,7344,0.03559187644452777,0.029823772335278893,0.041658831886218196,0.07788671023965142,18.223039627075195
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/whole_image,-9,144,7344,0.07609862597382744,0.0675495739012149,0.08432103581699772,0.0025871459694989107,38.96249771118164
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/whole_image,-9,144,7344,0.11848949351547668,0.10821379352974468,0.1288684113632371,0.0,60.66661834716797
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/whole_image,-8,144,7344,-0.013610822462990453,-0.015643170631503583,-0.011624762157696488,0.7037037037037037,-3.484370231628418
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/whole_image,-8,144,7344,-0.013607126173042161,-0.015651560587105946,-0.011613538462175499,0.7037037037037037,-3.483424186706543
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/whole_image,-8,144,7344,-0.01071004418803846,-0.012724014642325364,-0.008793891541748325,0.6384803921568627,-2.7417712211608887
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/whole_image,-8,144,7344,-0.006174889394878215,-0.008346049357847817,-0.004146121756908628,0.48624727668845313,-1.5807716846466064
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/whole_image,-8,144,7344,-0.005008716816001247,-0.006951500536404372,-0.0030094409198947393,0.5699891067538126,-1.2822314500808716
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/whole_image,-8,144,7344,0.04205559010356157,0.035678991782580424,0.04869905310705178,0.04793028322440087,10.766231536865234
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/whole_image,-8,144,7344,0.07859342714214614,0.06971815233284563,0.08736905532559326,0.004084967320261438,20.119916915893555
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/whole_image,-8,144,7344,0.11628838807559481,0.1062863038865948,0.1262740101796933,0.0,29.76982879638672
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/whole_image,-7,144,7344,-0.014910390482719372,-0.017141332509619172,-0.012953556569852115,0.7099673202614379,-1.9085298776626587
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/whole_image,-7,144,7344,-0.01489380686142441,-0.01686690741296925,-0.012845778649251674,0.7099673202614379,-1.9064072370529175
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/whole_image,-7,144,7344,-0.01172422057447875,-0.013912030611946749,-0.009791347014508272,0.6621732026143791,-1.5007002353668213
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/whole_image,-7,144,7344,-0.005966186687904458,-0.008126682958810407,-0.0038216993918632003,0.4881535947712418,-0.7636719346046448
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/whole_image,-7,144,7344,0.0002246207048896862,-0.0021502006221871327,0.0029449987938648422,0.49142156862745096,0.028751445934176445
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/whole_image,-7,144,7344,0.04806911081723481,0.04143968351925385,0.05489627946590379,0.027096949891067538,6.152846336364746
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/whole_image,-7,144,7344,0.08011628401550297,0.07152338169521563,0.08851117879645219,0.0054466230936819175,10.254884719848633
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/whole_image,-7,144,7344,0.11308815212942136,0.10340311456449046,0.12296552934793302,0.0,14.475282669067383
