dataset,embedder,seed,ks_shipped,sd_shipped,ks_deepest,sd_deepest,path_len,frac_below_05,ks_build,sd_uniform,deepest_widens,path_len_resolvable
visual_genome_m,clip,1,0.1052938406316827,0.2477123207181379,0.1400363538070197,0.3076304392024144,4.418355184743742,0.0417163289630512,0.0820008873690717,0.2886751345948129,True,True
visual_genome_m,clip,2,0.1032493307706994,0.2434119609354093,0.1325251584970327,0.3162187776746373,4.382598331346841,0.0321811680572109,0.0843049404730595,0.2886751345948129,True,True
caltech101_m,clip_l,0,0.0711663620812552,0.2818878583341337,0.1836428407248105,0.3073300012662758,2.880952380952381,0.0952380952380952,0.087747172188403,0.2886751345948129,True,False
caltech101_m,clip_l,1,0.0973434391475859,0.2497903245136929,0.053790749084442,0.2942606925774091,2.773809523809524,0.0416666666666666,0.1240273116239861,0.2886751345948129,True,False
caltech101_m,clip_l,2,0.1157111184937613,0.2512956439911367,0.0890338309283399,0.2932223779694419,2.982142857142857,0.0416666666666666,0.1082508775725293,0.2886751345948129,True,False
coco_val,clip_l,0,0.076581164321514,0.2571324611217002,0.1149807492947993,0.3177320865967304,4.53030303030303,0.0535353535353535,0.0855776207396503,0.2886751345948129,True,True
coco_val,clip_l,1,0.097044970170416,0.250698770441155,0.1328024290480377,0.310296704526996,4.718181818181818,0.0555555555555555,0.0764760005991607,0.2886751345948129,True,True
coco_val,clip_l,2,0.101083387268914,0.2552145824172114,0.1585487425109247,0.3174857823909376,4.682828282828283,0.0727272727272727,0.0624736140226848,0.2886751345948129,True,True
vg_box_large,clip_l,0,0.0953120342890421,0.2533837773497382,0.1546713584230987,0.3211012066702581,5.516666666666667,0.05125,0.0735614736874897,0.2886751345948129,True,True
vg_box_large,clip_l,1,0.1099537595113118,0.2519944352973257,0.1630434477388946,0.3165610369608896,5.529166666666667,0.0645833333333333,0.0745428935686747,0.2886751345948129,True,True
vg_box_large,clip_l,2,0.093800648053487,0.2541297282325228,0.1507795018787894,0.3152236751772444,5.461666666666667,0.0558333333333333,0.0770056502024332,0.2886751345948129,True,True
vg_scale_any,clip_l,0,0.1119772351657751,0.2459735595497606,0.1324438966591471,0.3103044476971358,5.052937378954164,0.0542285345384118,0.0726266880599326,0.2886751345948129,True,True
vg_scale_any,clip_l,1,0.1082024162934625,0.2463202056071056,0.1171253253629588,0.3147580298748561,5.086507424144609,0.0426081342801807,0.072128935797286,0.2886751345948129,True,True
vg_scale_any,clip_l,2,0.107059616092869,0.2453656640850796,0.1204595800099364,0.3049394613210707,5.05229180116204,0.0309877340219496,0.0875366027122853,0.2886751345948129,True,True
visual_genome_m,clip_l,0,0.0960267081732403,0.2537580637748876,0.1367326142500841,0.3170132360473607,4.464839094159714,0.0560190703218116,0.0736778221744544,0.2886751345948129,True,True
visual_genome_m,clip_l,1,0.1073491495187006,0.2513291947083056,0.1189214741853769,0.3135340566069278,4.441001191895113,0.0429082240762812,0.0875515554302422,0.2886751345948129,True,True
visual_genome_m,clip_l,2,0.0995095943381589,0.2585350491239696,0.1400763035942825,0.3194974311704198,4.452920143027414,0.0500595947556615,0.0787642112464939,0.2886751345948129,True,True
caltech101_m,dinov3_patch,0,0.1025103103546869,0.2418967695848529,0.0700124845037615,0.3183137965647165,3.446428571428572,0.0238095238095238,0.1642317426738454,0.2886751345948129,True,True
caltech101_m,dinov3_patch,1,0.0922169004167828,0.255655952148457,0.1256887609462275,0.3175588838772931,3.255952380952381,0.0535714285714285,0.1746867520595664,0.2886751345948129,True,True
caltech101_m,dinov3_patch,2,0.1009950155303591,0.2438541743342308,0.0740077924455789,0.2962347491281805,3.4047619047619047,0.0059523809523809,0.1796539185652092,0.2886751345948129,True,True
coco_val,dinov3_patch,0,0.1521349687317405,0.2934550012402682,0.2317862799524902,0.3224021849836596,3.93030303030303,0.1979797979797979,0.1356270663319874,0.2886751345948129,True,True
coco_val,dinov3_patch,1,0.1390687605121521,0.2922775960559682,0.2321326510793342,0.3309887372110798,3.963636363636364,0.1808080808080808,0.1378575448381184,0.2886751345948129,True,True
coco_val,dinov3_patch,2,0.1422318594549039,0.2899239338441683,0.2605439330403648,0.3216033354474003,3.860606060606061,0.1888888888888888,0.1256857963578831,0.2886751345948129,True,True
vg_box_large,dinov3_patch,0,0.1533857666949431,0.2863260219323428,0.2658489917585068,0.3204339386551422,4.681666666666667,0.20125,0.1478832055628299,0.2886751345948129,True,True
vg_box_large,dinov3_patch,1,0.1611916543543338,0.2831648904965819,0.2743641080093084,0.3205055887438278,4.6525,0.205,0.1467903839300076,0.2886751345948129,True,True
vg_box_large,dinov3_patch,2,0.116220630009969,0.2801353997139451,0.2452916911908581,0.3230440158198965,5.04625,0.16125,0.1081034135073423,0.2886751345948129,True,True
vg_scale_any,dinov3_patch,0,0.1028143995573168,0.2766101778095865,0.2092081200093755,0.318934493979537,4.824402840542286,0.1207230471271788,0.0720109003492327,0.2886751345948129,True,True
vg_scale_any,dinov3_patch,1,0.0970831872417974,0.2768391988560312,0.2072564279871158,0.3213213352661331,4.807617817947063,0.1252420916720464,0.0654593745475528,0.2886751345948129,True,True
vg_scale_any,dinov3_patch,2,0.1076045832070633,0.2777625671511617,0.2161104370421206,0.3208053964900624,4.9244673983214975,0.130406714009038,0.0688205026811401,0.2886751345948129,True,True
visual_genome_m,dinov3_patch,0,0.1033976328102993,0.2817017042921025,0.20874061365533,0.3194427974613142,3.99880810488677,0.1370679380214541,0.0713897417291119,0.2886751345948129,True,True
visual_genome_m,dinov3_patch,1,0.0808902708935652,0.2733804550162239,0.1562338366128465,0.3190908894932667,4.046483909415971,0.102502979737783,0.0828350958862543,0.2886751345948129,True,True
visual_genome_m,dinov3_patch,2,0.1017505175326379,0.2883708335767904,0.1789188333006864,0.310856382296137,3.839094159713945,0.1430274135876043,0.0832270696252744,0.2886751345948129,True,True
caltech101_m,siglip,0,0.1085341175397237,0.2539914782848387,0.1487121807439747,0.2844144881937426,2.9226190476190474,0.0476190476190476,0.1137671737528558,0.2886751345948129,True,False
caltech101_m,siglip,1,0.1252514805112566,0.2528425426822142,0.1025035121765281,0.298419065205658,2.9047619047619047,0.0714285714285714,0.1239297719144109,0.2886751345948129,True,False
caltech101_m,siglip,2,0.0805583340781075,0.2492054720348129,0.0671699941813278,0.2945702408034583,3.0416666666666665,0.0238095238095238,0.1133273212767358,0.2886751345948129,True,True
coco_val,siglip,0,0.0926964274560562,0.252486455558058,0.1289130421261248,0.3178546250168074,4.66060606060606,0.0414141414141414,0.0737312384502626,0.2886751345948129,True,True
coco_val,siglip,1,0.08721882574486,0.2531955170393287,0.1202210285108742,0.314666494950739,4.594949494949495,0.0454545454545454,0.0884865490039871,0.2886751345948129,True,True
coco_val,siglip,2,0.106154226173054,0.2440463054453537,0.1459626098698945,0.307010583532014,4.631313131313132,0.0464646464646464,0.0727488293544262,0.2886751345948129,True,True
