dataset,embedder,seed,trust_k10,trust_k50,cont_k10,shepard,purity_embedding,purity_layout,containment_core,containment_unit,noise,purity_drop
vg_scale_any,clip,2,0.9508227397107276,0.926809608480082,0.9559867202769866,0.3463567081089526,0.3335611237661351,0.3105542900531511,0.8935187498208984,0.7258538091746125,0.2236666666666666,0.02300683371298401
visual_genome_m,clip,0,0.9510737253587982,0.9227370103151536,0.9516181493270788,0.3578587046200153,0.8472,0.8275666666666666,0.8945893427163637,0.6597550830509549,0.2313333333333333,0.01963333333333339
visual_genome_m,clip,1,0.9510255877589768,0.9180700769362284,0.9489938571508348,0.3692661703017726,0.8532000000000001,0.8299,0.8969525038979289,0.8969525038979289,0.0,0.0233000000000001
visual_genome_m,clip,2,0.9475801418439715,0.9129672992534336,0.951740916959848,0.3880898814454406,0.8517000000000001,0.8271666666666667,0.8945220647564759,0.5899570308168592,0.3636666666666667,0.024533333333333407
caltech101_m,clip_l,0,0.9834872434730252,0.9084669353261082,0.9886004454084484,0.4407704249562671,0.9774463007159904,0.9946300715990454,0.8835871865179636,0.8787900585867433,0.0035799522673031,-0.017183770883055005
caltech101_m,clip_l,1,0.9840204278532618,0.908595078054697,0.9885392198823368,0.4159821956867161,0.9774463007159904,0.9974940334128878,0.8836400909931746,0.8798637656482219,0.0023866348448687,-0.020047732696897413
caltech101_m,clip_l,2,0.9837385292816156,0.9121078602449236,0.988577957359758,0.3538677122260349,0.9774463007159904,0.9954653937947494,0.883727478324922,0.8801266552796546,0.0023866348448687,-0.01801909307875904
coco_val,clip_l,0,0.9416925448148769,0.9119868672707584,0.95925309655442,0.2537965850383351,0.8977666666666667,0.8958666666666668,0.8947690495226609,0.7269567726905511,0.2243333333333333,0.0018999999999999018
coco_val,clip_l,1,0.9416825487239628,0.9123812777112896,0.9597474172111464,0.2521726139069757,0.8935666666666666,0.8995333333333334,0.8954020788701972,0.7023131222132576,0.2286666666666666,-0.005966666666666787
coco_val,clip_l,2,0.9417556933042944,0.9129750589844418,0.9595714525046072,0.274068029547476,0.8973666666666666,0.9046666666666666,0.8941970773950433,0.8490203150666777,0.02,-0.007299999999999973
vg_box_large,clip_l,0,0.942261741218518,0.9161390847438308,0.9616719941922154,0.2763998149858154,0.5090666666666667,0.4803,0.8933690874241431,0.7511713208196422,0.1096666666666666,0.028766666666666663
