mode,schedule,mean,se,n,ci_hi,question
binary,rare:lo=2:hi=32,-0.016867127192917643,0.0021169785537401026,384,-0.012717849227587043,q2
binary,rare:lo=2:hi=4,-0.0011053392044844854,0.0030611768067723886,384,0.0048945673367893966,q2
binary,rare:lo=2:hi=64,-0.016720309232336406,0.0020156707528599174,384,-0.012769594556730969,q2
binary,rare:lo=2:hi=8,-0.015088187141343036,0.002512140359580328,384,-0.010164392036565592,q2
binary,rare:lo=4:hi=16,-0.012424892675389774,0.002218576232098994,384,-0.008076483260475746,q2
binary,rare:lo=4:hi=32,-0.014209793937732687,0.0021112005025626917,384,-0.01007184095270981,q2
binary,rare:lo=4:hi=64,-0.01528678195457966,0.0020210443581477793,384,-0.011325535012610011,q2
binary,rare:lo=4:hi=8,-0.009987270985265724,0.0023302633093495,384,-0.005419954898940704,q2
binary,slow_cap50,-0.016754289028713152,0.0024522049698040556,384,-0.011947967287897203,q2
region,cap50,-0.014037680101772242,0.0023290299343231057,288,-0.009472781430498955,q2
region,cap80,-0.008316881190903276,0.002597702085041314,288,-0.0032253851042223,q2
region,corridor,-0.005887672824526546,0.00267268387578942,288,-0.0006492124279792828,q2
region,corridor:w=0.05,-0.01312551086983061,0.0019547787847260536,288,-0.009294144451767546,q2
region,corridor:w=0.1,-0.014233715989545573,0.001964486320950458,288,-0.010383322800482675,q2
region,corridor:w=0.2,-0.014972500444568073,0.002049376195449227,288,-0.010955723101487588,q2
region,corridor:w=0.3,-0.014440933700467026,0.002147132589078919,288,-0.010232553825872345,q2
region,corridor:w=0.5,-0.012019945455617112,0.0023351632220787333,288,-0.0074430255403427955,q2
region,corridor:w=0.75,-0.008922881609411829,0.0025285463405772582,288,-0.003966930781880403,q2
region,corridor_ramp,-0.008162510093086366,0.002602491498259357,288,-0.003061626756498026,q2
region,corridor_ramp:w=0.2,-0.014977682422347193,0.0020318707530509916,288,-0.010995215746367248,q2
region,corridor_ramp:w=0.5,-0.012787689274872642,0.002295851093375727,288,-0.008287821131856218,q2
region,prod,-0.0016697357888178798,0.0028804456777209247,288,0.003975937739515132,q2
region,pure_gmm,-0.01160283379111385,0.0019476185570835118,288,-0.0077855014192301664,q2
region,pure_xcal,0.009345610500816897,0.0029760197631376077,288,0.01517860923656661,q2
region,rare:lo=0:hi=16,-0.007362902312853593,0.00253360062554608,288,-0.0023970450867832763,q2
region,rare:lo=0:hi=32,-0.012059512903703004,0.0022993013092068738,288,-0.007552882337657532,q2
region,rare:lo=0:hi=4,0.0056736880586581735,0.002919171331850384,288,0.011395263869084925,q2
region,rare:lo=0:hi=64,-0.01407187808836021,0.0020409423563983895,288,-0.010071631069819367,q2
region,rare:lo=0:hi=8,-0.0016832957632575737,0.0027294455034709356,288,0.00366641742354546,q2
region,rare:lo=1:hi=16,-0.012587075705096613,0.0025053759084945103,288,-0.007676538924447373,q2
region,rare:lo=1:hi=16:cap=0.5,-0.015705817822662924,0.0022400556223904087,288,-0.011315308802777722,q2
region,rare:lo=1:hi=16:cap=0.8,-0.014196563498711574,0.002381823750492061,288,-0.009528188947747134,q2
region,rare:lo=1:hi=32,-0.014117887463305692,0.002250777209006203,288,-0.009706364133653533,q2
region,rare:lo=1:hi=32:cap=0.5,-0.015545205068189676,0.0021140336969817583,288,-0.01140169902210543,q2
region,rare:lo=1:hi=32:cap=0.8,-0.01479611636170859,0.0021864730405108295,288,-0.010510629202307364,q2
region,rare:lo=1:hi=4,-0.000893534946413455,0.0029157243392967584,288,0.004821284758608191,q2
region,rare:lo=1:hi=4:cap=0.5,-0.013270268586254366,0.002360882804311837,288,-0.008642938289803167,q2
region,rare:lo=1:hi=64,-0.014471286718689698,0.0020130719278158757,288,-0.010525665740170581,q2
region,rare:lo=1:hi=8,-0.008064209919626841,0.0027133414570107,288,-0.0027460606638858697,q2
region,rare:lo=1:hi=8:cap=0.5,-0.014914284734722208,0.0023122608932507143,288,-0.01038225338395081,q2
region,rare:lo=1:hi=8:cap=0.8,-0.0115432081672158,0.002525291526766962,288,-0.006593636774752555,q2
region,rare:lo=2:hi=16,-0.012445830498391803,0.002470103930085865,288,-0.0076044267954235075,q2
region,rare:lo=2:hi=32,-0.01377871417542446,0.0022267508752609948,288,-0.009414282459912911,q2
region,rare:lo=2:hi=4,-0.00248451480616634,0.0028849191383214018,288,0.0031699267049436074,q2
region,rare:lo=2:hi=64,-0.014231232255973768,0.0020047088425782745,288,-0.01030200292452035,q2
region,rare:lo=2:hi=8,-0.008504549144925534,0.002680427216981812,288,-0.0032509117996411827,q2
region,rare:lo=4:hi=16,-0.01179300174945004,0.0024068175775486212,288,-0.007075639297454742,q2
region,rare:lo=4:hi=32,-0.013006647361873005,0.002191793326794876,288,-0.008710732441355049,q2
region,rare:lo=4:hi=64,-0.013653935485841432,0.001990640764721321,288,-0.009752279586987643,q2
region,rare:lo=4:hi=8,-0.00828739491635009,0.002603131333450232,288,-0.003185257502787635,q2
region,slow_cap50,-0.014660146875569272,0.002303257523839385,288,-0.010145762128844077,q2
binary,cap50,0.0,0.0,384,0.0,q1d
binary,cap80,0.0,0.0,384,0.0,q1d
binary,corridor,-0.0006516678691276279,7.94708200121962e-05,384,-0.0004959050619037234,q1d
binary,corridor:w=0.05,-8.242548552337831e-05,3.236261946638876e-05,384,-1.899475136925634e-05,q1d
binary,corridor:w=0.1,-0.0001232980404348263,3.28450614010031e-05,384,-5.892172008886022e-05,q1d
binary,corridor:w=0.2,-0.00019181286993156244,3.421226753403465e-05,384,-0.00012475682556485453,q1d
binary,corridor:w=0.3,-0.0002332914470819502,3.675229333368424e-05,384,-0.0001612569521479291,q1d
binary,corridor:w=0.5,-0.00034887177899135905,4.248064240990263e-05,384,-0.0002656097198679499,q1d
binary,corridor:w=0.75,-0.0004917843128311264,5.7183705399479095e-05,384,-0.0003797042502481474,q1d
binary,corridor_ramp,-4.9715588434646117e-05,3.2733977751620546e-05,384,1.4443007958530147e-05,q1d
binary,corridor_ramp:w=0.2,-4.85261685058346e-05,3.199483662252511e-05,384,1.4183711274314616e-05,q1d
binary,corridor_ramp:w=0.5,-4.8881475734081674e-05,3.230152561448472e-05,384,1.4429514470308369e-05,q1d
binary,prod,0.0,0.0,384,0.0,q1d
