env,mode,schedule,family,mean,se,n,improved,resolvable,weighting,question
coco_val / binary,binary,rare:lo=1:hi=16,rare,-0.023024332079293306,0.002888475361640992,152,0.7828947368421053,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=16:cap=0.5,rare,-0.024633850766515707,0.0028058567871866603,152,0.7894736842105263,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=16:cap=0.8,rare,-0.023707488214382483,0.002855086935060081,152,0.7894736842105263,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=32,rare,-0.021743241560706787,0.002650438329683847,152,0.8092105263157895,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=32:cap=0.5,rare,-0.02158354969863123,0.002640167080505775,152,0.7763157894736842,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=32:cap=0.8,rare,-0.02166208542259365,0.002650415163150173,152,0.8026315789473685,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=4,rare,0.005639190107871028,0.005299091053009994,152,0.5131578947368421,False,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=4:cap=0.5,rare,-0.018326898104938986,0.0038606043392700813,152,0.6842105263157895,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=64,rare,-0.020197725978495954,0.0025148309634621096,152,0.7697368421052632,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=8,rare,-0.019852717922642028,0.0034389840901057384,152,0.7039473684210527,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=8:cap=0.5,rare,-0.024636829928646423,0.0032831060973967322,152,0.756578947368421,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=8:cap=0.8,rare,-0.022003557508031662,0.0033966790341114325,152,0.7236842105263158,True,1:1,q2
coco_val / binary,binary,rare:lo=2:hi=16,rare,-0.02071181024623576,0.002798762038559555,152,0.7894736842105263,True,1:1,q2
coco_val / binary,binary,rare:lo=2:hi=32,rare,-0.02009572577347084,0.002579954237662691,152,0.8026315789473685,True,1:1,q2
coco_val / binary,binary,rare:lo=2:hi=4,rare,0.0001843273174490267,0.004682877583757226,152,0.5460526315789473,False,1:1,q2
coco_val / binary,binary,rare:lo=2:hi=64,rare,-0.018923673104092275,0.002535609501186046,152,0.7302631578947368,True,1:1,q2
coco_val / binary,binary,rare:lo=2:hi=8,rare,-0.02020933107352116,0.003179792748377604,152,0.756578947368421,True,1:1,q2
coco_val / binary,binary,rare:lo=4:hi=16,rare,-0.01538199590433613,0.0026857485229574984,152,0.6973684210526315,True,1:1,q2
coco_val / binary,binary,rare:lo=4:hi=32,rare,-0.016792369101143304,0.0026255871596350677,152,0.7039473684210527,True,1:1,q2
coco_val / binary,binary,rare:lo=4:hi=64,rare,-0.01705739914306761,0.0025762021265933366,152,0.6710526315789473,True,1:1,q2
coco_val / binary,binary,rare:lo=4:hi=8,rare,-0.013439618802375144,0.00281480645865177,152,0.6710526315789473,True,1:1,q2
coco_val / binary,binary,slow_cap50,reference,-0.015895287556185345,0.003720786748794491,152,0.6578947368421053,True,1:1,q2
coco_val / region,region,cap50,reference,-0.014665078061043052,0.0027639790928007976,152,0.7368421052631579,True,1:1,q2
coco_val / region,region,cap80,reference,-0.011359370460115054,0.003015716330559693,152,0.7105263157894737,True,1:1,q2
coco_val / region,region,corridor,corridor,-0.010657824779431687,0.003177521969197006,152,0.6842105263157895,True,1:1,q2
coco_val / region,region,corridor:w=0.05,corridor,-0.010885334288000406,0.0024510193353803112,152,0.7236842105263158,True,1:1,q2
coco_val / region,region,corridor:w=0.1,corridor,-0.0127700646984256,0.0024104312725897704,152,0.743421052631579,True,1:1,q2
coco_val / region,region,corridor:w=0.2,corridor,-0.014956690324387225,0.0024085789719514882,152,0.7631578947368421,True,1:1,q2
coco_val / region,region,corridor:w=0.3,corridor,-0.01549337429541518,0.002489376717265069,152,0.756578947368421,True,1:1,q2
coco_val / region,region,corridor:w=0.5,corridor,-0.014322557540388131,0.00274314539219574,152,0.7171052631578947,True,1:1,q2
coco_val / region,region,corridor:w=0.75,corridor,-0.012659378439764953,0.003018278068301914,152,0.7171052631578947,True,1:1,q2
coco_val / region,region,corridor_ramp,corridor,-0.012330435602156938,0.003054861709883851,152,0.7368421052631579,True,1:1,q2
coco_val / region,region,corridor_ramp:w=0.2,corridor,-0.014828335484887413,0.0023728746976612743,152,0.7631578947368421,True,1:1,q2
coco_val / region,region,corridor_ramp:w=0.5,corridor,-0.014827968830135181,0.002661768808373715,152,0.743421052631579,True,1:1,q2
coco_val / region,region,prod,reference,-0.005831066890803263,0.0033537013294009663,152,0.6644736842105263,False,1:1,q2
coco_val / region,region,pure_gmm,reference,-0.008496035845525978,0.0024691308802186483,152,0.6776315789473685,True,1:1,q2
coco_val / region,region,pure_xcal,reference,0.00414634146418169,0.003447515293078029,152,0.506578947368421,False,1:1,q2
coco_val / region,region,rare:lo=0:hi=16,rare,-0.01081580119761276,0.0028593345287554438,152,0.6776315789473685,True,1:1,q2
coco_val / region,region,rare:lo=0:hi=32,rare,-0.013522604586695986,0.002632992500160534,152,0.7368421052631579,True,1:1,q2
coco_val / region,region,rare:lo=0:hi=4,rare,-2.644459151014652e-05,0.0033853764809170413,152,0.5789473684210527,False,1:1,q2
coco_val / region,region,rare:lo=0:hi=64,rare,-0.013429862163553189,0.002489426858057062,152,0.743421052631579,True,1:1,q2
coco_val / region,region,rare:lo=0:hi=8,rare,-0.006944306840339265,0.0030896094108221676,152,0.6381578947368421,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=16,rare,-0.015299908346215441,0.002822100380322901,152,0.756578947368421,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=16:cap=0.5,rare,-0.015974402727680685,0.0026598777488700534,152,0.75,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=16:cap=0.8,rare,-0.016075302568377994,0.0027579217744937374,152,0.756578947368421,True,1:1,q2
