arm,n,mean,sd,cell_seconds,var_share,pair
visual_genome_m/dinov3_patch/whole_image,16,0.003962604808383688,0.039766755722215934,73.5565,0.186239649631868,ll1e-6-baseline
visual_genome_m/siglip/whole_image,16,0.018786835601359325,0.047471436135916784,79.103,0.29122332294281045,ll1e-6-baseline
caltech101_m/dinov3_patch/whole_image,12,-2.05033490937682e-06,1.786234867434049e-05,21.655,0.0016529446057730358,ll1e-8-baseline
caltech101_m/siglip/whole_image,12,-0.003949931398916247,0.015481140250322893,18.2375,0.020287267759354032,ll1e-8-baseline
coco_val/dinov3_patch/max_patch,14,-0.0011637520318488134,0.010937230678942682,572.857,0.011750097680404841,ll1e-8-baseline
coco_val/dinov3_patch/whole_image,14,-0.001088116525703697,0.04294372181094314,75.4885,0.1386322115595329,ll1e-8-baseline
coco_val/siglip/whole_image,14,0.03524878419452886,0.06355621586340095,82.0075,0.37024253853659767,ll1e-8-baseline
visual_genome_m/dinov3_patch/max_patch,16,0.0006708119166566164,0.026043922708393924,620.1759999999999,0.05925866558280951,ll1e-8-baseline
visual_genome_m/dinov3_patch/whole_image,16,0.009889758342949638,0.05497516289207305,73.5565,0.2589470229866193,ll1e-8-baseline
visual_genome_m/siglip/whole_image,16,-0.0013432584341916045,0.03996410427346733,79.103,0.13922925128890862,ll1e-8-baseline
caltech101_m/dinov3_patch/whole_image,12,0.006008612285796962,0.010920008804414698,21.655,0.007929396104251632,ll1e-6-ll1e-8
caltech101_m/siglip/whole_image,12,-0.001646773228942545,0.00839989221634032,18.2375,0.0034527983471429476,ll1e-6-ll1e-8
coco_val/dinov3_patch/max_patch,14,0.003328442794370292,0.03257574799655148,572.857,0.06102615936191349,ll1e-6-ll1e-8
coco_val/dinov3_patch/whole_image,14,0.0034450953317034356,0.037591812580961885,75.4885,0.08102648046951538,ll1e-6-ll1e-8
coco_val/siglip/whole_image,14,-0.03854569680851062,0.06712909474771561,82.0075,0.34372726881518234,ll1e-6-ll1e-8
visual_genome_m/dinov3_patch/max_patch,16,0.006809252805390678,0.022067506487916496,620.1759999999999,0.03556092035163445,ll1e-6-ll1e-8
visual_genome_m/dinov3_patch/whole_image,16,-0.00592715353456595,0.059382876339032095,73.5565,0.23263105666372158,ll1e-6-ll1e-8
visual_genome_m/siglip/whole_image,16,0.02013009403555093,0.05599052472160255,79.103,0.23464591988663827,ll1e-6-ll1e-8
caltech101_m/dinov3_patch/whole_image,12,-0.003991070567375888,0.011938734014648414,21.655,0.0654287848421667,baseline-native
caltech101_m/siglip/whole_image,12,-0.00025120786516853966,0.0008702095714656455,18.2375,0.002635160568520146,baseline-native
coco_val/dinov3_patch/max_patch,14,-0.0025244967952953576,0.01495607247777617,572.857,0.11908394151836195,baseline-native
coco_val/dinov3_patch/whole_image,14,-0.007260213938813259,0.010683658872987521,75.4885,0.07423798828511127,baseline-native
coco_val/siglip/whole_image,14,0.0038476785714285744,0.010307156282006586,82.0075,0.0790175034041661,baseline-native
visual_genome_m/dinov3_patch/max_patch,16,0.00027781086106040166,0.022080474960934106,620.1759999999999,0.30421195525917877,baseline-native
visual_genome_m/dinov3_patch/whole_image,16,-0.003966240694474824,0.017701186862806483,73.5565,0.19404464830585474,baseline-native
visual_genome_m/siglip/whole_image,16,-0.005119544060926091,0.015963865572071082,79.103,0.16134001781664037,baseline-native
caltech101_m/dinov3_patch/whole_image,42,-0.0010688656092806296,0.004227643111231332,21.655,0.0015871220874345863,v:ll1e-8-baseline
caltech101_m/siglip/whole_image,42,0.0022493862781536827,0.03300781824916275,18.2375,0.07832252486831268,v:ll1e-8-baseline
coco_val/dinov3_patch/max_patch,49,-0.0010323399764242043,0.026381593942371565,572.857,0.05882671603214023,v:ll1e-8-baseline
coco_val/dinov3_patch/whole_image,49,-0.004153548615039718,0.03319770244111681,75.4885,0.09485690320960434,v:ll1e-8-baseline
coco_val/siglip/whole_image,49,-0.003125874294398613,0.036416585925383445,82.0075,0.11287458819472372,v:ll1e-8-baseline
visual_genome_m/dinov3_patch/max_patch,56,0.005285223622387316,0.03230528868893983,620.1759999999999,0.1023156467172045,v:ll1e-8-baseline
visual_genome_m/dinov3_patch/whole_image,56,-0.0006961302736829346,0.06652349622059246,73.5565,0.42636847902327785,v:ll1e-8-baseline
visual_genome_m/siglip/whole_image,56,0.008676721500457797,0.03515826088163273,79.103,0.12484801986730212,v:ll1e-8-baseline
