n_cells,fp16,fp32,diff_fp32_minus_fp16,se,resolved_below_margin,resolvable_from_zero,metric,window,split,dataset,band
96,0.11438295649509804,0.11521059395424836,0.0008276374591503268,0.003619483066922917,False,False,fpr,deep,dataset+band,visual_genome_m,patch_to_leaf
24,0.26238404493464057,0.2707589460784314,0.00837490114379085,0.009123331715050661,False,False,fpr,deep,dataset+band,visual_genome_m,sub_patch
624,0.07917894223565412,0.07966643560355816,0.00048749336790402704,0.0010715476430242378,True,False,fnr,all,pooled,,
312,0.06515047760270577,0.06383453380706455,-0.001315943795641213,0.0012206851645169972,True,False,fnr,all,dataset,coco_val,
312,0.09320740686860247,0.09549833740005174,0.002290930531449267,0.0017576272318927991,False,False,fnr,all,dataset,visual_genome_m,
192,0.06550425480198589,0.06556320555074267,5.895074875678447e-05,0.001988577936568081,True,False,fnr,all,band,,above_4x
192,0.0459921156573897,0.047685919061378146,0.0016938034039884545,0.0011131277277668266,True,False,fnr,all,band,,leaf_to_4x
192,0.11996337674652409,0.12015392330998433,0.00019054656346022616,0.002317326821996935,True,False,fnr,all,band,,patch_to_leaf
48,0.10348726023990477,0.10205147115783526,-0.001435789082069501,0.005091226550569299,False,False,fnr,all,band,,sub_patch
96,0.034494174837668534,0.03587722801846134,0.0013830531807928067,0.001647383769212419,True,False,fnr,all,dataset+band,coco_val,above_4x
96,0.029584885416666668,0.030411148384353742,0.0008262629676870749,0.001248639097514094,True,False,fnr,all,dataset+band,coco_val,leaf_to_4x
96,0.13083533053722765,0.1252637707841492,-0.005571559753078478,0.00317511447623993,False,False,fnr,all,dataset+band,coco_val,patch_to_leaf
24,0.06729864566892345,0.06364035074398207,-0.003658294924941377,0.004395138349209604,False,False,fnr,all,dataset+band,coco_val,sub_patch
96,0.09651433476630326,0.095249183083024,-0.0012651516832792378,0.0036263254821745027,False,False,fnr,all,dataset+band,visual_genome_m,above_4x
96,0.06239934589811272,0.06496068973840254,0.0025613438402898345,0.0018459020354270454,False,False,fnr,all,dataset+band,visual_genome_m,leaf_to_4x
96,0.10909142295582053,0.11504407583581948,0.005952652879998931,0.0032882713467503612,False,False,fnr,all,dataset+band,visual_genome_m,patch_to_leaf
24,0.13967587481088609,0.14046259157168847,0.0007867167608023746,0.009283832703295013,False,False,fnr,all,dataset+band,visual_genome_m,sub_patch
624,0.06357244940925089,0.0642728711664153,0.0007004217571644041,0.0011786446546935604,True,False,fnr,deep,pooled,,
312,0.050253212355455004,0.049994860231272004,-0.00025835212418300643,0.0013305197021123432,True,False,fnr,deep,dataset,coco_val,
312,0.07689168646304677,0.07855088210155857,0.0016591956385118146,0.0019466772805638462,False,False,fnr,deep,dataset,visual_genome_m,
192,0.05697006209150327,0.05580894924428104,-0.0011611128472222222,0.0022284011305484536,False,False,fnr,deep,band,,above_4x
192,0.042723338848039215,0.045237308925653606,0.0025139700776143793,0.0015875289232732885,False,False,fnr,deep,band,,leaf_to_4x
192,0.08883252961601307,0.09090611887254901,0.002073589256535947,0.0024106064121777212,False,False,fnr,deep,band,,patch_to_leaf
48,0.07233812009803921,0.06773781699346405,-0.004600303104575164,0.00468033223743407,False,False,fnr,deep,band,,sub_patch
96,0.026394737540849672,0.028473281045751638,0.0020785435049019614,0.0020023805797067884,False,False,fnr,deep,dataset+band,coco_val,above_4x
96,0.026614878472222225,0.028148539215686275,0.0015336607434640525,0.002167044934031945,False,False,fnr,deep,dataset+band,coco_val,leaf_to_4x
96,0.09419857924836601,0.09215127022058822,-0.0020473090277777777,0.002883310131084513,False,False,fnr,deep,dataset+band,coco_val,patch_to_leaf
24,0.06445897957516339,0.05484082107843138,-0.009618158496732027,0.004911840270889281,False,False,fnr,deep,dataset+band,coco_val,sub_patch
96,0.08754538664215687,0.08314461744281046,-0.004400769199346405,0.003967007151689844,False,False,fnr,deep,dataset+band,visual_genome_m,above_4x
96,0.05883179922385621,0.062326078635620924,0.0034942794117647055,0.0023276027847722227,False,False,fnr,deep,dataset+band,visual_genome_m,leaf_to_4x
96,0.08346647998366012,0.0896609675245098,0.006194487540849672,0.003833463379589972,False,False,fnr,deep,dataset+band,visual_genome_m,patch_to_leaf
24,0.08021726062091504,0.08063481290849674,0.00041755228758169963,0.007950548680032131,False,False,fnr,deep,dataset+band,visual_genome_m,sub_patch
624,19.03994971363861,19.193971136207146,0.15402142256853468,0.18719845759875298,False,False,n_good,all,pooled,,
312,23.094762608425118,22.80251333634004,-0.29224927208508217,0.29547614356764207,False,False,n_good,all,dataset,coco_val,
312,14.985136818852101,15.585428936074253,0.6002921172221516,0.22762139937764395,False,True,n_good,all,dataset,visual_genome_m,
192,19.468799044565444,19.67187575329392,0.2030767087284776,0.39523117256643625,False,False,n_good,all,band,,above_4x
192,23.607435474870158,23.839245248064458,0.23180977319430096,0.3454773822419957,False,False,n_good,all,band,,leaf_to_4x
192,15.170391466169121,15.584951961296488,0.41456049512736953,0.25831468560977994,False,False,n_good,all,band,,patch_to_leaf
48,14.532842334883052,13.13733292007341,-1.395509414809642,0.6457777532914705,False,True,n_good,all,band,,sub_patch
96,18.907358317518312,18.43021143039869,-0.477146887119622,0.5939471096189403,False,False,n_good,all,dataset+band,coco_val,above_4x
96,33.257511337868486,33.35133219954648,0.09382086167800452,0.6129491639417958,False,False,n_good,all,dataset+band,coco_val,leaf_to_4x
96,18.288171314462662,18.395025737712096,0.10685442324943761,0.3154432838284438,False,False,n_good,all,dataset+band,coco_val,patch_to_leaf
24,18.419750030128746,15.726395901791397,-2.6933541283373494,1.1648725061766427,False,True,n_good,all,dataset+band,coco_val,sub_patch
96,20.030239771612575,20.913540076189154,0.8833003045765772,0.5153687931796213,False,False,n_good,all,dataset+band,visual_genome_m,above_4x
96,13.957359611871837,14.327158296582434,0.3697986847105974,0.3222168151639169,False,False,n_good,all,dataset+band,visual_genome_m,leaf_to_4x
