dataset,embedder,category,seed,style,first_divergence_t
coco_val,siglip+dinov3_patch,refrigerator,0,max_patch,4
coco_val,siglip+dinov3_patch,refrigerator,1,max_patch,6
coco_val,siglip+dinov3_patch,refrigerator,2,max_patch,8
coco_val,siglip+dinov3_patch,refrigerator,3,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,4,max_patch,4
coco_val,siglip+dinov3_patch,refrigerator,5,max_patch,4
coco_val,siglip+dinov3_patch,refrigerator,6,max_patch,6
coco_val,siglip+dinov3_patch,refrigerator,7,max_patch,4
coco_val,siglip+dinov3_patch,refrigerator,8,max_patch,6
coco_val,siglip+dinov3_patch,refrigerator,9,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,10,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,11,max_patch,4
coco_val,siglip+dinov3_patch,refrigerator,12,max_patch,4
coco_val,siglip+dinov3_patch,refrigerator,13,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,14,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,15,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,16,max_patch,6
coco_val,siglip+dinov3_patch,refrigerator,17,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,18,max_patch,6
coco_val,siglip+dinov3_patch,refrigerator,19,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,20,max_patch,6
coco_val,siglip+dinov3_patch,refrigerator,21,max_patch,5
coco_val,siglip+dinov3_patch,refrigerator,22,max_patch,8
coco_val,siglip+dinov3_patch,refrigerator,23,max_patch,4
coco_val,siglip+dinov3_patch,sports ball,0,max_patch,6
coco_val,siglip+dinov3_patch,sports ball,1,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,2,max_patch,6
coco_val,siglip+dinov3_patch,sports ball,3,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,4,max_patch,3
coco_val,siglip+dinov3_patch,sports ball,5,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,6,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,7,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,8,max_patch,6
coco_val,siglip+dinov3_patch,sports ball,9,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,10,max_patch,3
coco_val,siglip+dinov3_patch,sports ball,11,max_patch,6
coco_val,siglip+dinov3_patch,sports ball,12,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,13,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,14,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,15,max_patch,2
coco_val,siglip+dinov3_patch,sports ball,16,max_patch,4
coco_val,siglip+dinov3_patch,sports ball,17,max_patch,4
coco_val,siglip+dinov3_patch,sports ball,18,max_patch,2
coco_val,siglip+dinov3_patch,sports ball,19,max_patch,6
coco_val,siglip+dinov3_patch,sports ball,20,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,21,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,22,max_patch,5
coco_val,siglip+dinov3_patch,sports ball,23,max_patch,5
coco_val,siglip+dinov3_patch,toilet,0,max_patch,5
coco_val,siglip+dinov3_patch,toilet,1,max_patch,7
coco_val,siglip+dinov3_patch,toilet,2,max_patch,6
coco_val,siglip+dinov3_patch,toilet,3,max_patch,6
coco_val,siglip+dinov3_patch,toilet,4,max_patch,6
coco_val,siglip+dinov3_patch,toilet,5,max_patch,5
coco_val,siglip+dinov3_patch,toilet,6,max_patch,6
coco_val,siglip+dinov3_patch,toilet,7,max_patch,6
coco_val,siglip+dinov3_patch,toilet,8,max_patch,6
coco_val,siglip+dinov3_patch,toilet,9,max_patch,5
coco_val,siglip+dinov3_patch,toilet,10,max_patch,5
coco_val,siglip+dinov3_patch,toilet,11,max_patch,5
coco_val,siglip+dinov3_patch,toilet,12,max_patch,6
coco_val,siglip+dinov3_patch,toilet,13,max_patch,5
coco_val,siglip+dinov3_patch,toilet,14,max_patch,5
coco_val,siglip+dinov3_patch,toilet,15,max_patch,5
coco_val,siglip+dinov3_patch,toilet,16,max_patch,5
coco_val,siglip+dinov3_patch,toilet,17,max_patch,5
coco_val,siglip+dinov3_patch,toilet,18,max_patch,6
coco_val,siglip+dinov3_patch,toilet,19,max_patch,9
coco_val,siglip+dinov3_patch,toilet,20,max_patch,6
coco_val,siglip+dinov3_patch,toilet,21,max_patch,6
coco_val,siglip+dinov3_patch,toilet,22,max_patch,7
coco_val,siglip+dinov3_patch,toilet,23,max_patch,9
coco_val,siglip+dinov3_patch,train,0,max_patch,5
coco_val,siglip+dinov3_patch,train,1,max_patch,6
coco_val,siglip+dinov3_patch,train,2,max_patch,4
coco_val,siglip+dinov3_patch,train,3,max_patch,6
coco_val,siglip+dinov3_patch,train,4,max_patch,7
coco_val,siglip+dinov3_patch,train,5,max_patch,8
coco_val,siglip+dinov3_patch,train,6,max_patch,5
coco_val,siglip+dinov3_patch,train,7,max_patch,5
coco_val,siglip+dinov3_patch,train,8,max_patch,6
coco_val,siglip+dinov3_patch,train,9,max_patch,10
coco_val,siglip+dinov3_patch,train,10,max_patch,5
coco_val,siglip+dinov3_patch,train,11,max_patch,6
coco_val,siglip+dinov3_patch,train,12,max_patch,5
coco_val,siglip+dinov3_patch,train,13,max_patch,4
coco_val,siglip+dinov3_patch,train,14,max_patch,5
coco_val,siglip+dinov3_patch,train,15,max_patch,5
coco_val,siglip+dinov3_patch,train,16,max_patch,6
coco_val,siglip+dinov3_patch,train,17,max_patch,5
coco_val,siglip+dinov3_patch,train,18,max_patch,5
coco_val,siglip+dinov3_patch,train,19,max_patch,6
coco_val,siglip+dinov3_patch,train,20,max_patch,6
coco_val,siglip+dinov3_patch,train,21,max_patch,7
coco_val,siglip+dinov3_patch,train,22,max_patch,5
coco_val,siglip+dinov3_patch,train,23,max_patch,6
visual_genome_m,siglip+dinov3_patch,bike,0,max_patch,5
visual_genome_m,siglip+dinov3_patch,bike,1,max_patch,6
visual_genome_m,siglip+dinov3_patch,bike,2,max_patch,3
visual_genome_m,siglip+dinov3_patch,bike,3,max_patch,6
visual_genome_m,siglip+dinov3_patch,bike,4,max_patch,6
visual_genome_m,siglip+dinov3_patch,bike,5,max_patch,7
visual_genome_m,siglip+dinov3_patch,bike,6,max_patch,6
visual_genome_m,siglip+dinov3_patch,bike,7,max_patch,5
visual_genome_m,siglip+dinov3_patch,bike,8,max_patch,3
visual_genome_m,siglip+dinov3_patch,bike,9,max_patch,6
visual_genome_m,siglip+dinov3_patch,bike,10,max_patch,5
visual_genome_m,siglip+dinov3_patch,bike,11,max_patch,6
visual_genome_m,siglip+dinov3_patch,bike,12,max_patch,6
visual_genome_m,siglip+dinov3_patch,bike,13,max_patch,5
visual_genome_m,siglip+dinov3_patch,bike,14,max_patch,5
visual_genome_m,siglip+dinov3_patch,bike,15,max_patch,5
visual_genome_m,siglip+dinov3_patch,bike,16,max_patch,3
visual_genome_m,siglip+dinov3_patch,bike,17,max_patch,4
visual_genome_m,siglip+dinov3_patch,bike,18,max_patch,3
visual_genome_m,siglip+dinov3_patch,bike,19,max_patch,5
visual_genome_m,siglip+dinov3_patch,bike,20,max_patch,5
visual_genome_m,siglip+dinov3_patch,bike,21,max_patch,3
visual_genome_m,siglip+dinov3_patch,bike,22,max_patch,4
visual_genome_m,siglip+dinov3_patch,bike,23,max_patch,2
visual_genome_m,siglip+dinov3_patch,building,0,max_patch,7
visual_genome_m,siglip+dinov3_patch,building,1,max_patch,3
visual_genome_m,siglip+dinov3_patch,building,2,max_patch,11
visual_genome_m,siglip+dinov3_patch,building,3,max_patch,12
visual_genome_m,siglip+dinov3_patch,building,4,max_patch,11
visual_genome_m,siglip+dinov3_patch,building,5,max_patch,10
visual_genome_m,siglip+dinov3_patch,building,6,max_patch,7
visual_genome_m,siglip+dinov3_patch,building,7,max_patch,7
visual_genome_m,siglip+dinov3_patch,building,8,max_patch,6
visual_genome_m,siglip+dinov3_patch,building,9,max_patch,7
visual_genome_m,siglip+dinov3_patch,building,10,max_patch,9
visual_genome_m,siglip+dinov3_patch,building,11,max_patch,6
visual_genome_m,siglip+dinov3_patch,building,12,max_patch,9
visual_genome_m,siglip+dinov3_patch,building,13,max_patch,11
visual_genome_m,siglip+dinov3_patch,building,14,max_patch,10
visual_genome_m,siglip+dinov3_patch,building,15,max_patch,5
visual_genome_m,siglip+dinov3_patch,building,16,max_patch,7
visual_genome_m,siglip+dinov3_patch,building,17,max_patch,6
visual_genome_m,siglip+dinov3_patch,building,18,max_patch,8
visual_genome_m,siglip+dinov3_patch,building,19,max_patch,7
visual_genome_m,siglip+dinov3_patch,building,20,max_patch,7
visual_genome_m,siglip+dinov3_patch,building,21,max_patch,6
visual_genome_m,siglip+dinov3_patch,building,22,max_patch,7
visual_genome_m,siglip+dinov3_patch,building,23,max_patch,7
visual_genome_m,siglip+dinov3_patch,bus,0,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,1,max_patch,4
visual_genome_m,siglip+dinov3_patch,bus,2,max_patch,6
visual_genome_m,siglip+dinov3_patch,bus,3,max_patch,6
visual_genome_m,siglip+dinov3_patch,bus,4,max_patch,4
visual_genome_m,siglip+dinov3_patch,bus,5,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,6,max_patch,6
visual_genome_m,siglip+dinov3_patch,bus,7,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,8,max_patch,6
visual_genome_m,siglip+dinov3_patch,bus,9,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,10,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,11,max_patch,6
visual_genome_m,siglip+dinov3_patch,bus,12,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,13,max_patch,7
visual_genome_m,siglip+dinov3_patch,bus,14,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,15,max_patch,6
visual_genome_m,siglip+dinov3_patch,bus,16,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,17,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,18,max_patch,4
visual_genome_m,siglip+dinov3_patch,bus,19,max_patch,6
visual_genome_m,siglip+dinov3_patch,bus,20,max_patch,5
visual_genome_m,siglip+dinov3_patch,bus,21,max_patch,7
visual_genome_m,siglip+dinov3_patch,bus,22,max_patch,7
visual_genome_m,siglip+dinov3_patch,bus,23,max_patch,4
visual_genome_m,siglip+dinov3_patch,cat,0,max_patch,3
visual_genome_m,siglip+dinov3_patch,cat,1,max_patch,5
visual_genome_m,siglip+dinov3_patch,cat,2,max_patch,2
visual_genome_m,siglip+dinov3_patch,cat,3,max_patch,2
visual_genome_m,siglip+dinov3_patch,cat,4,max_patch,3
visual_genome_m,siglip+dinov3_patch,cat,5,max_patch,6
visual_genome_m,siglip+dinov3_patch,cat,6,max_patch,2
visual_genome_m,siglip+dinov3_patch,cat,7,max_patch,6
visual_genome_m,siglip+dinov3_patch,cat,8,max_patch,4
visual_genome_m,siglip+dinov3_patch,cat,9,max_patch,5
visual_genome_m,siglip+dinov3_patch,cat,10,max_patch,5
visual_genome_m,siglip+dinov3_patch,cat,11,max_patch,2
visual_genome_m,siglip+dinov3_patch,cat,12,max_patch,8
visual_genome_m,siglip+dinov3_patch,cat,13,max_patch,2
visual_genome_m,siglip+dinov3_patch,cat,14,max_patch,5
visual_genome_m,siglip+dinov3_patch,cat,15,max_patch,7
visual_genome_m,siglip+dinov3_patch,cat,16,max_patch,5
visual_genome_m,siglip+dinov3_patch,cat,17,max_patch,5
visual_genome_m,siglip+dinov3_patch,cat,18,max_patch,4
visual_genome_m,siglip+dinov3_patch,cat,19,max_patch,5
visual_genome_m,siglip+dinov3_patch,cat,20,max_patch,2
visual_genome_m,siglip+dinov3_patch,cat,21,max_patch,3
visual_genome_m,siglip+dinov3_patch,cat,22,max_patch,5
visual_genome_m,siglip+dinov3_patch,cat,23,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,0,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,1,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,2,max_patch,6
