dataset,band,t,cost_fp16,cost_fp32,ap_fp16,ap_fp32,n
coco_val,sub_patch,129,0.15491920833333334,0.14656650000000002,0.708574,0.7154346666666666,24
coco_val,sub_patch,130,0.15083320833333333,0.15210841666666666,0.7117639583333334,0.7164278333333334,24
coco_val,sub_patch,131,0.15363670833333334,0.14129416666666667,0.7103691666666667,0.7163164583333334,24
coco_val,sub_patch,132,0.15105995833333333,0.14145145833333334,0.7111342500000001,0.7183744583333334,24
coco_val,sub_patch,133,0.15613516666666666,0.14702783333333333,0.710692125,0.7183613333333333,24
coco_val,sub_patch,134,0.151757625,0.15024066666666666,0.7108455833333333,0.7176252500000001,24
coco_val,sub_patch,135,0.154138,0.14636758333333333,0.7130387916666666,0.7183599583333334,24
coco_val,sub_patch,136,0.15226520833333332,0.1445115,0.7145785,0.719852875,24
coco_val,sub_patch,137,0.14969179166666666,0.14459958333333334,0.7140047916666666,0.7183472916666666,24
coco_val,sub_patch,138,0.15153983333333335,0.14348629166666668,0.7152648333333333,0.7176487083333334,24
coco_val,sub_patch,139,0.15096879166666666,0.14499066666666668,0.7153235000000001,0.7171571666666666,24
coco_val,sub_patch,140,0.152430375,0.14627991666666665,0.715217125,0.7180667500000001,24
coco_val,sub_patch,141,0.15118600000000001,0.14659395833333333,0.7150009583333333,0.717672125,24
coco_val,sub_patch,142,0.1550775,0.1504025,0.7150676666666667,0.715848125,24
coco_val,sub_patch,143,0.15761229166666665,0.150222375,0.7150482083333333,0.7162325833333334,24
coco_val,sub_patch,144,0.15529554166666668,0.152938375,0.7148060416666667,0.7177051666666667,24
coco_val,sub_patch,145,0.15522070833333332,0.148492875,0.7150396250000001,0.7177954583333334,24
coco_val,sub_patch,146,0.15543683333333333,0.15067233333333332,0.7144044583333334,0.7182525833333333,24
coco_val,sub_patch,147,0.14684779166666667,0.15188904166666667,0.7176939166666667,0.7186285833333333,24
coco_val,sub_patch,148,0.152024875,0.15022991666666666,0.7179067916666666,0.7188404166666666,24
coco_val,sub_patch,149,0.15278191666666666,0.15290325000000002,0.7177249583333333,0.7192645416666666,24
coco_val,sub_patch,150,0.15172041666666666,0.15433616666666666,0.717024,0.7187242083333333,24
visual_genome_m,above_4x,2,0.39653660869565216,0.3967937826086957,0.44992595652173917,0.4499049565217391,23
visual_genome_m,above_4x,3,0.4421392432432433,0.44214437837837844,0.46353008108108107,0.46353856756756756,37
visual_genome_m,above_4x,4,0.32089496,0.3209142266666667,0.6413601866666666,0.6413542799999999,75
visual_genome_m,above_4x,5,0.30964413095238097,0.3075794761904762,0.6647370952380952,0.6647364642857143,84
visual_genome_m,above_4x,6,0.3005900337078652,0.297827202247191,0.6708505056179775,0.6709045168539326,89
visual_genome_m,above_4x,7,0.35855383333333335,0.36539917708333336,0.6702926979166667,0.6702906458333334,96
visual_genome_m,above_4x,8,0.31716207291666665,0.31583241666666667,0.6853234375,0.6863361666666666,96
visual_genome_m,above_4x,9,0.29034378125,0.2936343645833333,0.6983685,0.6928033229166667,96
visual_genome_m,above_4x,10,0.29271055208333335,0.2889831666666667,0.7066601145833333,0.7108813958333333,96
visual_genome_m,above_4x,11,0.28487407291666667,0.29081330208333334,0.7145602916666666,0.7228951770833333,96
visual_genome_m,above_4x,12,0.2911638958333333,0.29039334375,0.7167332395833333,0.72798709375,96
visual_genome_m,above_4x,13,0.290706125,0.2919349479166667,0.7184528854166666,0.7339034999999999,96
visual_genome_m,above_4x,14,0.28028253124999997,0.2773704791666667,0.7263725729166667,0.74150990625,96
visual_genome_m,above_4x,15,0.28631752083333334,0.282441625,0.7323088437499999,0.7480377083333334,96
visual_genome_m,above_4x,16,0.28571186458333336,0.27647429166666665,0.7358168333333333,0.7537573958333333,96
visual_genome_m,above_4x,17,0.2802054375,0.27766509375,0.7395507291666666,0.7575370520833333,96
visual_genome_m,above_4x,18,0.2878062708333333,0.27474504166666663,0.7432281666666666,0.75623496875,96
visual_genome_m,above_4x,19,0.2847493020833333,0.2779901354166667,0.7465896041666666,0.7573681875,96
visual_genome_m,above_4x,20,0.27840755208333334,0.2695549166666667,0.750214625,0.7639694895833333,96
visual_genome_m,above_4x,21,0.2831516041666667,0.27244616666666666,0.7534415833333333,0.7688627499999999,96
visual_genome_m,above_4x,22,0.29041023958333334,0.2723591979166667,0.7588514375000001,0.77014859375,96
visual_genome_m,above_4x,23,0.2887364375,0.2664834166666667,0.7597654895833333,0.7725403854166667,96
visual_genome_m,above_4x,24,0.28137569791666667,0.26512680208333333,0.7603451250000001,0.7726864375,96
visual_genome_m,above_4x,25,0.27489114583333335,0.261574625,0.7619750520833333,0.7713138958333333,96
visual_genome_m,above_4x,26,0.2704598541666667,0.2589980416666667,0.76915084375,0.7748109270833333,96
visual_genome_m,above_4x,27,0.26833853125,0.26082773958333333,0.7705692083333333,0.7755163958333333,96
visual_genome_m,above_4x,28,0.27221667708333336,0.267644875,0.7720261979166666,0.7761331770833334,96
visual_genome_m,above_4x,29,0.26983734375,0.26836366666666667,0.7759135312500001,0.7768263645833334,96
visual_genome_m,above_4x,30,0.26024059375,0.25450534375,0.77696328125,0.7777665520833333,96
visual_genome_m,above_4x,31,0.25955497916666664,0.25303051041666663,0.7790322708333334,0.7815763750000001,96
visual_genome_m,above_4x,32,0.26789975,0.25899053125,0.7806792916666666,0.78477809375,96
visual_genome_m,above_4x,33,0.2657005625,0.25865259375,0.78004584375,0.7860054166666667,96
visual_genome_m,above_4x,34,0.2631737708333333,0.2549321770833333,0.7858919062499999,0.7866257291666666,96
visual_genome_m,above_4x,35,0.26001558333333336,0.25052571875,0.7863068645833334,0.7872279999999999,96
visual_genome_m,above_4x,36,0.2586135625,0.2522244166666667,0.7853550625,0.7882264062500001,96
visual_genome_m,above_4x,37,0.25101096875,0.24780722916666667,0.7877240520833334,0.7896237083333334,96
visual_genome_m,above_4x,38,0.25091801041666667,0.2503636354166667,0.78858840625,0.7918128125,96
visual_genome_m,above_4x,39,0.2577117291666667,0.25134276041666664,0.7882499270833333,0.7926402291666667,96
visual_genome_m,above_4x,40,0.26278088541666667,0.2452474166666667,0.7882914375,0.7929808333333334,96
visual_genome_m,above_4x,41,0.26396092708333335,0.2513251979166667,0.7907594270833332,0.7940179479166667,96
visual_genome_m,above_4x,42,0.2688687708333333,0.2583021979166667,0.7916099583333334,0.79488171875,96
visual_genome_m,above_4x,43,0.27382615625,0.25877165625000004,0.79125865625,0.79660009375,96
visual_genome_m,above_4x,44,0.27193353125,0.25907457291666663,0.7923579687500001,0.7979390416666666,96
visual_genome_m,above_4x,45,0.26872140625,0.2603091979166667,0.7936289583333332,0.7978353854166667,96
visual_genome_m,above_4x,46,0.26399401041666665,0.2559768333333333,0.79321325,0.7967119166666666,96
visual_genome_m,above_4x,47,0.26374285416666665,0.24792040625,0.7940438020833334,0.7972913229166667,96
visual_genome_m,above_4x,48,0.26012583333333333,0.2464967916666667,0.79409940625,0.7975079895833334,96
