arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,-3,74,14782,0.06352634169318638,0.05380795137914263,0.07283080878236482,0.09430388310106887,0.5082106590270996
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,-2,74,14782,-0.012887280181088057,-0.019061400970747707,-0.007253245705313122,0.591868488702476,-0.051549121737480164
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,-2,74,14782,0.004828516089882878,-0.0021144858884449727,0.010769109647466198,0.2584900554728724,0.01931406557559967
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,-2,74,14782,0.022111381809982296,0.012216463265389933,0.03135761354005316,0.18204573129481802,0.0884455218911171
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,-2,74,14782,0.026944862746293784,0.01935753077640264,0.03502559279242288,0.14456771749424976,0.10777945816516876
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,-2,74,14782,0.03443052692696133,0.024589446883700895,0.0453461260939548,0.11426058720064944,0.13772211968898773
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,-2,74,14782,0.05189772271999548,0.036277729529034776,0.06822388693219329,0.18211338113922337,0.20759090781211853
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,-2,74,14782,0.09207596722675639,0.07214549624666296,0.11126034237669366,0.29035313218779596,0.3683038651943207
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,-2,74,14782,0.14614203309866827,0.1249099041678238,0.16647289522728453,0.14619131375997835,0.5845680832862854
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,-1,74,14782,-0.01179299493063858,-0.019703241455076872,-0.002868320942925986,0.6138546881342173,-0.023585990071296692
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,-1,74,14782,0.0070402890347837895,-0.00044720179092208227,0.013776482833703542,0.20234068461642538,0.014080577529966831
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,-1,74,14782,0.007844674578754584,-3.678568837868452e-05,0.015280367668939917,0.16594506832634284,0.01568935066461563
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,-1,74,14782,0.016317509469691023,0.008204358562574812,0.024475597067622226,0.13638208632120147,0.03263502195477486
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,-1,74,14782,0.027038697615058185,0.015490372256071831,0.04121468530973141,0.11114869435800298,0.0540773943066597
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,-1,74,14782,0.050945365797434604,0.029851005577030278,0.07579225253575192,0.1982816939521039,0.10189072787761688
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,-1,74,14782,0.10255794268704375,0.0655244626737791,0.14264379459322343,0.43485319983764037,0.20511586964130402
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,-1,74,14782,0.20725463616435189,0.1659003384540336,0.24961231162069944,0.3066567446894872,0.41450926661491394
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,0,74,14782,0.0,0.0,0.0,0.0,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,0,74,14782,0.0,0.0,0.0,0.0,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,0,74,14782,0.0,0.0,0.0,0.0,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,0,74,14782,0.0,0.0,0.0,0.0,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,0,74,14782,0.0,0.0,0.0,0.0,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,0,74,14782,0.0,0.0,0.0,0.0,0.0
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,0,74,14782,0.000408504458766549,-0.011082700606501428,0.017520950791732357,0.6101339466919226,0.0004085043037775904
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,0,74,14782,0.015465978133048536,0.011772491665760753,0.01911795577832743,0.15843593559734812,0.015465979464352131
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,1,74,14782,-0.006854115312799459,-0.010319657996119901,-0.003048404953576236,0.7576782573400082,-0.013708231970667839
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,1,74,14782,-0.00669009790215421,-0.00949895794128679,-0.0038520746971944645,0.7568664592071438,-0.013380195945501328
