size,level,a,b,metric,mean,se,n,n_clusters,condition
8.0,0.0,svm,lrconv_C1,test_auroc,-0.011493763468723363,0.0014549614352031364,478,96,misvote
8.0,1.0,svm,lrconv_C1,test_auroc,-0.011728545410964322,0.0015788037116076568,478,96,misvote
16.0,0.0,svm,lrconv_C1,test_auroc,-0.015439343394335026,0.0022764820409940695,408,88,misvote
16.0,1.0,svm,lrconv_C1,test_auroc,-0.015253939898885852,0.00218103562392022,408,88,misvote
4.0,0.0,svm,lrconv_C1,test_oracle_cost,0.016550234087505847,0.002118691445192545,480,96,misvote
4.0,1.0,svm,lrconv_C1,test_oracle_cost,0.014784918604962472,0.002040381651966241,480,96,misvote
8.0,0.0,svm,lrconv_C1,test_oracle_cost,0.01894138458292987,0.002475878540252994,478,96,misvote
8.0,1.0,svm,lrconv_C1,test_oracle_cost,0.01942822908106005,0.002709198425233513,478,96,misvote
16.0,0.0,svm,lrconv_C1,test_oracle_cost,0.02719342037248262,0.0037766240569748395,408,88,misvote
16.0,1.0,svm,lrconv_C1,test_oracle_cost,0.026942910026073835,0.003753330901589211,408,88,misvote
4.0,0.0,lrconv_C1,lr,test_ap,0.012736441444537045,0.0018779242848624336,480,96,misvote
4.0,1.0,lrconv_C1,lr,test_ap,0.008150708620892514,0.0019897145382192596,480,96,misvote
8.0,0.0,lrconv_C1,lr,test_ap,0.008142197148004718,0.0016941045106270624,478,96,misvote
8.0,1.0,lrconv_C1,lr,test_ap,0.004891399302638188,0.0019556809543088824,478,96,misvote
16.0,0.0,lrconv_C1,lr,test_ap,0.00938291919550273,0.001895039357115592,408,88,misvote
16.0,1.0,lrconv_C1,lr,test_ap,0.0078014060537734764,0.0021459341840913393,408,88,misvote
4.0,0.0,lrconv_C1,lr,test_auroc,0.02004981371390586,0.002020548305218174,480,96,misvote
4.0,1.0,lrconv_C1,lr,test_auroc,0.016757101785878546,0.0019171544894433052,480,96,misvote
8.0,0.0,lrconv_C1,lr,test_auroc,0.014039082420417707,0.001643094953899097,478,96,misvote
8.0,1.0,lrconv_C1,lr,test_auroc,0.013492613204227314,0.0017503015214754768,478,96,misvote
16.0,0.0,lrconv_C1,lr,test_auroc,0.012463266846619076,0.0015919899055805698,408,88,misvote
16.0,1.0,lrconv_C1,lr,test_auroc,0.012161045712215834,0.0015024325349684486,408,88,misvote
4.0,0.0,lrconv_C1,lr,test_oracle_cost,-0.031924281778189983,0.0031356724649305332,480,96,misvote
4.0,1.0,lrconv_C1,lr,test_oracle_cost,-0.027590529198527787,0.003113965989405058,480,96,misvote
8.0,0.0,lrconv_C1,lr,test_oracle_cost,-0.0232892484055731,0.0026144380991007083,478,96,misvote
8.0,1.0,lrconv_C1,lr,test_oracle_cost,-0.0228183496818461,0.0028659820618828647,478,96,misvote
16.0,0.0,lrconv_C1,lr,test_oracle_cost,-0.02193206157359902,0.0029154628847785644,408,88,misvote
16.0,1.0,lrconv_C1,lr,test_oracle_cost,-0.02198617879556378,0.002721412263105178,408,88,misvote
4.0,0.0,svm_hinge,svm,test_ap,0.006065813247020751,0.0014768430107818008,480,96,misvote
4.0,1.0,svm_hinge,svm,test_ap,0.002809835121591354,0.0015266738910892739,480,96,misvote
8.0,0.0,svm_hinge,svm,test_ap,0.007675706297090159,0.0016588154834232688,478,96,misvote
8.0,1.0,svm_hinge,svm,test_ap,0.00527235239977013,0.0017411533234298587,478,96,misvote
16.0,0.0,svm_hinge,svm,test_ap,0.0109490154506599,0.0025376714900043522,408,88,misvote
16.0,1.0,svm_hinge,svm,test_ap,0.008172282015323502,0.0025273060565654485,408,88,misvote
4.0,0.0,svm_hinge,svm,test_auroc,0.007768692857654223,0.0011886121526309746,480,96,misvote
4.0,1.0,svm_hinge,svm,test_auroc,0.007458268894151426,0.0012556349717486625,480,96,misvote
8.0,0.0,svm_hinge,svm,test_auroc,0.008210542544703306,0.0011780449444074113,478,96,misvote
8.0,1.0,svm_hinge,svm,test_auroc,0.009798744678841443,0.0015616826214342806,478,96,misvote
16.0,0.0,svm_hinge,svm,test_auroc,0.011063164539379963,0.0018627662834661068,408,88,misvote
16.0,1.0,svm_hinge,svm,test_auroc,0.010579698389940146,0.001840893281931487,408,88,misvote
4.0,0.0,svm_hinge,svm,test_oracle_cost,-0.013412706877226505,0.002074334581005668,480,96,misvote
4.0,1.0,svm_hinge,svm,test_oracle_cost,-0.012343099897368754,0.0021428500245649633,480,96,misvote
