size,arm,active_frac,wnorm,cos_svm,cos_lrconv1,cos_centroid,train_auroc
16,lr_unbal,0.46139705882352944,4.67276239159101,0.6035323458480553,0.5909421153247782,0.5707948365928944,0.9720913756127451
16,lr_zeroinit,0.9379595588235294,5.437215219519156,0.756812162963171,0.760177382355186,0.7351322438172927,0.9929965150122549
16,lrconv_C0.01,1.0,0.055922701606544625,0.884182251710233,0.9873062736214739,0.9999968194482678,0.9612893497242647
16,lrconv_C0.1,1.0,0.5274291321928872,0.8928011768214745,0.9904581049839553,0.9997114030283821,0.9646474800857843
16,lrconv_C1,0.8752144607843136,3.620062825458194,0.9418202106114449,1.0,0.986908148631801,0.9842529296875
16,lrconv_C10,0.18164828431372548,13.483678697684285,0.9941043959696568,0.9618401643400023,0.9103810545772136,0.9996337890625
16,lrconv_C100,0.005575980392156863,30.824995254227968,0.9818787588407492,0.8960125424790714,0.8294620768250092,1.0
16,mlp,,,,,,0.9990497663909313
16,ridge_a0.1,0.8232536764705882,8.65863700182638,0.9556755984997372,0.8297966627063069,0.7540583200475882,1.0
16,ridge_a1,0.986703431372549,3.9233792077453784,0.9902716550125151,0.9757387346694733,0.9304848587622953,0.9976040709252451
16,ridge_a10,1.0,0.8969387265189065,0.9156309607368819,0.9969275992586629,0.9964537502463727,0.9739966299019608
16,svm,0.9416360294117647,5.300270930813889,1.0,0.9418202106114449,0.8831559026342327,0.9996313955269608
16,svm_C0.01,1.0,0.2104989722938957,0.8948362390317357,0.9884607816001398,0.9977953202593941,0.9642190372242647
16,svm_C0.1,1.0,1.5062882510652003,0.9400316376297897,0.996737277331419,0.9857553220249932,0.9818881165747549
16,svm_C10,0.7130514705882354,9.885223286317112,0.9526950836955143,0.8273315588982768,0.7530743422894047,1.0
16,svm_C100,0.6440563725490196,11.73074032197602,0.9202431551312199,0.7859089060662361,0.7115696484355518,1.0
16,svm_hinge,0.709313725490196,6.01105902197771,0.967034073042185,0.9589848488689813,0.9200060055639302,0.9871802236519608
16,svm_unbal,0.8945159313725489,4.413586270077098,0.9921858612905107,0.9335667021900363,0.8778285810561935,0.9992603975183824
32,centroid,1.0,0.24157428553358326,0.807408597612692,0.9681372801014311,1.0,0.9162055924093935
32,lr,0.9496116863905325,5.463535862197178,0.7291607465143658,0.7621959542867958,0.7250902643418813,0.9708497538369083
32,lr_ep2000,0.09652366863905325,28.054088545047755,0.866230592485322,0.7476770507966446,0.6400345484434617,0.9998360357340976
32,lr_nosmooth,0.9413461538461538,5.526076878922944,0.7234050087246244,0.7610401374748563,0.7270900789355521,0.9683158919656065
32,lr_unbal,0.487814349112426,4.523752750029586,0.5469285021749206,0.5582256445356396,0.5294251124792864,0.9188217975684172
32,lr_zeroinit,0.9486316568047337,5.431370722974934,0.733550381235239,0.7667142488391895,0.7293982405547762,0.9709205401719675
32,lrconv_C0.01,1.0,0.09538314810883702,0.8097288005364965,0.9692951110358043,0.999988426362884,0.9170882546690089
32,lrconv_C0.1,1.0,0.859130513779461,0.8285546405611869,0.9780629294813824,0.9990138446327786,0.9244348650147929
32,lrconv_C1,0.7445266272189349,5.086646453825558,0.917171899643401,1.0,0.9681372801014311,0.9625995342548077
32,lrconv_C10,0.2283284023668639,18.067601036698566,0.9929795040100183,0.9423466585613761,0.8429279047307985,0.9976900540865384
32,lrconv_C100,0.013942307692307693,43.4781914397839,0.9733908889099364,0.8503585230973026,0.7323262037305339,0.9999985553809172
32,mlp,,,,,,0.9960446329511834
32,ridge_a0.1,0.7832285502958579,12.180542808592074,0.9360218896806402,0.7652803529596942,0.6391086905547693,0.9999869984282544
32,ridge_a1,0.9559356508875739,5.10745414312387,0.9888656459581595,0.9596523419015164,0.8677369232305656,0.9918783515162722
32,ridge_a10,1.0,1.3315470756801269,0.8739469560945605,0.9939351890282202,0.989439868232466,0.9428515913923816
32,svm,0.8798261834319527,6.98852199679013,1.0,0.917171899643401,0.807408597612692,0.9977102787536982
32,svm_C0.01,1.0,0.3453239665752483,0.8284938492664392,0.974823151358295,0.9966091142288028,0.9233694584411982
32,svm_C0.1,1.0,2.1163770390862147,0.9133738757945715,0.9968608601646127,0.9686044710941618,0.9584411982248521
32,svm_C10,0.6272744082840237,14.492320570003509,0.9404737006239504,0.7771335594373457,0.653717284054899,1.0
32,svm_C100,0.5479289940828402,18.410372547733477,0.8961222156645,0.7247909833807248,0.6049753111397548,1.0
32,svm_hinge,0.646560650887574,7.516524657542612,0.9556725314779644,0.9428553238850833,0.8649158497290895,0.9711372330343935
32,svm_unbal,0.8247781065088756,5.7776782688624495,0.9889449051877998,0.9133050736833462,0.8097176752719789,0.996501132581361
