size,arm,test_ap,test_auroc,test_oracle_cost
16,lrconv_C0.1,0.5518741635025667,0.8824346154837486,0.29434458322883905
16,lrconv_C1,0.5564124163585655,0.8818801796163844,0.29509195205331734
16,lrconv_C10,0.5470868580337562,0.8697409640705815,0.3168121355936288
16,lrconv_C100,0.5262246743275378,0.8535552790241752,0.34633183474025797
16,mlp,0.5352627874143212,0.8541736617049915,0.3417918359239445
16,ridge_a0.1,0.5109238230433353,0.8395733736317839,0.370172312023123
16,ridge_a1,0.5526537953090702,0.8739341221190627,0.30875684304050943
16,ridge_a10,0.5546066119614905,0.882634633794556,0.2941816742366376
16,svm,0.5424359534410134,0.8649423677248981,0.32506783183030197
16,svm_C0.01,0.550761978627159,0.8813981854614605,0.2957713090146083
16,svm_C0.1,0.554887451904061,0.8809591710715386,0.2964313159726804
16,svm_C10,0.5047405550303358,0.838064879649295,0.3738811777737439
16,svm_C100,0.4886916103224372,0.8285977237215318,0.391844984469348
16,svm_hinge,0.5534125404745451,0.8762035962821448,0.30221764249336347
16,svm_unbal,0.5371097523774933,0.8555823294952124,0.341146776896366
32,centroid,0.57870824527475,0.8944248901776112,0.28349791573021554
32,lr,0.5811198144775597,0.8826431270399605,0.30181346109674423
32,lr_ep2000,0.5485195823206792,0.852671488461527,0.3558341129967828
32,lr_nosmooth,0.5810516305554282,0.8830008042212802,0.30122459970480375
32,lr_unbal,0.45347989939321126,0.774550061801439,0.46224184456161393
32,lr_zeroinit,0.5820532669167054,0.8833015816174447,0.3007163978063795
32,lrconv_C0.01,0.5791424128086292,0.8945309574565959,0.28334150086786636
32,lrconv_C0.1,0.5826009273900279,0.8952762005509163,0.28151114631975505
32,lrconv_C1,0.5929451772750317,0.8945798086187797,0.28247559956441015
32,lrconv_C10,0.5772634361657879,0.8760769942320499,0.31421278606117664
32,lrconv_C100,0.5464663456773465,0.8539380972097679,0.3539630127169583
32,mlp,0.5701687646830925,0.8674813624816062,0.32937569963260643
32,ridge_a0.1,0.5248660880235589,0.8358457426314101,0.3864255422867778
32,ridge_a1,0.5850730759781161,0.8817794931644072,0.30394445962679006
32,ridge_a10,0.5894757153628585,0.8959940533807664,0.2804077282650642
32,svm,0.5716339738709061,0.8703107584945964,0.3241470748574282
32,svm_C0.01,0.5808418418422938,0.8941192808053343,0.28329206775126536
32,svm_C0.1,0.5918532420675942,0.8941624051312123,0.2831449695249076
32,svm_C10,0.5199286365028344,0.8377043748316992,0.3842415173169193
32,svm_C100,0.49565304152974016,0.8259661516792983,0.40655942477643336
32,svm_hinge,0.5869338973684918,0.8851814441869157,0.29536673635587557
32,svm_unbal,0.5654413986077912,0.8593390195782705,0.34256953519063155
