window,env,arm,metric,mean,se,n,n_clusters,frac_ref_better
t10,caltech/siglip2_l,mlp,regret,-0.029113599999999983,0.05417867011580603,30,6,0.36666666666666664
t10,caltech/siglip2_l,mlp,average_precision,0.002777800000000001,0.0027778000000000004,30,6,0.0
t10,caltech/siglip2_l,mlp,auroc,0.00012226666666666683,0.00012226666666666683,30,6,0.0
t10,caltech/siglip2_l,mlp,f1,0.0316917,0.07711916495942715,30,6,0.36666666666666664
t10,caltech/siglip2_l,mlp,fnr,0.0008837333333333333,0.0008837333333333333,30,6,0.03333333333333333
t10,caltech/siglip2_l,mlp,fpr,-0.03122043333333332,0.05414839005895846,30,6,0.3333333333333333
t10,caltech/siglip2_l,mlp,n_good,0.13333333333333333,0.06666666666666668,30,6,0.06666666666666667
t10,caltech/siglip2_l,linconv,cost,-0.019434533333333327,0.016507531522442852,30,6,0.36666666666666664
t10,caltech/siglip2_l,linconv,oracle_cost,-0.0007317,0.0007317,30,6,0.0
t10,caltech/siglip2_l,linconv,regret,-0.018702833333333325,0.01646845410420919,30,6,0.36666666666666664
t10,caltech/siglip2_l,linconv,average_precision,0.0018518666666666682,0.0018518666666666687,30,6,0.0
t10,caltech/siglip2_l,linconv,auroc,8.129999999999897e-05,8.129999999999898e-05,30,6,0.0
t10,caltech/siglip2_l,linconv,f1,0.0030232666666666613,0.040897004286953725,30,6,0.36666666666666664
t10,caltech/siglip2_l,linconv,fnr,-0.0006204333333333333,0.0006204333333333334,30,6,0.03333333333333333
t10,caltech/siglip2_l,linconv,fpr,-0.018814099999999993,0.016661439799789214,30,6,0.36666666666666664
t10,caltech/siglip2_l,linconv,n_good,-0.03333333333333333,0.16666666666666669,30,6,0.13333333333333333
t10,caltech/siglip2_l,svmc01,cost,0.055639866666666676,0.03286571652834877,30,6,0.5
t10,caltech/siglip2_l,svmc01,oracle_cost,0.002526333333333333,0.0025263333333333336,30,6,0.06666666666666667
t10,caltech/siglip2_l,svmc01,regret,0.053113533333333345,0.03195290110274461,30,6,0.5
t10,caltech/siglip2_l,svmc01,average_precision,-0.0016584999999999998,0.0016584999999999996,30,6,0.06666666666666667
t10,caltech/siglip2_l,svmc01,auroc,-0.0002579333333333304,0.0002579333333333304,30,6,0.06666666666666667
t10,caltech/siglip2_l,svmc01,f1,-0.07752570000000002,0.044896360330602895,30,6,0.5
t10,caltech/siglip2_l,svmc01,fnr,-0.0009180666666666666,0.0009180666666666667,30,6,0.0
t10,caltech/siglip2_l,svmc01,fpr,0.056557933333333345,0.033062965139409047,30,6,0.5
t10,caltech/siglip2_l,svmc01,n_good,0.1,0.06831300510639735,30,6,0.03333333333333333
t10,caltech/siglip2_l,svmc10,cost,0.001109033333333333,0.006130091437581591,30,6,0.4
t10,caltech/siglip2_l,svmc10,oracle_cost,-0.0008141999999999998,0.0008141999999999998,30,6,0.0
t10,caltech/siglip2_l,svmc10,regret,0.0019232333333333333,0.0068370617707543884,30,6,0.4
t10,caltech/siglip2_l,svmc10,average_precision,0.0017130000000000016,0.001713000000000002,30,6,0.0
t10,caltech/siglip2_l,svmc10,auroc,8.593333333333231e-05,8.593333333333232e-05,30,6,0.0
t10,caltech/siglip2_l,svmc10,f1,-0.01035576666666667,0.00717695668565568,30,6,0.4
t10,caltech/siglip2_l,svmc10,fnr,-0.0009180666666666666,0.0009180666666666667,30,6,0.0
t10,caltech/siglip2_l,svmc10,fpr,0.002027099999999999,0.006078787276148647,30,6,0.4
t10,caltech/siglip2_l,svmc10,n_good,0.03333333333333333,0.03333333333333334,30,6,0.03333333333333333
t10,coco_val/siglip,linear,cost,0.004502421052631578,0.012397220662315838,95,19,0.49473684210526314
t10,coco_val/siglip,linear,oracle_cost,0.022357000000000002,0.00885008348958537,95,19,0.6
t10,coco_val/siglip,linear,regret,-0.017854515789473682,0.00911306800789751,95,19,0.4631578947368421
t10,coco_val/siglip,linear,average_precision,-0.0050401263157894794,0.011959734203448051,95,19,0.5263157894736842
t10,coco_val/siglip,linear,auroc,-0.013247126315789485,0.004513122522460398,95,19,0.6631578947368421
t10,coco_val/siglip,linear,f1,0.0061051473684210515,0.01834348624309475,95,19,0.45263157894736844
t10,coco_val/siglip,linear,fnr,0.008649663157894737,0.009221061077937463,95,19,0.43157894736842106
t10,coco_val/siglip,linear,fpr,-0.004147147368421053,0.01268901133080034,95,19,0.4421052631578947
t10,coco_val/siglip,linear,n_good,0.21052631578947367,0.0910930174438398,95,19,0.10526315789473684
t10,coco_val/siglip,mlp,cost,0.0025982000000000023,0.0088110991830513,95,19,0.5157894736842106
t10,coco_val/siglip,mlp,oracle_cost,0.014993526315789478,0.007512061683247465,95,19,0.5052631578947369
t10,coco_val/siglip,mlp,regret,-0.012395284210526315,0.00621136020911083,95,19,0.47368421052631576
t10,coco_val/siglip,mlp,average_precision,0.002212715789473683,0.007955034034622586,95,19,0.43157894736842106
t10,coco_val/siglip,mlp,auroc,-0.010601347368421055,0.004202810132715845,95,19,0.5894736842105263
t10,coco_val/siglip,mlp,f1,0.019884442105263148,0.015235140793654471,95,19,0.4631578947368421
t10,coco_val/siglip,mlp,fnr,0.024612431578947373,0.008230839763758602,95,19,0.5157894736842106
t10,coco_val/siglip,mlp,fpr,-0.022014263157894735,0.009182173018925639,95,19,0.37894736842105264
t10,coco_val/siglip,mlp,n_good,0.12631578947368421,0.08123394317747527,95,19,0.14736842105263157
t10,coco_val/siglip,linconv,cost,-0.014571989473684203,0.011695985283693207,95,19,0.43157894736842106
t10,coco_val/siglip,linconv,oracle_cost,0.022738663157894735,0.006923293900825335,95,19,0.5473684210526316
t10,coco_val/siglip,linconv,regret,-0.03731065263157894,0.010406465511074327,95,19,0.3684210526315789
t10,coco_val/siglip,linconv,average_precision,-0.006324547368421054,0.009454776933880393,95,19,0.49473684210526314
t10,coco_val/siglip,linconv,auroc,-0.013812042105263165,0.0034188774164101766,95,19,0.5684210526315789
t10,coco_val/siglip,linconv,f1,-0.015576831578947367,0.020870122341362863,95,19,0.4
t10,coco_val/siglip,linconv,fnr,0.02128182105263158,0.010776088142500789,95,19,0.5368421052631579
