condition,size,level,arm,test_ap,test_auroc,test_oracle_cost
noise,8,0.1,lr_zeroinit,0.48390373900720784,0.8282483879093169,0.3800324102965994
noise,8,0.1,lrconv_C0.1,0.5028794794572164,0.8417244470202371,0.3515033018649809
noise,8,0.1,lrconv_C1,0.4989687640803296,0.8402701612909087,0.35734302417982894
noise,8,0.1,lrconv_C10,0.4714712192948044,0.830620473996077,0.3820471774689843
noise,8,0.1,lrconv_C100,0.43216969236122005,0.817531224633054,0.4107176346722258
noise,8,0.1,ridge_a1,0.48394962111578127,0.8347987388614327,0.3728151896865779
noise,8,0.1,svm,0.4651792044323741,0.8276351826209741,0.38765842062647987
noise,8,0.1,svm_C0.1,0.4969937423382521,0.8388217188342889,0.3589702718261326
noise,8,0.1,svm_C10,0.3950772103367962,0.8036678659602347,0.4389355779860546
noise,8,0.1,svm_hinge,0.4942140773245587,0.8387635404851786,0.3599631496177983
noise,8,0.2,centroid,0.4216039645176324,0.7993912458206266,0.4200188973509053
noise,8,0.2,lr,0.3839881463057768,0.7857982300258269,0.4573007164582207
noise,8,0.2,lr_nosmooth,0.38827447599897963,0.7866397419726342,0.45475319816300896
noise,8,0.2,lr_zeroinit,0.3841838214581225,0.7861854467228989,0.45631309049989516
noise,8,0.2,lrconv_C0.1,0.42001098103225293,0.7991246123248321,0.4214603714698604
noise,8,0.2,lrconv_C1,0.4068370904354493,0.7967994742064022,0.4316550965692975
noise,8,0.2,lrconv_C10,0.3454904543170291,0.7832425939207772,0.47034406110825655
noise,8,0.2,lrconv_C100,0.27519587396390216,0.7634389458253091,0.5152539440880128
noise,8,0.2,ridge_a1,0.3729266334853411,0.7896258214155792,0.45310644173578246
noise,8,0.2,svm,0.33967504173050633,0.7808795908453022,0.47465613838982706
noise,8,0.2,svm_C0.1,0.4056138312809899,0.7954255119120348,0.4333124077852961
noise,8,0.2,svm_C10,0.23817777588612518,0.7475045389318233,0.5449228504226858
noise,8,0.2,svm_hinge,0.40547670791673623,0.795867150719236,0.43025041367643824
noise,8,0.3,centroid,0.3127280298702695,0.7369837611218529,0.513888004740171
noise,8,0.3,lr,0.25143257906809596,0.7267284586963636,0.5575127576504351
noise,8,0.3,lr_nosmooth,0.2573345660084767,0.7279445855772654,0.5542104028341832
noise,8,0.3,lr_zeroinit,0.2520228574873749,0.7271562572976124,0.5572535774330685
noise,8,0.3,lrconv_C0.1,0.31003001631203553,0.7368078325760842,0.515607642413701
noise,8,0.3,lrconv_C1,0.2885696441287126,0.7349432144028815,0.528280592067665
noise,8,0.3,lrconv_C10,0.21014932888477766,0.7180166236890883,0.5786705447140111
noise,8,0.3,lrconv_C100,0.15405134759220943,0.6912674119943784,0.6310394555379273
noise,8,0.3,ridge_a1,0.24214409204332077,0.7270665549712683,0.5567221837501449
noise,8,0.3,svm,0.20798247872792666,0.716326185463899,0.5811053872562872
noise,8,0.3,svm_C0.1,0.2897662960180308,0.7335143016872216,0.5290631068658126
noise,8,0.3,svm_C10,0.13421102376917715,0.6749066087751593,0.6581089203449767
noise,8,0.3,svm_hinge,0.29653904706786566,0.7352976383843837,0.5216453295403887
noise,16,0.0,centroid,0.544927860206649,0.8824577312476083,0.2990296541517554
noise,16,0.0,lr,0.5449779359380065,0.8682881227701525,0.3215267156667414
noise,16,0.0,lr_nosmooth,0.5451059022679152,0.8687170072934625,0.3206128632553506
noise,16,0.0,lr_zeroinit,0.545789074570687,0.8689252648946595,0.32100557125549645
noise,16,0.0,lrconv_C0.1,0.5464013583161136,0.8826134886452577,0.2986598740909687
noise,16,0.0,lrconv_C1,0.5516336944721575,0.8814793574068405,0.30088014483688547
noise,16,0.0,lrconv_C10,0.5442301239691799,0.8692907603360243,0.3225164422048937
noise,16,0.0,lrconv_C100,0.524197059958427,0.8536911690120842,0.3508703478497473
noise,16,0.0,ridge_a1,0.5489184510683934,0.8732732677328956,0.3146112080364185
noise,16,0.0,svm,0.5396600716514208,0.8644392243308104,0.3309765196761634
noise,16,0.0,svm_C0.1,0.5497349509377976,0.8806122928404545,0.3023439219343635
noise,16,0.0,svm_C10,0.501836167822288,0.8380450251425597,0.37914980506306406
noise,16,0.0,svm_hinge,0.5501011129196515,0.8753604098236406,0.3100097170419441
noise,16,0.05,centroid,0.5258959690405388,0.8674622171387224,0.32407461073755844
noise,16,0.05,lr,0.5154198694627812,0.8517631023881127,0.35332930046260624
noise,16,0.05,lr_nosmooth,0.5164453064835376,0.8524886659151824,0.351610576390369
noise,16,0.05,lr_zeroinit,0.5159242072817152,0.8524078334602845,0.3524715846278199
noise,16,0.05,lrconv_C0.1,0.5262717157187805,0.8673412505604293,0.32459694057909594
noise,16,0.05,lrconv_C1,0.5247865741261551,0.864467935843103,0.3317565538860236
noise,16,0.05,lrconv_C10,0.49955613700061,0.8480312379599548,0.36536318678375057
noise,16,0.05,lrconv_C100,0.4634460094728395,0.8300238190315219,0.4013262353678212
noise,16,0.05,ridge_a1,0.5105799075853988,0.8538755652381153,0.35348801154380965
noise,16,0.05,svm,0.493340472429344,0.8439543120254903,0.3733213563230661
noise,16,0.05,svm_C0.1,0.5237394344935932,0.8639611400891176,0.33235918317241775
noise,16,0.05,svm_C10,0.42910714996831584,0.8142063037250623,0.43161083313968285
noise,16,0.05,svm_hinge,0.5189811617795504,0.8594176119849969,0.33871225143720607
noise,16,0.1,centroid,0.5030610339658725,0.8583462874508438,0.34073926125679493
