level,a,b,metric,mean,se,n,n_clusters,condition
20,svm_C0.1,svm,test_auroc,0.001853776757477929,0.0006737910242007568,480,96,replay_svm
40,svm_C0.1,svm,test_auroc,0.0028085912577439013,0.0007228753362200569,480,96,replay_svm
80,svm_C0.1,svm,test_auroc,0.004379694492287034,0.0009326483624681535,480,96,replay_svm
150,svm_C0.1,svm,test_auroc,0.0046609082296661915,0.0009588704596219786,480,96,replay_svm
10,svm_C0.1,svm,test_oracle_cost,-0.0024046701004352224,0.0009425941124184497,480,96,replay_svm
20,svm_C0.1,svm,test_oracle_cost,-0.003360676900616211,0.0012665723454259059,480,96,replay_svm
40,svm_C0.1,svm,test_oracle_cost,-0.004825169351909073,0.001260587990308744,480,96,replay_svm
80,svm_C0.1,svm,test_oracle_cost,-0.00749166547491475,0.001620187223106803,480,96,replay_svm
150,svm_C0.1,svm,test_oracle_cost,-0.007697565288737588,0.0016782895122738133,480,96,replay_svm
10,lr_ep2000,lr,test_ap,-0.004587982550506714,0.0028658261385883775,480,96,replay_svm
20,lr_ep2000,lr,test_ap,-0.007295662614556399,0.002413788980959561,480,96,replay_svm
40,lr_ep2000,lr,test_ap,-0.007232528453050421,0.0018739988840194705,480,96,replay_svm
80,lr_ep2000,lr,test_ap,-0.003859813666209779,0.0020016308284995896,480,96,replay_svm
150,lr_ep2000,lr,test_ap,-0.0008209154376070485,0.0019589740611824116,480,96,replay_svm
10,lr_ep2000,lr,test_auroc,-0.0025488857201821564,0.000989483317381466,480,96,replay_svm
20,lr_ep2000,lr,test_auroc,-0.004384694233972148,0.001085087104199717,480,96,replay_svm
40,lr_ep2000,lr,test_auroc,-0.004812041357528013,0.0010199302917812544,480,96,replay_svm
80,lr_ep2000,lr,test_auroc,-0.006355923333102908,0.0012671202427146527,480,96,replay_svm
150,lr_ep2000,lr,test_auroc,-0.005512934007934605,0.0012289323416472418,480,96,replay_svm
10,lr_ep2000,lr,test_oracle_cost,0.005066176192721914,0.0020976781666729484,480,96,replay_svm
20,lr_ep2000,lr,test_oracle_cost,0.00797354790523132,0.0019540468424546686,480,96,replay_svm
40,lr_ep2000,lr,test_oracle_cost,0.009101572783900419,0.001866641369519417,480,96,replay_svm
80,lr_ep2000,lr,test_oracle_cost,0.01152907024690804,0.002260816356044822,480,96,replay_svm
150,lr_ep2000,lr,test_oracle_cost,0.009342574277424602,0.001958170629677065,480,96,replay_svm
10,mlp,svm,test_ap,-0.004207565522853731,0.002634993065581224,480,96,replay_svm
20,mlp,svm,test_ap,-0.01242457412491526,0.0027597368426511893,480,96,replay_svm
40,mlp,svm,test_ap,-0.010961472579914396,0.001521322335786006,480,96,replay_svm
80,mlp,svm,test_ap,-0.010409760305536024,0.0015464366289884635,480,96,replay_svm
150,mlp,svm,test_ap,-0.0070444975141723595,0.0012485732677915186,480,96,replay_svm
10,mlp,svm,test_auroc,-0.010859348702406093,0.0019017788112207922,480,96,replay_svm
20,mlp,svm,test_auroc,-0.016368199304464596,0.002100447794252487,480,96,replay_svm
40,mlp,svm,test_auroc,-0.020325580745215132,0.0023447864201845575,480,96,replay_svm
80,mlp,svm,test_auroc,-0.014491257249859618,0.002055324753065965,480,96,replay_svm
150,mlp,svm,test_auroc,-0.011208714697284732,0.0018292424177510206,480,96,replay_svm
10,mlp,svm,test_oracle_cost,0.018994363986134365,0.003292491821608846,480,96,replay_svm
20,mlp,svm,test_oracle_cost,0.028752720100254352,0.0035841931403000913,480,96,replay_svm
40,mlp,svm,test_oracle_cost,0.031151136297836016,0.0032938047230024066,480,96,replay_svm
80,mlp,svm,test_oracle_cost,0.023952114209738116,0.002918544794350063,480,96,replay_svm
150,mlp,svm,test_oracle_cost,0.018656021568804398,0.0023111453567016063,480,96,replay_svm
