dataset,rule,cost,excess_cost,f1,median_adm_frac,sorts,boot_flip
vg_scale,gmm_priorfree,0.5178978554657957,0.14058619242741707,0.03877021249627333,0.4087075558141978,300,0.0127229579119816
vg_scale,gmm_shipped,0.543386638262174,0.16607497522379538,0.034900785181626905,0.44178359592713845,300,0.006744435227156462
vg_scale,oracle_cost,0.3773116630383786,0.0,0.1508490674327889,0.14739227646627148,300,
vg_scale,oracle_f1,0.6269906793342883,0.2496790162959096,0.36836154497366835,0.008000607984864294,300,
vg_scale,otsu,0.5365431966831722,0.15923153364479356,0.03573571959452074,0.43303997722806303,300,0.006292710888961304
vg_scale,quantile0.02,0.5719083829951617,0.194596719956783,0.25913200821489574,0.02,300,0.0010179327123266517
vg_scale,quantile0.05,0.4867376820644255,0.10942601902604683,0.15802339727125106,0.04999175053621514,300,0.0015526448125254555
vg_scale,tail_fdr0.2,0.5758253737012969,0.19851371066291826,0.23350799131495967,0.016905942400970125,300,0.001988669703726994
vg_scale,tail_fdr0.3,0.5453937693873024,0.1680821063489238,0.2071624335560655,0.02439239137173637,300,0.0028257658488150235
vg_scale,tail_z2.5,0.548289986646198,0.1709783236078193,0.2284917219642911,0.02219954242966076,300,0.0012357513991841365
vg_scale,tail_z3,0.6095130757187601,0.23220141268038147,0.28307505727052723,0.011698149850235161,300,0.0007033556469457836
visual_genome_m,gmm_converged,0.5626755807534134,0.06548762280438397,0.22034159406880327,0.34497972811829236,400,0.05189723944669687
visual_genome_m,gmm_guarded_fdr0.2,0.7024539126339584,0.20526595468492914,0.2551514087901736,0.012878607202480324,400,0.004369872406391605
visual_genome_m,gmm_guarded_z3,0.7270855741995461,0.22989761625051686,0.25791784089243525,0.009778201764846173,400,0.003171237777247794
visual_genome_m,gmm_multistart,0.5644040036508835,0.06721604570185413,0.23272215968217605,0.30622466014786554,400,0.06306150131171
visual_genome_m,gmm_priorfree,0.6097591737642734,0.11257121581524394,0.17640201525181895,0.44240400667779634,400,0.017528201764846173
visual_genome_m,gmm_shipped,0.6200010864949556,0.12281312854592623,0.17131895750881093,0.4600524683997138,400,0.011455521106606248
visual_genome_m,oracle_cost,0.49718795794902937,0.0,0.28530162795999986,0.24397805866921057,400,
visual_genome_m,oracle_f1,0.6137721811604897,0.11658422321146038,0.400538283362763,0.04722155974242785,400,
visual_genome_m,otsu,0.6197477409073411,0.1225597829583117,0.17190900942599807,0.4558788456952063,400,0.010006260434056762
visual_genome_m,quantile0.02,0.7242388762294226,0.22705091828039325,0.24367610438293924,0.02003338898163606,400,0.0017262997853565467
visual_genome_m,quantile0.05,0.6427566145086466,0.14556865655961723,0.24366523553325695,0.05008347245409015,400,0.002644645838301932
visual_genome_m,tail_fdr0.2,0.7328499294827457,0.23566197153371637,0.22959421934248542,0.009778201764846173,400,0.00245856188886239
visual_genome_m,tail_fdr0.3,0.7093056198280148,0.21211766187898537,0.2349033235608821,0.014190317195325541,400,0.003603803958979251
visual_genome_m,tail_z2.5,0.7103421865165259,0.21315422856749663,0.24416890199873958,0.016932983544001908,400,0.0017036727879799667
visual_genome_m,tail_z3,0.7593434027625888,0.26215544481355946,0.23072010904708748,0.008347245409015025,400,0.0009918614357262102
