window,scope,arm,ref,isolates,metric,ref_mean,arm_mean,mean,se,n,n_clusters,frac_arm_better,frac_tied
t50,coco_better/siglip2_l,gp_rbf_anch,app,"head, at the fold-anchored cut",n_good,4.663003663003663,9.179487179487179,4.516483516483516,0.4739095374670022,273,138,0.6886446886446886,0.24175824175824176
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",cost,0.33255890476190475,0.6852198278388278,0.3526609230769231,0.025754354572033202,273,138,0.1794871794871795,0.01098901098901099
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",oracle_cost,0.20716666300366302,0.24278365201465202,0.03561698901098901,0.006376916302136093,273,138,0.31135531135531136,0.02564102564102564
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",regret,0.12539230036630034,0.4424361721611722,0.3170438717948718,0.026896184103417067,273,138,0.23076923076923078,0.0
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",average_precision,0.5387482087912088,0.498646391941392,-0.040101816849816854,0.00736283837761558,273,138,0.29304029304029305,0.007326007326007326
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",auroc,0.9246807216117217,0.9028533003663003,-0.021827421245421245,0.004312935159713601,273,138,0.31868131868131866,0.01098901098901099
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",f1,0.41040734432234427,0.05071401098901099,-0.35969333333333336,0.024488854845500032,273,138,0.014652014652014652,0.03296703296703297
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",fnr,0.28370538461538464,0.09386772893772895,-0.1898376556776557,0.018019350611742802,273,138,0.8021978021978022,0.13553113553113552
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",fpr,0.04885354945054944,0.5913520952380952,0.5424985457875457,0.02490587840502672,273,138,0.047619047619047616,0.014652014652014652
t50,coco_better/siglip2_l,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",n_good,6.106227106227106,5.058608058608058,-1.0476190476190477,0.19198182487459794,273,138,0.23809523809523808,0.23076923076923078
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",cost,0.35169706593406597,0.36409994139194135,0.012402875457875459,0.0069879150316392346,273,138,0.4468864468864469,0.0
