scope,arm,cost,oracle_cost,regret,average_precision,auroc,f1,fnr,fpr,n_good,n_cells,window
coco_val/siglip,gp_rbf_gmm,0.41117580263157893,0.2472212960526316,0.16395459210526317,0.5927271184210526,0.9010805394736843,0.1981073355263158,0.1762285855263158,0.23494728289473685,3.861842105263158,152,t10
coco_val/siglip,gp_rbf_xcal,0.6685398947368422,0.286136125,0.3824037565789474,0.5851439934210526,0.8705331513157896,0.2930422105263158,0.3211548815789474,0.34738502631578944,3.9802631578947367,152,t10
coco_val/siglip2_l,app,0.305123,0.1839412894736842,0.12118170394736842,0.6847991447368421,0.9414886052631579,0.22219374999999997,0.07521234210526316,0.22991065131578947,3.513157894736842,152,t10
coco_val/siglip2_l,app_gmm,0.3148513684210526,0.1858681052631579,0.12898332894736841,0.6672507236842106,0.9436257105263157,0.2060381447368421,0.05824180263157895,0.256609552631579,3.0657894736842106,152,t10
coco_val/siglip2_l,app_xcal,0.42163807236842105,0.18949569078947368,0.23214234868421055,0.6959825197368421,0.9398698355263159,0.5782249736842106,0.3953191118421053,0.026318967105263158,3.8947368421052633,152,t10
coco_val/siglip2_l,gp_dot_anch,0.42557725657894735,0.2330416644736842,0.19253563815789473,0.5979473092105263,0.9204667960526316,0.14557573026315787,0.07588759868421052,0.3496896578947368,3.6447368421052633,152,t10
coco_val/siglip2_l,gp_rbf_anch,0.5845799539473685,0.25970571710526313,0.32487428947368424,0.6190898092105264,0.8880611249999999,0.1848985855263158,0.15755125,0.4270287236842105,4.6644736842105265,152,t10
coco_val/siglip2_l,gp_rbf_anch_maxvar,0.5490177565789474,0.24289476315789474,0.30612301315789475,0.6099779078947368,0.9072897894736842,0.1329995855263158,0.12428097368421052,0.424736802631579,3.1578947368421053,152,t10
coco_val/siglip2_l,gp_rbf_gmm,0.42116871710526316,0.24826073684210528,0.17290799999999998,0.6227708486842105,0.8958491973684212,0.20323473684210527,0.21197723684210526,0.20919148684210526,3.9342105263157894,152,t10
coco_val/siglip2_l,gp_rbf_xcal,0.6556941907894737,0.2677135065789474,0.38798069078947367,0.6008125986842106,0.8865531447368421,0.2953026513157895,0.36437065131578944,0.29132353947368417,4.065789473684211,152,t10
coco_better,app,0.36396851356589144,0.24493115310077518,0.11903737596899225,0.4592576046511628,0.9042202364341085,0.04143703294573644,0.10810201162790699,0.25586650968992247,3.5697674418604652,516,t25
coco_better,app_gmm,0.3987816085271318,0.25047627325581395,0.14830534302325582,0.4278822965116279,0.9037423837209303,0.030562558139534884,0.09700827131782946,0.30177337209302324,2.806201550387597,516,t25
coco_better,app_xcal,0.4137298604651163,0.2486897558139535,0.16504012403100773,0.5047874418604651,0.9020126686046511,0.41517767635658914,0.3470557189922481,0.06667414341085272,5.011627906976744,516,t25
coco_better,gp_dot_anch,0.44004946511627907,0.28119770930232557,0.15885178294573643,0.43858035271317825,0.8786271434108527,0.03807552519379845,0.11596868604651163,0.3240807984496124,3.87984496124031,516,t25
coco_better,gp_rbf_anch,0.44898233914728686,0.28358469186046514,0.16539767441860467,0.4556681531007752,0.875633730620155,0.04225419379844961,0.11819367054263566,0.3307887151162791,6.147286821705427,516,t25
coco_better,gp_rbf_anch_maxvar,0.44713543023255814,0.2846963372093023,0.1624391027131783,0.45711531395348837,0.8759884980620155,0.04106266472868217,0.1215610465116279,0.3255743914728682,4.833333333333333,516,t25
coco_better,gp_rbf_gmm,0.4667652073643411,0.2844353294573643,0.18232987790697675,0.42353871705426355,0.8782266065891473,0.03364226744186047,0.12222506782945736,0.34454013372093023,3.436046511627907,516,t25
coco_better,gp_rbf_xcal,0.7559806782945736,0.2962380058139535,0.45974266860465113,0.462945269379845,0.8679504205426356,0.0991345019379845,0.10768388565891474,0.6482967790697675,4.50968992248062,516,t25
coco_val,app,0.22903655263157893,0.1572623092105263,0.07177420065789474,0.7298660657894738,0.9500303585526316,0.33024882565789476,0.07988215460526316,0.14915438157894736,6.427631578947368,304,t25
coco_val,app_gmm,0.24077368092105264,0.16609197039473686,0.07468174999999999,0.6837551776315789,0.9513284144736843,0.3119161973684211,0.06578675986842106,0.1749869605263158,3.2927631578947367,304,t25
coco_val,app_xcal,0.2572693552631579,0.15070184868421052,0.10656752631578949,0.7522660493421052,0.9542899868421052,0.6715265888157894,0.22569411842105264,0.03157522039473684,7.509868421052632,304,t25
coco_val,gp_dot_anch,0.2588906282894737,0.16798975657894735,0.09090084868421053,0.7240843651315789,0.9468248914473684,0.27280518092105266,0.07950980263157895,0.1793808289473684,5.746710526315789,304,t25
coco_val,gp_rbf_anch,0.24786056907894738,0.16360083881578946,0.0842596875,0.7298254671052632,0.9463707335526316,0.35394772368421057,0.0816426677631579,0.16621790131578948,8.789473684210526,304,t25
coco_val,gp_rbf_anch_maxvar,0.24563379276315792,0.1575069769736842,0.0881267927631579,0.7339267138157894,0.9516667368421053,0.27435427631578946,0.06588990789473685,0.1797439210526316,6.7368421052631575,304,t25
coco_val,gp_rbf_gmm,0.2510688388157895,0.17227588157894735,0.07879291447368421,0.6979698157894737,0.9461232631578946,0.42052493421052634,0.1273798519736842,0.12368900657894737,4.743421052631579,304,t25
coco_val,gp_rbf_xcal,0.5966796644736841,0.17656687828947368,0.4201128059210526,0.7196510986842105,0.9426593289473685,0.2530209868421053,0.07982524342105264,0.5168544342105263,6.190789473684211,304,t25
coco_better/siglip,app,0.37447829317269077,0.25707644578313255,0.11740187951807228,0.4412343253012048,0.8984277148594378,0.03987174698795181,0.11628859036144579,0.258189734939759,3.3413654618473894,249,t25
coco_better/siglip,app_gmm,0.40438968674698794,0.26520538554216866,0.13918432128514058,0.4102316224899598,0.8970831124497992,0.03111771887550201,0.10417510040160642,0.30021463052208835,2.746987951807229,249,t25
coco_better/siglip,app_xcal,0.4351472690763052,0.26525727309236946,0.16989,0.48446825702811247,0.8942699236947792,0.4002333373493976,0.3592493935742972,0.0758979076305221,4.923694779116466,249,t25
