tier,cell,class_id,source,method,k,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,d128,staver/stamp_stampds-00213_1,staver,d128_500_sift,500,17,49968,0.29411764705882354,0.28197690218507865,1,0.29411764705882354,0.29411764705882354,0.29411764705882354
m,d128,staver/stamp_stampds-00213_1,staver,d128_1000_sift,1000,17,49968,0.8235294117647058,0.6531268176827386,1,0.4117647058823529,0.8235294117647058,0.8235294117647058
m,d128,staver/stamp_stampds-00213_1,staver,d128_2000_sift,2000,17,49968,1.0,0.6675955659398509,1,0.47058823529411764,0.9411764705882353,1.0
m,d128,staver/stamp_stampds-00230_0,staver,d128_alone,,7,49968,,0.30232451169836405,1,0.2857142857142857,0.8571428571428571,0.8571428571428571
m,d128,staver/stamp_stampds-00230_0,staver,sift_exhaustive,,7,49968,,1.0,1,1.0,1.0,1.0
m,d128,staver/stamp_stampds-00230_0,staver,d128_100_sift,100,7,49968,0.8571428571428571,0.8597135512302607,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
m,d128,staver/stamp_stampds-00230_0,staver,d128_500_sift,500,7,49968,1.0,1.0,1,1.0,1.0,1.0
m,d128,staver/stamp_stampds-00230_0,staver,d128_1000_sift,1000,7,49968,1.0,1.0,1,1.0,1.0,1.0
m,d128,staver/stamp_stampds-00230_0,staver,d128_2000_sift,2000,7,49968,1.0,1.0,1,1.0,1.0,1.0
m,d128,tobacco800/logo_aah97e00-page02_1_0,tobacco800,d128_alone,,62,46659,,0.013405937268821683,29,0.0,0.016129032258064516,0.016129032258064516
m,d128,tobacco800/logo_aah97e00-page02_1_0,tobacco800,sift_exhaustive,,62,46659,,1.0,1,0.16129032258064516,0.8064516129032258,1.0
m,d128,tobacco800/logo_aah97e00-page02_1_0,tobacco800,d128_100_sift,100,62,46659,0.016129032258064516,0.02897879600074604,1,0.016129032258064516,0.016129032258064516,0.016129032258064516
m,d128,tobacco800/logo_aah97e00-page02_1_0,tobacco800,d128_500_sift,500,62,46659,0.11290322580645161,0.12439971627586496,1,0.11290322580645161,0.11290322580645161,0.11290322580645161
m,d128,tobacco800/logo_aah97e00-page02_1_0,tobacco800,d128_1000_sift,1000,62,46659,0.25806451612903225,0.2673889268395315,1,0.16129032258064516,0.25806451612903225,0.25806451612903225
m,d128,tobacco800/logo_aah97e00-page02_1_0,tobacco800,d128_2000_sift,2000,62,46659,0.5161290322580645,0.5213184416793453,1,0.16129032258064516,0.5161290322580645,0.5161290322580645
m,d128,tobacco800/logo_aeq93a00_1,tobacco800,d128_alone,,13,46659,,0.00385390880354082,46,0.0,0.07692307692307693,0.07692307692307693
m,d128,tobacco800/logo_aeq93a00_1,tobacco800,sift_exhaustive,,13,46659,,0.24809098983610733,2,0.38461538461538464,0.38461538461538464,0.46153846153846156
m,d128,tobacco800/logo_aeq93a00_1,tobacco800,d128_100_sift,100,13,46659,0.07692307692307693,0.007676173495370729,14,0.0,0.07692307692307693,0.07692307692307693
m,d128,tobacco800/logo_aeq93a00_1,tobacco800,d128_500_sift,500,13,46659,0.15384615384615385,0.022614360308557544,4,0.07692307692307693,0.07692307692307693,0.15384615384615385
